direction_id,source_dataset,target_dataset,model,risk_threshold,Stage5_AUROC,Stage5_AUPRC,Stage5_AUPRC_baseline,Stage5_Recall,Stage1to2_FPR,Recall_at_10pct_Stage1to2_FPR,Risk_Stage_Spearman,first_stable_high_window,first_stable_high_cycle,Stage5_start_cycle,detection_lead_cycles_relative_to_Stage5,early_false_alarms_per_1000_cycles,online_update_count,adapter_freeze_count,adapter_rollback_count,Stage5_risk_suppression_B1_minus_B4,adaptation_safety_failure
Exp1_to_Exp2,Exp1,Exp2,B0,3.482090206809838,0.9905692839823135,0.9429791129277372,0.1703940362087327,0.9958333333333333,0.0,1.0,0.823689836135718,1860.0,9320.5,11686.0,2365.5,0.0,0,0,0,4.245141777103889e-06,False
Exp1_to_Exp2,Exp1,Exp2,B1,0.9999980452258974,0.9963307659392383,0.9865026269753012,0.1703940362087327,0.30833333333333335,0.0,1.0,0.5521747667760065,2523.0,12635.5,11686.0,-949.5,0.0,0,0,0,4.245141777103889e-06,False
Exp1_to_Exp2,Exp1,Exp2,B2,0.9999980452258974,0.9976180288118671,0.9911610845037875,0.1703940362087327,0.225,0.0,1.0,0.5362316090190606,2533.0,12685.5,11686.0,-999.5,0.0,7,0,0,4.245141777103889e-06,False
Exp1_to_Exp2,Exp1,Exp2,B3,0.9999980452258974,0.9969645913564399,0.9888418053088278,0.1703940362087327,0.2833333333333333,0.0,1.0,0.5443650921578852,2526.0,12650.5,11686.0,-964.5,0.0,7,0,0,4.245141777103889e-06,False
Exp1_to_Exp2,Exp1,Exp2,B4,0.9999980452258974,0.9969645913564399,0.9888418053088278,0.1703940362087327,0.2833333333333333,0.0,1.0,0.5439629664541413,2526.0,12650.5,11686.0,-964.5,0.0,5,1097,0,4.245141777103889e-06,False
Exp2_to_Exp1,Exp2,Exp1,B0,4.410593596894328,0.844310508667513,0.6189795031936461,0.2412506856829402,0.0,0.0,0.7185084129149614,0.7776992069371903,6908.0,34560.5,34581.0,20.5,0.0,0,0,0,-0.06532434649001351,False
Exp2_to_Exp1,Exp2,Exp1,B1,0.9999999999999993,0.7962651802136257,0.682422164927652,0.2412506856829402,0.0,0.0,0.6252842201000455,0.3683550696348627,,,34581.0,,0.0,0,0,0,-0.06532434649001351,False
Exp2_to_Exp1,Exp2,Exp1,B2,0.9999999999999993,0.8511829145221118,0.7672286717433109,0.2412506856829402,0.0,0.0,0.757162346521146,0.43342188672946796,,,34581.0,,0.0,0,0,0,-0.06532434649001351,False
Exp2_to_Exp1,Exp2,Exp1,B3,0.9999999999999993,0.8646717801955829,0.7836835913586246,0.2412506856829402,0.0,0.0,0.7767166894042746,0.45112418204535126,,,34581.0,,0.0,0,0,0,-0.06532434649001351,False
Exp2_to_Exp1,Exp2,Exp1,B4,0.9999999999999993,0.8646717801955829,0.7836835913586246,0.2412506856829402,0.0,0.0,0.7767166894042746,0.45112418204535126,,,34581.0,,0.0,0,3095,0,-0.06532434649001351,False
