window_index,event_type,reason,state,freeze_until_window,details,direction_id,source_dataset,target_dataset,model
200,CHECKPOINT,periodic,RESTART_GUARD,-1,{},Exp1_to_Exp2,Exp1,Exp2,R5
218,ENTER_STATE,SUSTAINED_RS,FROZEN_EVENT,318,"{""RS50"": 0.011205093832870468}",Exp1_to_Exp2,Exp1,Exp2,R5
238,EXTEND_FREEZE,SUSTAINED_RS,FROZEN_EVENT,338,"{""RS50"": 0.011334267555464501}",Exp1_to_Exp2,Exp1,Exp2,R5
324,EXTEND_FREEZE,SUSTAINED_RS,RESTART_GUARD,424,"{""RS50"": 0.01842794264665879}",Exp1_to_Exp2,Exp1,Exp2,R5
344,EXTEND_FREEZE,SUSTAINED_RS,RESTART_GUARD,444,"{""RS50"": 0.02104128381107157}",Exp1_to_Exp2,Exp1,Exp2,R5
364,EXTEND_FREEZE,SUSTAINED_RS,RESTART_GUARD,464,"{""RS50"": 0.015044961582924026}",Exp1_to_Exp2,Exp1,Exp2,R5
400,CHECKPOINT,periodic,RESTART_GUARD,464,{},Exp1_to_Exp2,Exp1,Exp2,R5
518,ENTER_STATE,SUSTAINED_RS,FROZEN_EVENT,618,"{""RS50"": 0.005911409320471837}",Exp1_to_Exp2,Exp1,Exp2,R5
538,EXTEND_FREEZE,SUSTAINED_RS,FROZEN_EVENT,638,"{""RS50"": 0.005185883929866768}",Exp1_to_Exp2,Exp1,Exp2,R5
540,EXTEND_FREEZE,HIGH_RISK,FROZEN_RISK,640,"{""final_logit"": 1.7020611337626967}",Exp1_to_Exp2,Exp1,Exp2,R5
560,EXTEND_FREEZE,TES_EVENT,FROZEN_RISK,660,"{""TES_clean"": 10.55433999127064}",Exp1_to_Exp2,Exp1,Exp2,R5
580,EXTEND_FREEZE,SUSTAINED_RS,FROZEN_RISK,680,"{""RS50"": 0.024301936633820267}",Exp1_to_Exp2,Exp1,Exp2,R5
600,CHECKPOINT,periodic,RESTART_GUARD,680,{},Exp1_to_Exp2,Exp1,Exp2,R5
