window_index,adapter_state,safe_run,freeze_until_window,residual_online_offset,mean_reliability,can_update,direction_id,source_dataset,target_dataset,model
0,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
1,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
2,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
3,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
4,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
5,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
6,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
7,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
8,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
9,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
10,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
11,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
12,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
13,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
14,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
15,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
16,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
17,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
18,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
19,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
20,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
21,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
22,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
23,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
24,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
25,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
26,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
27,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
28,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
29,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
30,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
31,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
32,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
33,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
34,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
35,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
36,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
37,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
38,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
39,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
40,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
41,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
42,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
43,CALIBRATION,0,-1,0.0,1.0,0,Exp1_to_Exp2,Exp1,Exp2,R1
