direction_id,model,guard_group,count,high_rate
Exp1_to_Exp2,P0,guard,344.0,0.19186046511627908
Exp1_to_Exp2,P0,non_guard,2473.0,0.22765871411241406
Exp1_to_Exp2,P1,guard,344.0,0.18023255813953487
Exp1_to_Exp2,P1,non_guard,2473.0,0.18520016174686615
Exp1_to_Exp2,P2,guard,344.0,0.3168604651162791
Exp1_to_Exp2,P2,non_guard,2473.0,0.3356247472705216
Exp1_to_Exp2,P3,guard,344.0,0.20348837209302326
Exp1_to_Exp2,P3,non_guard,2473.0,0.22846744844318642
Exp1_to_Exp2,V11_R1_REF,guard,344.0,0.03197674418604651
Exp1_to_Exp2,V11_R1_REF,non_guard,2473.0,0.02466639708855641
Exp1_to_Exp2,V11_R5_REF,guard,344.0,0.45058139534883723
Exp1_to_Exp2,V11_R5_REF,non_guard,2473.0,0.46542660735948244
Exp2_to_Exp1,P0,guard,1100.0,0.0009090909090909091
Exp2_to_Exp1,P0,non_guard,8015.0,0.0009981285090455397
Exp2_to_Exp1,P1,guard,1100.0,0.01090909090909091
Exp2_to_Exp1,P1,non_guard,8015.0,0.001122894572676232
Exp2_to_Exp1,P2,guard,1100.0,0.03272727272727273
Exp2_to_Exp1,P2,non_guard,8015.0,0.02582657517155334
Exp2_to_Exp1,P3,guard,1100.0,0.01090909090909091
Exp2_to_Exp1,P3,non_guard,8015.0,0.0019962570180910794
Exp2_to_Exp1,V11_R1_REF,guard,1100.0,0.0
Exp2_to_Exp1,V11_R1_REF,non_guard,8015.0,0.0
Exp2_to_Exp1,V11_R5_REF,guard,1100.0,0.0
Exp2_to_Exp1,V11_R5_REF,non_guard,8015.0,0.0
