candidate_set,features,l2,optimizer_success,candidate_valid,selection_score,Stage5_AUROC,Stage5_AUPRC,Risk_Stage_Spearman,soft_target_brier,Stage4to5_recall_at_10pct_early_fpr,max_effective_beta,distinct_logits,direction_id
F1,AWR_adaptive,0.05,True,True,0.9269524732867508,0.9689856854035959,0.7925797703607973,0.9386409659842604,0.03834847681968819,1.0,0.46513284385597076,2381,Exp1_to_Exp2
F1,AWR_adaptive,0.1,True,True,0.9227893815465151,0.9689856854035959,0.7925797703607973,0.9386409659842604,0.06610242175459288,1.0,0.3264389751784814,2381,Exp1_to_Exp2
F1,AWR_adaptive,0.5,True,True,0.9106679959748537,0.9689856854035959,0.7925797703607973,0.9386409659842604,0.14691165889900237,1.0,0.10174225280896962,2381,Exp1_to_Exp2
F1,AWR_adaptive,1.0,True,True,0.907310149135681,0.9689856854035959,0.7925797703607973,0.9386409659842604,0.16929730449348757,1.0,0.05482591873830194,2381,Exp1_to_Exp2
F1,AWR_adaptive,2.0,True,True,0.9053331012240168,0.9689856854035959,0.7925797703607973,0.9386409659842604,0.18247762390458178,1.0,0.0285128636246101,2381,Exp1_to_Exp2
F2,AWR_adaptive;BDall_xy_v2,0.05,True,True,0.9889193779621185,0.9981280466355094,0.9932485131963852,0.9729653549790996,0.0408513321702701,1.0,0.43461805997508524,2381,Exp1_to_Exp2
F2,AWR_adaptive;BDall_xy_v2,0.1,True,True,0.9837007250368452,0.9971896539060718,0.989373697251058,0.9724990247639069,0.06699665282754352,1.0,0.30850326481956303,2381,Exp1_to_Exp2
F2,AWR_adaptive;BDall_xy_v2,0.5,True,True,0.9683651404956778,0.9949804203535547,0.9782545301362412,0.9708293399226775,0.1451703475781112,1.0,0.09996246892322899,2381,Exp1_to_Exp2
F2,AWR_adaptive;BDall_xy_v2,1.0,True,True,0.9640626008537172,0.9945571288854871,0.975435098593852,0.9704691976156727,0.16806821481306142,1.0,0.054330702987479405,2381,Exp1_to_Exp2
F2,AWR_adaptive;BDall_xy_v2,2.0,True,True,0.961544973428952,0.9943396846381921,0.9739203644346593,0.9702676312539046,0.18175857464373976,1.0,0.028382401252467104,2381,Exp1_to_Exp2
F3,AWR_adaptive;BDall_xy_v2;RS50_positive,0.05,True,True,0.988919513561311,0.9981280466355094,0.9932485131963852,0.9729653549790996,0.040850428175652716,1.0,0.4346170498761571,2381,Exp1_to_Exp2
F3,AWR_adaptive;BDall_xy_v2;RS50_positive,0.1,True,True,0.9837015703639919,0.9971906203249487,0.9893786914191586,0.9724994474468581,0.06700155555312087,1.0,0.3084857202182065,2381,Exp1_to_Exp2
F3,AWR_adaptive;BDall_xy_v2;RS50_positive,0.5,True,True,0.9683631686085866,0.9949794539346778,0.9782476775510754,0.9708289172397262,0.1451698578903883,1.0,0.09996431309712253,2381,Exp1_to_Exp2
F3,AWR_adaptive;BDall_xy_v2;RS50_positive,1.0,True,True,0.9619658741083589,0.9937115123682287,0.9682053919231753,0.9700687237778716,0.1680386664046047,1.0,0.2459879855481845,2381,Exp1_to_Exp2
F3,AWR_adaptive;BDall_xy_v2;RS50_positive,2.0,True,True,0.9420186355558072,0.9869166212449795,0.9060071456634861,0.9668328707934167,0.18160949541933177,1.0,0.981250218878779,2381,Exp1_to_Exp2
F4,AWR_adaptive;BDall_xy_v2;TES,0.05,True,True,0.9889195285803752,0.9981280466355094,0.9932485131963852,0.9729653549790996,0.040850328048558544,1.0,0.4346172668257694,2381,Exp1_to_Exp2
F4,AWR_adaptive;BDall_xy_v2;TES,0.1,True,True,0.9830502430033995,0.996731571358437,0.9873342568548874,0.9722767971482487,0.06686981555118945,1.0,0.3070718438715101,2381,Exp1_to_Exp2
F4,AWR_adaptive;BDall_xy_v2;TES,0.5,True,True,0.9496874065190458,0.9872568006896365,0.9139309449862989,0.9661596076036512,0.14392220463190042,1.0,0.09849425705148106,2381,Exp1_to_Exp2
F4,AWR_adaptive;BDall_xy_v2;TES,1.0,True,True,0.9302452023282078,0.9816283771507652,0.8585589690376122,0.960888064684974,0.1664790636328138,1.0,0.05350035529966893,2381,Exp1_to_Exp2
F4,AWR_adaptive;BDall_xy_v2;TES,2.0,True,True,0.919136302550833,0.9777694665754367,0.8291933366082684,0.9553519290857736,0.18018709654961598,1.0,0.02799456263271212,2381,Exp1_to_Exp2
F5,AWR_adaptive;BDall_xy_v2;RS50_positive;TES,0.05,True,True,0.9889196255097247,0.9981280466355094,0.9932485131963852,0.9729653549790996,0.04084968185289479,1.0,0.43463769866606045,2381,Exp1_to_Exp2
F5,AWR_adaptive;BDall_xy_v2;RS50_positive;TES,0.1,True,True,0.983050302367328,0.996731571358437,0.9873342568548874,0.9722767971482487,0.06686941979166554,1.0,0.30707352690121276,2381,Exp1_to_Exp2
F5,AWR_adaptive;BDall_xy_v2;RS50_positive;TES,0.5,True,True,0.9496739818021288,0.9872500357574985,0.9138830650224056,0.9661537320367533,0.143914455895983,1.0,0.0985139528698622,2381,Exp1_to_Exp2
F5,AWR_adaptive;BDall_xy_v2;RS50_positive;TES,1.0,True,True,0.9302451680865683,0.9816283771507652,0.8585589690376122,0.960888064684974,0.16647929191041075,1.0,0.053500766827891164,2381,Exp1_to_Exp2
F5,AWR_adaptive;BDall_xy_v2;RS50_positive;TES,2.0,True,True,0.9134361472009189,0.9753012327639193,0.8097565433615364,0.954225639238712,0.1801061492834143,1.0,0.5846030044767168,2381,Exp1_to_Exp2
F1,AWR_adaptive,0.05,True,True,0.9402699622674348,1.0,1.0,0.7503742448600296,0.09247959887005645,0.7910447761194029,0.3012335907093296,728,Exp2_to_Exp1
F1,AWR_adaptive,0.1,True,True,0.9364877368748119,1.0,1.0,0.7503742448600296,0.11769443482087566,0.7910447761194029,0.18847186917233147,728,Exp2_to_Exp1
F1,AWR_adaptive,0.5,True,True,0.930226440463559,1.0,1.0,0.7503742448600296,0.1594364108958951,0.7910447761194029,0.04762830195027083,728,Exp2_to_Exp1
F1,AWR_adaptive,1.0,True,True,0.9290632607235009,1.0,1.0,0.7503742448600296,0.16719094249628227,0.7910447761194029,0.024626558201529935,728,Exp2_to_Exp1
F1,AWR_adaptive,2.0,True,True,0.9284387139045366,1.0,1.0,0.7503742448600296,0.17135458795604397,0.7910447761194029,0.012526904508187046,728,Exp2_to_Exp1
F2,AWR_adaptive;BDall_xy_v2,0.05,True,True,0.9240676415438658,1.0,1.0,0.7170338535827555,0.0762780930910905,0.6380597014925373,0.35565261919553165,728,Exp2_to_Exp1
