feature_name,finite_fraction,unique_count,median,IQR,robust_range_p99_minus_p01,nonzero_fraction,positive_fraction,transition_count,eligible,ineligible_reason,direction_id,source_dataset,target_dataset
AWR_adaptive,1.0,5601,0.024188665734371374,1.7847037738592646,7.858791866905398,1.0,0.5158007498660954,78,True,,Exp1_to_Exp2,Exp1,Exp2
BDall_xy_v2,1.0,5601,5.459006850473532,3.2327099574043245,7.390636114372164,1.0,1.0,0,True,,Exp1_to_Exp2,Exp1,Exp2
RS50_positive,1.0,1518,0.0,0.000719309851447838,0.07325520908282578,0.32065702553115516,0.32065702553115516,77,True,,Exp1_to_Exp2,Exp1,Exp2
TES,1.0,4113,0.6436323246395902,2.296136829960555,94.20930904136516,0.7357614711658632,0.7357614711658632,674,True,,Exp1_to_Exp2,Exp1,Exp2
high_AWR_high_BD_occupancy,1.0,1,0.0,0.0,0.0,0.0,0.0,0,False,unique_count;robust_range;IQR;positive_fraction;occupancy_positive_fraction;occupancy_transition_count;occupancy_IQR,Exp1_to_Exp2,Exp1,Exp2
AWR_adaptive,1.0,1705,1.5486698155047294,3.625775679847453,6.505462621157447,1.0,0.7577712609970675,20,True,,Exp2_to_Exp1,Exp2,Exp1
BDall_xy_v2,1.0,1705,2.0575884952673382,2.108192183480888,4.797986353957096,1.0,1.0,0,True,,Exp2_to_Exp1,Exp2,Exp1
RS50_positive,1.0,621,0.0,0.010980922863442774,0.04346229377138297,0.4633431085043988,0.4633431085043988,29,True,,Exp2_to_Exp1,Exp2,Exp1
TES,1.0,1481,0.6470346742204385,1.2862889707061056,5.338217137595244,0.8961876832844575,0.8961876832844575,51,True,,Exp2_to_Exp1,Exp2,Exp1
high_AWR_high_BD_occupancy,1.0,37,0.0,0.0,0.2796000000000004,0.08152492668621701,0.08152492668621701,1,False,IQR;occupancy_transition_count;occupancy_IQR,Exp2_to_Exp1,Exp2,Exp1
