model_name,feature_group,formulation,direction_id,source_dataset,target_dataset,target_AUROC,target_AUPRC,AUPRC_baseline,Spearman_stage_AWR,Stage1_median_AWR,Stage5_median_AWR,ScoreGap,source_threshold_P95,target_Stage5_high_AWR_rate,target_Stage5_high_AWR_high_BD_occupancy,notes
M0_stable,stable_plus,mean_z,Exp1_to_Exp2,Exp1,Exp2,0.9905692839823135,0.9429791129277373,0.1703940362087327,0.8236898361357179,-0.8833585280934229,4.494374583019803,5.377733111113225,3.482090206809838,0.9958333333333333,0.9958333333333333,Stage5 is used only as a late-state proxy label.
M1_stable,stable_plus,direction_mean_z,Exp1_to_Exp2,Exp1,Exp2,0.9905692839823135,0.9429791129277373,0.1703940362087327,0.8236898361357179,-0.8833585280934229,4.494374583019803,5.377733111113225,3.482090206809838,0.9958333333333333,0.9958333333333333,Stage5 is used only as a late-state proxy label.
M2_stable,stable_plus,weighted_direction,Exp1_to_Exp2,Exp1,Exp2,0.9779676579660533,0.8795478479143103,0.1703940362087327,0.8348798235921152,-0.8619999939157084,4.582740403848601,5.44474039776431,5.020013654291762,0.29791666666666666,0.29791666666666666,Stage5 is used only as a late-state proxy label.
rx_only_mean_z,rx_only,mean_z,Exp1_to_Exp2,Exp1,Exp2,0.9647001141064042,0.8590697844428,0.1703940362087327,0.7736760680519373,-0.6517454314311374,5.207853321550414,5.859598752981551,1.1954300298783744,1.0,1.0,Stage5 is used only as a late-state proxy label.
rx_only_direction_mean_z,rx_only,direction_mean_z,Exp1_to_Exp2,Exp1,Exp2,0.9399211952645842,0.6165469156001708,0.1703940362087327,0.692988766601404,-0.723746646082275,2.8962485600585244,3.6199952061407994,2.644970724804339,0.8291666666666667,0.8291666666666667,Stage5 is used only as a late-state proxy label.
rx_only_weighted_direction,rx_only,weighted_direction,Exp1_to_Exp2,Exp1,Exp2,0.6873199258308372,0.25427570988092796,0.1703940362087327,0.37645618770154476,-0.2852991744486962,0.833153235698056,1.1184524101467521,6.231952090064116,0.0,0.0,Stage5 is used only as a late-state proxy label.
ry_only_mean_z,ry_only,mean_z,Exp1_to_Exp2,Exp1,Exp2,0.9595733490229639,0.8973380669292588,0.1703940362087327,0.7375288885159298,0.02127627438658277,2.4838706584529415,2.462594384066359,1.4797059606102305,0.8458333333333333,0.8458333333333333,Stage5 is used only as a late-state proxy label.
ry_only_direction_mean_z,ry_only,direction_mean_z,Exp1_to_Exp2,Exp1,Exp2,0.9437856582513193,0.7907253830589717,0.1703940362087327,0.7232452013921551,-0.27454509203719873,2.3533018436431936,2.627846935680392,6.867705384731347,0.0,0.0,Stage5 is used only as a late-state proxy label.
ry_only_weighted_direction,ry_only,weighted_direction,Exp1_to_Exp2,Exp1,Exp2,0.9685351590358009,0.8229310503108684,0.1703940362087327,0.789888488514424,-0.3557076853790115,2.358446213356979,2.7141538987359906,9.164566593071427,0.0,0.0,Stage5 is used only as a late-state proxy label.
rs_only_mean_z,rs_only,mean_z,Exp1_to_Exp2,Exp1,Exp2,0.9758941306518328,0.8337660216764643,0.1703940362087327,0.8877725732618015,-0.3667773057910949,3.153007496711428,3.519784802502523,0.6940696830794528,1.0,1.0,Stage5 is used only as a late-state proxy label.
