direction_id,source_dataset,target_dataset,feature_group,formulation,model_name,feature_name,channel,feature_family,direction_sign,abs_effect_size,direction_stability,redundancy_factor,normalized_weight,contribution_mean_stage1,contribution_mean_stage5,contribution_gap,redundancy_notes,physical_meaning
Exp1_to_Exp2,Exp1,Exp2,stable_plus,mean_z,M0_stable,rs_corrdist_base,rs,corrdist_base,1,1.0,1.0,1.0,0.1,0.11433950908645454,1.2000000000000002,1.0856604909135457,,resultant shear ratio contrast; shape departure from the baseline mean waveform
Exp1_to_Exp2,Exp1,Exp2,stable_plus,mean_z,M0_stable,rs_mean,rs,mean,1,0.6594894067206771,1.0,1.0,0.1,-0.5634665460805153,-0.33335764020118597,0.2301089058793293,,resultant shear ratio contrast; signed average shear ratio in the sensitive phase
Exp1_to_Exp2,Exp1,Exp2,stable_plus,mean_z,M0_stable,rs_absmean,rs,absmean,1,0.6594894067206771,1.0,0.5,0.1,-0.5634665460805153,-0.33335764020118597,0.2301089058793293,downweighted_with_rs_mean_r=1.000,resultant shear ratio contrast; average shear magnitude in the sensitive phase
Exp1_to_Exp2,Exp1,Exp2,stable_plus,mean_z,M0_stable,rs_q05,rs,q05,1,0.7479130512789578,1.0,1.0,0.1,-0.8031669247286356,-0.3036238087600873,0.4995431159685483,,resultant shear ratio contrast; lower-tail sensitive-phase shear ratio
Exp1_to_Exp2,Exp1,Exp2,stable_plus,mean_z,M0_stable,rx_corrdist_base,rx,corrdist_base,1,1.0,1.0,0.5,0.1,0.1257002114700304,1.2000000000000002,1.0742997885299697,downweighted_with_rs_corrdist_base_r=0.988,Fx/Fz main shear ratio; shape departure from the baseline mean waveform
Exp1_to_Exp2,Exp1,Exp2,stable_plus,mean_z,M0_stable,rs_rms,rs,rms,1,0.5593777357078118,1.0,0.25,0.1,-0.5060359941050758,-0.3769842193318449,0.12905177477323093,downweighted_with_rs_mean_r=0.976;downweighted_with_rs_absmean_r=0.976,resultant shear ratio contrast; energy-like shear ratio magnitude
Exp1_to_Exp2,Exp1,Exp2,stable_plus,mean_z,M0_stable,ry_p2p,ry,p2p,1,1.0,1.0,1.0,0.1,-0.04185950814786566,0.8308403151627095,0.8726998233105752,,Fy/Fz lateral shear ratio; peak-to-peak sensitive-phase span
Exp1_to_Exp2,Exp1,Exp2,stable_plus,mean_z,M0_stable,rx_mean,rx,mean,1,0.5096114405560659,1.0,1.0,0.1,-0.5418233035073491,-0.42144835525179847,0.12037494825555062,,Fx/Fz main shear ratio; signed average shear ratio in the sensitive phase
Exp1_to_Exp2,Exp1,Exp2,stable_plus,mean_z,M0_stable,rx_absmean,rx,absmean,1,0.5096114405560659,1.0,0.5,0.1,-0.5418233035073491,-0.42144835525179847,0.12037494825555062,downweighted_with_rx_mean_r=1.000,Fx/Fz main shear ratio; average shear magnitude in the sensitive phase
Exp1_to_Exp2,Exp1,Exp2,stable_plus,mean_z,M0_stable,rx_q05,rx,q05,1,0.6697903616470391,1.0,1.0,0.1,-0.7355713711991321,-0.35550206458201594,0.38006930661711613,,Fx/Fz main shear ratio; lower-tail sensitive-phase shear ratio
Exp1_to_Exp2,Exp1,Exp2,stable_plus,direction_mean_z,M1_stable,rs_corrdist_base,rs,corrdist_base,1,1.0,1.0,1.0,0.1,0.11433950908645454,1.2000000000000002,1.0856604909135457,,resultant shear ratio contrast; shape departure from the baseline mean waveform
Exp1_to_Exp2,Exp1,Exp2,stable_plus,direction_mean_z,M1_stable,rs_mean,rs,mean,1,0.6594894067206771,1.0,1.0,0.1,-0.5634665460805153,-0.33335764020118597,0.2301089058793293,,resultant shear ratio contrast; signed average shear ratio in the sensitive phase
Exp1_to_Exp2,Exp1,Exp2,stable_plus,direction_mean_z,M1_stable,rs_absmean,rs,absmean,1,0.6594894067206771,1.0,0.5,0.1,-0.5634665460805153,-0.33335764020118597,0.2301089058793293,downweighted_with_rs_mean_r=1.000,resultant shear ratio contrast; average shear magnitude in the sensitive phase
Exp1_to_Exp2,Exp1,Exp2,stable_plus,direction_mean_z,M1_stable,rs_q05,rs,q05,1,0.7479130512789578,1.0,1.0,0.1,-0.8031669247286356,-0.3036238087600873,0.4995431159685483,,resultant shear ratio contrast; lower-tail sensitive-phase shear ratio
Exp1_to_Exp2,Exp1,Exp2,stable_plus,direction_mean_z,M1_stable,rx_corrdist_base,rx,corrdist_base,1,1.0,1.0,0.5,0.1,0.1257002114700304,1.2000000000000002,1.0742997885299697,downweighted_with_rs_corrdist_base_r=0.988,Fx/Fz main shear ratio; shape departure from the baseline mean waveform
Exp1_to_Exp2,Exp1,Exp2,stable_plus,direction_mean_z,M1_stable,rs_rms,rs,rms,1,0.5593777357078118,1.0,0.25,0.1,-0.5060359941050758,-0.3769842193318449,0.12905177477323093,downweighted_with_rs_mean_r=0.976;downweighted_with_rs_absmean_r=0.976,resultant shear ratio contrast; energy-like shear ratio magnitude
Exp1_to_Exp2,Exp1,Exp2,stable_plus,direction_mean_z,M1_stable,ry_p2p,ry,p2p,1,1.0,1.0,1.0,0.1,-0.04185950814786566,0.8308403151627095,0.8726998233105752,,Fy/Fz lateral shear ratio; peak-to-peak sensitive-phase span
Exp1_to_Exp2,Exp1,Exp2,stable_plus,direction_mean_z,M1_stable,rx_mean,rx,mean,1,0.5096114405560659,1.0,1.0,0.1,-0.5418233035073491,-0.42144835525179847,0.12037494825555062,,Fx/Fz main shear ratio; signed average shear ratio in the sensitive phase
Exp1_to_Exp2,Exp1,Exp2,stable_plus,direction_mean_z,M1_stable,rx_absmean,rx,absmean,1,0.5096114405560659,1.0,0.5,0.1,-0.5418233035073491,-0.42144835525179847,0.12037494825555062,downweighted_with_rx_mean_r=1.000,Fx/Fz main shear ratio; average shear magnitude in the sensitive phase
Exp1_to_Exp2,Exp1,Exp2,stable_plus,direction_mean_z,M1_stable,rx_q05,rx,q05,1,0.6697903616470391,1.0,1.0,0.1,-0.7355713711991321,-0.35550206458201594,0.38006930661711613,,Fx/Fz main shear ratio; lower-tail sensitive-phase shear ratio
Exp1_to_Exp2,Exp1,Exp2,stable_plus,weighted_direction,M2_stable,rs_corrdist_base,rs,corrdist_base,1,1.0,1.0,1.0,0.1720815239220498,0.19675716968096157,2.064978287064598,1.8682211173836363,,resultant shear ratio contrast; shape departure from the baseline mean waveform
Exp1_to_Exp2,Exp1,Exp2,stable_plus,weighted_direction,M2_stable,rs_mean,rs,mean,1,0.6594894067206771,1.0,1.0,0.11348594211894264,-0.6394553183445387,-0.37831405860779094,0.2611412597367478,,resultant shear ratio contrast; signed average shear ratio in the sensitive phase
Exp1_to_Exp2,Exp1,Exp2,stable_plus,weighted_direction,M2_stable,rs_absmean,rs,absmean,1,0.6594894067206771,1.0,0.5,0.05674297105947132,-0.31972765917226936,-0.18915702930389547,0.1305706298683739,downweighted_with_rs_mean_r=1.000,resultant shear ratio contrast; average shear magnitude in the sensitive phase
Exp1_to_Exp2,Exp1,Exp2,stable_plus,weighted_direction,M2_stable,rs_q05,rs,q05,1,0.7479130512789578,1.0,1.0,0.12870201762527325,-1.0336920370246137,-0.39076996786493345,0.6429220691596802,,resultant shear ratio contrast; lower-tail sensitive-phase shear ratio
