model_name,feature_group,formulation,mean_AUROC,worst_AUROC,mean_AUPRC,worst_AUPRC,mean_Spearman,worst_Spearman,mean_ScoreGap,worst_ScoreGap,mean_Stage5_high_AWR_high_BD_occupancy
ry_only_direction_mean_z,ry_only,direction_mean_z,0.9123259180921729,0.8808661779330265,0.7690111832700551,0.7472969834811386,0.6753433897050332,0.6274415780179111,4.462585340077357,2.627846935680392,0.49954524783992726
M0_stable,stable_plus,mean_z,0.9174398963249133,0.844310508667513,0.7809793080606917,0.6189795031936463,0.800694521536454,0.7776992069371902,5.259620139139378,5.141507167165531,0.4979166666666667
M1_stable,stable_plus,direction_mean_z,0.9174398963249133,0.844310508667513,0.7809793080606917,0.6189795031936463,0.800694521536454,0.7776992069371902,5.259620139139378,5.141507167165531,0.4979166666666667
M2_stable,stable_plus,weighted_direction,0.9103685493104483,0.8427694406548432,0.7376067984360479,0.5956657489577857,0.8200407566590847,0.8052016897260542,5.5952864352559475,5.44474039776431,0.14895833333333333
M0_stable_no_corrdist,stable_plus_no_corrdist,mean_z,0.9113913392770581,0.8270269019174024,0.7807686574113588,0.5902175781821605,0.7511887071849778,0.6897082959052429,4.592938389076435,3.824139127343153,0.5
M1_stable_no_corrdist,stable_plus_no_corrdist,direction_mean_z,0.9113913392770581,0.8270269019174024,0.7807686574113588,0.5902175781821605,0.7511887071849778,0.6897082959052429,4.592938389076435,3.824139127343153,0.5
M2_stable_no_corrdist,stable_plus_no_corrdist,weighted_direction,0.9102709710921497,0.8233642927762265,0.7758450920165555,0.5672326847745439,0.7762612856183193,0.7107014449562955,4.781111032079959,3.987948437572544,0.49895833333333334
rx_ry_direction_mean_z,rx_ry,direction_mean_z,0.8796216015202822,0.7813085289569816,0.7639237259155827,0.613708914045201,0.7379821108042315,0.6435488560843822,3.1000370718797123,3.04029579993622,0.0
ry_only_weighted_direction,ry_only,weighted_direction,0.8572737977079343,0.7460124363800676,0.7129982835508573,0.603065516790846,0.763729039068884,0.7375695896233442,4.200298626784425,2.7141538987359906,0.37903592542064574
rx_ry_rs_direction_mean_z,rx_ry_rs,direction_mean_z,0.830445855520455,0.7149594260601656,0.5654782529471839,0.4340764770482605,0.6721904394229774,0.5709347720356853,2.0315520892695504,2.0176638351574443,0.0
rx_ry_weighted_direction,rx_ry,weighted_direction,0.8285567212667877,0.7076937805737978,0.5920693195718582,0.4131025617328574,0.7164330108114896,0.680706720819022,2.3930150071459,1.7644776557054946,0.0
rx_ry_rs_weighted_direction,rx_ry_rs,weighted_direction,0.7937183690053127,0.6840946684057189,0.4289778772965417,0.31844724513747386,0.6400492210379236,0.6160052791941326,1.8096348507188091,1.299084097961806,0.0
ry_only_mean_z,ry_only,mean_z,0.7521873279974374,0.5448013069719109,0.7368988778094228,0.5764596886895866,0.3100279238569015,-0.1174730408021269,1.0742290421614011,-0.3141362997435565,0.6039080263756252
rx_ry_rs_mean_z,rx_ry_rs,mean_z,0.7670919421056623,0.5376133165319638,0.6113022891718737,0.24123531891473476,0.47416526129062403,0.0670875025147493,1.583696066622328,-0.5829195315913619,0.5
rx_ry_mean_z,rx_ry,mean_z,0.7639283117364494,0.5315383379216222,0.6043985143666214,0.2288476019296901,0.4521394368514647,0.03630446797333172,1.7117911402972552,-0.4110419190506082,0.5
rs_only_mean_z,rs_only,mean_z,0.7454476485606851,0.5150011664695373,0.5924984102657642,0.3512307988550642,0.46215788441223404,0.03654319556266664,1.156759565632419,-1.2062656712376851,0.5
rx_only_mean_z,rx_only,mean_z,0.706504833489518,0.4483095528726318,0.5403478982422469,0.22162601204169377,0.3635269020159602,-0.04662226402001694,1.9064877614880107,-2.0466232300055296,0.5
rx_only_weighted_direction,rx_only,weighted_direction,0.5556456149455885,0.4239713040603397,0.22568623338786886,0.19709675689480974,0.20977622606655652,0.043096264431568276,0.5415420166942655,-0.03536837675822113,0.0
rx_only_direction_mean_z,rx_only,direction_mean_z,0.6225813666815813,0.3052415380985784,0.3915467570363632,0.16654659847255557,0.2605132168442888,-0.17196233291282634,1.4058676347190235,-0.8082599367027523,0.41458333333333336
rs_only_direction_mean_z,rs_only,direction_mean_z,0.31632288033931866,0.11764459420909999,0.22364582835511737,0.09606085785517056,-0.2513446186646138,-0.5392324328918942,-0.9479496248305994,-1.2062656712376851,0.0
rs_only_weighted_direction,rs_only,weighted_direction,0.28981582092343544,0.11588129368135787,0.16807407769487068,0.09581873483046284,-0.2765019104344989,-0.5466851954018467,-1.3534831454776048,-1.7994139332460435,0.0
