feature_name,raw_coefficient,normalized_weight,abs_weight,direction,rank,direction_id,source_dataset,target_dataset,selected_C,orientation_flipped
rs_rms,-6.429977336024705,-0.27371154971510403,0.27371154971510403,negative,1,Exp1_to_Exp2,Exp1,Exp2,0.5,0
rx_q05,-5.25520960820561,-0.223703986930217,0.223703986930217,negative,2,Exp1_to_Exp2,Exp1,Exp2,0.5,0
rs_q05,3.851989688199321,0.1639716614764108,0.1639716614764108,positive,3,Exp1_to_Exp2,Exp1,Exp2,0.5,0
rx_mean,2.4733250240646734,0.10528460520273406,0.10528460520273406,positive,4,Exp1_to_Exp2,Exp1,Exp2,0.5,0
rx_absmean,2.415304757377901,0.10281479601371159,0.10281479601371159,positive,5,Exp1_to_Exp2,Exp1,Exp2,0.5,0
rs_mean,1.280169691711183,0.05449431808311876,0.05449431808311876,positive,6,Exp1_to_Exp2,Exp1,Exp2,0.5,0
rs_absmean,1.280169691711183,0.05449431808311876,0.05449431808311876,positive,7,Exp1_to_Exp2,Exp1,Exp2,0.5,0
ry_p2p,0.3581274135855569,0.015244783028825929,0.015244783028825929,positive,8,Exp1_to_Exp2,Exp1,Exp2,0.5,0
rs_corrdist_base,0.08357947374682362,0.00355781460619569,0.00355781460619569,positive,9,Exp1_to_Exp2,Exp1,Exp2,0.5,0
rx_corrdist_base,0.06394860196000873,0.0027221668179953098,0.0027221668179953098,positive,10,Exp1_to_Exp2,Exp1,Exp2,0.5,0
rs_rms,82.84777272564969,0.4631225902338926,0.4631225902338926,positive,1,Exp2_to_Exp1,Exp2,Exp1,5.0,0
rs_mean,-44.48441943504999,-0.24866980578987805,0.24866980578987805,negative,2,Exp2_to_Exp1,Exp2,Exp1,5.0,0
rs_absmean,-44.48441943504999,-0.24866980578987805,0.24866980578987805,negative,3,Exp2_to_Exp1,Exp2,Exp1,5.0,0
rs_q05,5.818668698454568,0.032526606699070065,0.032526606699070065,positive,4,Exp2_to_Exp1,Exp2,Exp1,5.0,0
rx_corrdist_base,0.5042805244397205,0.0028189496832510975,0.0028189496832510975,positive,5,Exp2_to_Exp1,Exp2,Exp1,5.0,0
rs_corrdist_base,-0.3122645235450376,-0.0017455720319872491,0.0017455720319872491,negative,6,Exp2_to_Exp1,Exp2,Exp1,5.0,0
rx_q05,0.21640599984489972,0.001209718787760439,0.001209718787760439,positive,7,Exp2_to_Exp1,Exp2,Exp1,5.0,0
ry_p2p,0.15063867142243575,0.0008420766111549513,0.0008420766111549513,positive,8,Exp2_to_Exp1,Exp2,Exp1,5.0,0
rx_mean,-0.035319440842232167,-0.00019743718376876888,0.00019743718376876888,negative,9,Exp2_to_Exp1,Exp2,Exp1,5.0,0
rx_absmean,-0.035319440842232167,-0.00019743718376876888,0.00019743718376876888,negative,10,Exp2_to_Exp1,Exp2,Exp1,5.0,0
