window_index,center_cycle,adapter_updated,adapter_update_reason,adapter_rollback,rollback_reason,adapter_learning_rate,beta_norm,beta_change_norm,direction_id
0,10.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
1,15.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
2,20.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
3,25.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
4,30.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
5,35.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
6,40.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
7,45.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
8,50.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
9,55.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
10,60.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
11,65.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
12,70.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
13,75.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
14,80.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
15,85.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
16,90.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
17,95.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
18,100.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
19,105.5,0,RESTART_GUARD,0,,0.002,0.0,0.0,Exp1_to_Exp2
20,110.5,1,UPDATED,0,,0.002,0.0015190227776473,0.0015190227776473,Exp1_to_Exp2
21,115.5,1,UPDATED,0,,0.002,0.0031306089612183,0.0016118199320962,Exp1_to_Exp2
22,120.5,1,UPDATED,0,,0.002,0.0046414361636818,0.0015129171794924,Exp1_to_Exp2
23,125.5,1,UPDATED,0,,0.002,0.0060980083854798,0.0014671594226643,Exp1_to_Exp2
24,130.5,1,UPDATED,0,,0.002,0.0074991943922644,0.0014223173626099,Exp1_to_Exp2
25,135.5,1,UPDATED,0,,0.002,0.008814311589388,0.0013483593417258,Exp1_to_Exp2
