protocol_id,output_name,horizon_cycles,final_ensemble_alpha,online_reset_count,online_freeze_until
A_Exp1_to_Exp2,D_state,100,1.0,1252,13085.5
A_Exp1_to_Exp2,D_state,500,0.0,1037,14180.5
A_Exp1_to_Exp2,D_state,1000,1.0,1136,13305.5
A_Exp1_to_Exp2,S_severe_candidate,100,0.0,0,
A_Exp1_to_Exp2,S_severe_candidate,500,0.0,0,
A_Exp1_to_Exp2,S_severe_candidate,1000,0.0,0,
A_Exp1_to_Exp2,V50_norm,100,0.9000000000000002,463,13685.5
A_Exp1_to_Exp2,V50_norm,500,1.0,456,12645.5
A_Exp1_to_Exp2,V50_norm,1000,1.0,536,13780.5
A_Exp1_to_Exp2,instability_score,100,0.0,0,
A_Exp1_to_Exp2,instability_score,500,0.0,0,
A_Exp1_to_Exp2,instability_score,1000,0.0,0,
B_Exp2_to_Exp1,D_state,100,1.0,0,-inf
B_Exp2_to_Exp1,D_state,500,1.0,409,36215.5
B_Exp2_to_Exp1,D_state,1000,1.0,539,36585.5
B_Exp2_to_Exp1,S_severe_candidate,100,0.0,0,
B_Exp2_to_Exp1,S_severe_candidate,500,0.0,0,
B_Exp2_to_Exp1,S_severe_candidate,1000,0.0,0,
B_Exp2_to_Exp1,V50_norm,100,1.0,341,43350.5
B_Exp2_to_Exp1,V50_norm,500,1.0,217,36020.5
B_Exp2_to_Exp1,V50_norm,1000,1.0,217,36130.5
B_Exp2_to_Exp1,instability_score,100,0.0,0,
B_Exp2_to_Exp1,instability_score,500,0.0,0,
B_Exp2_to_Exp1,instability_score,1000,0.0,0,
