due_observation_cycle,protocol_id,output_name,horizon_cycles,model,rolling_count,rolling_MAE,rolling_RMSE,rolling_direction_accuracy
2260.5,A_Exp1_to_Exp2,D_state,100,Zero_Delta,25,7.194740626316348,10.307416123156786,0.0
3510.5,A_Exp1_to_Exp2,D_state,100,Zero_Delta,50,6.476117230528652,9.790310518470644,0.0
4760.5,A_Exp1_to_Exp2,D_state,100,Zero_Delta,75,5.794328322146993,8.732496612526903,0.0
6010.5,A_Exp1_to_Exp2,D_state,100,Zero_Delta,100,5.318228187915439,7.999705441627732,0.0
7260.5,A_Exp1_to_Exp2,D_state,100,Zero_Delta,125,6.210958113335421,10.770564829777136,0.0
8510.5,A_Exp1_to_Exp2,D_state,100,Zero_Delta,150,6.032180711582398,10.31589685276881,0.0
9760.5,A_Exp1_to_Exp2,D_state,100,Zero_Delta,175,6.714944905989207,10.883026073195898,0.0
11010.5,A_Exp1_to_Exp2,D_state,100,Zero_Delta,200,6.5618325905266826,10.593610114711742,0.0
12260.5,A_Exp1_to_Exp2,D_state,100,Zero_Delta,225,6.355123221328783,10.368532873494969,0.0
13510.5,A_Exp1_to_Exp2,D_state,100,Zero_Delta,250,5.982469669932494,9.914786980975837,0.0
14060.5,A_Exp1_to_Exp2,D_state,100,Zero_Delta,261,5.880452226833398,9.739226543023776,0.0
2260.5,A_Exp1_to_Exp2,D_state,100,Local_Linear,25,7.3772321204646225,10.355856987353068,0.28
3510.5,A_Exp1_to_Exp2,D_state,100,Local_Linear,50,6.57569771192507,9.883646237041896,0.4
4760.5,A_Exp1_to_Exp2,D_state,100,Local_Linear,75,5.881252884313624,8.811594481249214,0.44
6010.5,A_Exp1_to_Exp2,D_state,100,Local_Linear,100,5.339882199347203,8.052595892325018,0.52
7260.5,A_Exp1_to_Exp2,D_state,100,Local_Linear,125,6.227577890595711,10.809643021938715,0.536
8510.5,A_Exp1_to_Exp2,D_state,100,Local_Linear,150,6.046683922903633,10.369547381807337,0.54
9760.5,A_Exp1_to_Exp2,D_state,100,Local_Linear,175,6.728112434465874,10.939112254663351,0.5371428571428571
11010.5,A_Exp1_to_Exp2,D_state,100,Local_Linear,200,6.573029644757364,10.647825217284971,0.54
12260.5,A_Exp1_to_Exp2,D_state,100,Local_Linear,225,6.354851944152711,10.43541383525013,0.5511111111111111
13510.5,A_Exp1_to_Exp2,D_state,100,Local_Linear,250,5.9926636319135165,9.975559340294266,0.54
14060.5,A_Exp1_to_Exp2,D_state,100,Local_Linear,261,5.894323081620784,9.801168109445412,0.5325670498084292
2260.5,A_Exp1_to_Exp2,D_state,100,Kalman_Trend,25,8.96927352194657,11.894151664108788,0.36
3510.5,A_Exp1_to_Exp2,D_state,100,Kalman_Trend,50,8.223234311576801,11.281761753743336,0.38
4760.5,A_Exp1_to_Exp2,D_state,100,Kalman_Trend,75,7.125845618504421,9.998806119052144,0.4133333333333333
6010.5,A_Exp1_to_Exp2,D_state,100,Kalman_Trend,100,6.491917489249412,9.157413481347904,0.44
7260.5,A_Exp1_to_Exp2,D_state,100,Kalman_Trend,125,7.604547906643422,12.197312677171947,0.48
8510.5,A_Exp1_to_Exp2,D_state,100,Kalman_Trend,150,7.526788939624558,11.795332656327012,0.48
9760.5,A_Exp1_to_Exp2,D_state,100,Kalman_Trend,175,8.405618557815568,12.57300100660989,0.44
11010.5,A_Exp1_to_Exp2,D_state,100,Kalman_Trend,200,8.215176933647182,12.24885429427668,0.45
12260.5,A_Exp1_to_Exp2,D_state,100,Kalman_Trend,225,8.009446901393783,11.943785638268544,0.4622222222222222
13510.5,A_Exp1_to_Exp2,D_state,100,Kalman_Trend,250,7.526288003312167,11.415756838514966,0.452
14060.5,A_Exp1_to_Exp2,D_state,100,Kalman_Trend,261,7.384351067574644,11.214356661642066,0.4482758620689655
2260.5,A_Exp1_to_Exp2,D_state,100,Frozen_Ridge,25,7.673136689476403,10.119708506065104,0.28
3510.5,A_Exp1_to_Exp2,D_state,100,Frozen_Ridge,50,7.236381728126514,9.563393958557336,0.4
4760.5,A_Exp1_to_Exp2,D_state,100,Frozen_Ridge,75,6.247387072811173,8.543298978335557,0.48
6010.5,A_Exp1_to_Exp2,D_state,100,Frozen_Ridge,100,5.851843422650303,7.895227332787337,0.42
7260.5,A_Exp1_to_Exp2,D_state,100,Frozen_Ridge,125,6.931679413918395,10.708428507687415,0.416
8510.5,A_Exp1_to_Exp2,D_state,100,Frozen_Ridge,150,6.957134239250399,10.407605523756713,0.42
9760.5,A_Exp1_to_Exp2,D_state,100,Frozen_Ridge,175,7.520818512810764,10.87564907552901,0.4342857142857143
11010.5,A_Exp1_to_Exp2,D_state,100,Frozen_Ridge,200,7.28462638425253,10.54233910382854,0.445
12260.5,A_Exp1_to_Exp2,D_state,100,Frozen_Ridge,225,7.077262406712273,10.27246014117692,0.4355555555555555
13510.5,A_Exp1_to_Exp2,D_state,100,Frozen_Ridge,250,6.631573504444873,9.819970570864092,0.456
14060.5,A_Exp1_to_Exp2,D_state,100,Frozen_Ridge,261,6.484852995792433,9.639073221562615,0.4636015325670498
2260.5,A_Exp1_to_Exp2,D_state,100,Robust_Online_RLS,25,12.041885478336392,14.639432837235438,0.44
3510.5,A_Exp1_to_Exp2,D_state,100,Robust_Online_RLS,50,13.55416408044064,16.60223362238225,0.34
4760.5,A_Exp1_to_Exp2,D_state,100,Robust_Online_RLS,75,10.991314774434942,14.195257546270708,0.44
6010.5,A_Exp1_to_Exp2,D_state,100,Robust_Online_RLS,100,10.105946646775632,13.041239546587782,0.52
7260.5,A_Exp1_to_Exp2,D_state,100,Robust_Online_RLS,125,11.107415436661876,15.2435936711196,0.48
8510.5,A_Exp1_to_Exp2,D_state,100,Robust_Online_RLS,150,12.712702202950238,16.987608564804056,0.4733333333333333
9760.5,A_Exp1_to_Exp2,D_state,100,Robust_Online_RLS,175,12.50321566484842,16.571510997927977,0.4971428571428571
11010.5,A_Exp1_to_Exp2,D_state,100,Robust_Online_RLS,200,11.995214621476553,15.970480309436985,0.51
12260.5,A_Exp1_to_Exp2,D_state,100,Robust_Online_RLS,225,11.391879589406768,15.33980981815294,0.5066666666666667
13510.5,A_Exp1_to_Exp2,D_state,100,Robust_Online_RLS,250,10.797584960971802,14.726304316805576,0.496
14060.5,A_Exp1_to_Exp2,D_state,100,Robust_Online_RLS,261,10.504231838420438,14.439411491235726,0.4904214559386973
2260.5,A_Exp1_to_Exp2,D_state,100,Safe_Ensemble,25,7.673136689476403,10.119708506065104,0.28
3510.5,A_Exp1_to_Exp2,D_state,100,Safe_Ensemble,50,7.236381728126514,9.563393958557336,0.4
4760.5,A_Exp1_to_Exp2,D_state,100,Safe_Ensemble,75,6.247387072811173,8.543298978335557,0.48
6010.5,A_Exp1_to_Exp2,D_state,100,Safe_Ensemble,100,5.851843422650303,7.895227332787337,0.42
7260.5,A_Exp1_to_Exp2,D_state,100,Safe_Ensemble,125,6.931679413918395,10.708428507687415,0.416
8510.5,A_Exp1_to_Exp2,D_state,100,Safe_Ensemble,150,6.957134239250399,10.407605523756713,0.42
9760.5,A_Exp1_to_Exp2,D_state,100,Safe_Ensemble,175,7.520818512810764,10.87564907552901,0.4342857142857143
11010.5,A_Exp1_to_Exp2,D_state,100,Safe_Ensemble,200,7.28462638425253,10.54233910382854,0.445
12260.5,A_Exp1_to_Exp2,D_state,100,Safe_Ensemble,225,7.077262406712273,10.27246014117692,0.4355555555555555
13510.5,A_Exp1_to_Exp2,D_state,100,Safe_Ensemble,250,6.631573504444873,9.819970570864092,0.456
14060.5,A_Exp1_to_Exp2,D_state,100,Safe_Ensemble,261,6.484852995792433,9.639073221562615,0.4636015325670498
2660.5,A_Exp1_to_Exp2,D_state,500,Zero_Delta,25,12.04530851093384,15.912931255414035,0.0
3910.5,A_Exp1_to_Exp2,D_state,500,Zero_Delta,50,12.863934547171825,15.633834430204402,0.0
5160.5,A_Exp1_to_Exp2,D_state,500,Zero_Delta,75,12.483306783947937,14.84122593223413,0.0
6410.5,A_Exp1_to_Exp2,D_state,500,Zero_Delta,100,12.364925795918252,14.736286338415114,0.0
7660.5,A_Exp1_to_Exp2,D_state,500,Zero_Delta,125,14.604631183132357,18.106840046615595,0.0
8910.5,A_Exp1_to_Exp2,D_state,500,Zero_Delta,150,13.890094479273728,17.45636015185916,0.0
10160.5,A_Exp1_to_Exp2,D_state,500,Zero_Delta,175,13.684001920733216,17.23807333478796,0.0
11410.5,A_Exp1_to_Exp2,D_state,500,Zero_Delta,200,13.55633665648422,16.88929270365112,0.0
12660.5,A_Exp1_to_Exp2,D_state,500,Zero_Delta,225,13.631935197527737,17.17058128474184,0.0
13910.5,A_Exp1_to_Exp2,D_state,500,Zero_Delta,250,12.948086573704828,16.504245776850013,0.0
14060.5,A_Exp1_to_Exp2,D_state,500,Zero_Delta,253,12.889075695859455,16.432985246421115,0.0
2660.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,25,11.820870698878352,15.89403777847194,0.72
3910.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,50,13.491438509580645,16.43249263544317,0.42
5160.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,75,12.929146982825356,15.540047397201333,0.48
6410.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,100,12.554126201583523,15.054210953419016,0.53
7660.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,125,14.677588876269878,18.283522982104103,0.544
8910.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,150,14.062639043811624,17.76894474693714,0.52
10160.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,175,13.944214119894886,17.766790356082414,0.5085714285714286
11410.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,200,13.70251140928784,17.31412290928643,0.535
12660.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,225,13.991327795287289,17.849353483132486,0.5111111111111111
13910.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,250,13.27892126791799,17.124162465783083,0.516
14060.5,A_Exp1_to_Exp2,D_state,500,Local_Linear,253,13.237458860104995,17.05942022763102,0.5098814229249012
2660.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,25,23.41417979093575,30.183217683414107,0.4
3910.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,50,25.663128639606413,30.27016993430306,0.36
5160.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,75,24.47625777813124,28.44287569284317,0.2933333333333333
6410.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,100,23.46806619390759,27.18682936177073,0.29
7660.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,125,26.977723583564213,33.73981986396376,0.296
8910.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,150,26.26252303634965,32.953052687787334,0.2866666666666667
10160.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,175,26.495064377152307,32.86120417270568,0.2971428571428571
11410.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,200,25.61726552860584,31.86788038568618,0.335
12660.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,225,25.498671571689677,31.60427114780268,0.3333333333333333
13910.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,250,24.05456310437799,30.33678551380155,0.332
14060.5,A_Exp1_to_Exp2,D_state,500,Kalman_Trend,253,23.874684467980227,30.18235339310675,0.3359683794466403
2660.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,25,13.971969006282816,17.014560422850835,0.44
3910.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,50,10.630197787667914,13.62374761292862,0.66
5160.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,75,10.495094227164133,13.124907755082784,0.6266666666666667
6410.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,100,11.661248422949248,14.60740469010698,0.55
7660.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,125,14.458283102202484,18.01328296375761,0.52
8910.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,150,14.760487482171566,17.98645343911791,0.5333333333333333
10160.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,175,14.301664568890285,17.415052445583278,0.5428571428571428
11410.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,200,14.207173510174387,17.135234142744885,0.535
12660.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,225,13.777738081483902,16.719050841823304,0.5466666666666666
13910.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,250,12.896550681874896,15.972654177298804,0.568
14060.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,253,12.793129846002904,15.8862036915246,0.5731225296442688
2660.5,A_Exp1_to_Exp2,D_state,500,Robust_Online_RLS,25,14.805708152266082,18.91323206514384,0.68
3910.5,A_Exp1_to_Exp2,D_state,500,Robust_Online_RLS,50,12.778865291654183,15.854481223372783,0.76
