protocol_id,dataset,window_id,window_index,start_cycle,end_cycle,center_cycle,effective_configuration_count,directed_configuration_support,rate_divergence_configuration_support,abrupt_configuration_support,combined_change_score_q50,change_configuration_support,guard_configuration_fraction,stop_boundary_configuration_fraction,change_trigger
A_Exp1_to_Exp2,Exp2,200,200,1001.0,1020.0,1010.5,16,0.0,0.25,0.0,2.2192289043857496,0.25,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,201,201,1006.0,1025.0,1015.5,16,0.0,0.25,0.0,1.6378874609917466,0.25,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,202,202,1011.0,1030.0,1020.5,16,0.0,0.25,0.0,1.343459326274989,0.25,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,203,203,1016.0,1035.0,1025.5,16,0.0,0.0,0.0,0.33510702924599683,0.0,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,204,204,1021.0,1040.0,1030.5,16,0.0,0.0,0.0,0.3290455686207183,0.0,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,205,205,1026.0,1045.0,1035.5,16,0.0,0.0,0.0,0.2679062065860799,0.0,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,206,206,1031.0,1050.0,1040.5,16,0.0,0.0,0.0,0.26680883310996106,0.0,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,207,207,1036.0,1055.0,1045.5,16,0.0,0.0,0.0,0.3693926377341735,0.0,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,208,208,1041.0,1060.0,1050.5,16,0.0,0.1875,0.0,0.9081303795726743,0.1875,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,209,209,1046.0,1065.0,1055.5,16,0.0,0.1875,0.0,1.20246630069347,0.1875,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,210,210,1051.0,1070.0,1060.5,16,0.0,0.25,0.0,1.6792104415207558,0.25,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,211,211,1056.0,1075.0,1065.5,16,0.0,0.25,0.0,1.5608177594454575,0.25,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,212,212,1061.0,1080.0,1070.5,16,0.0,0.1875,0.0,1.0663495956789155,0.1875,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,213,213,1066.0,1085.0,1075.5,16,0.0,0.25,0.0,1.2492890472265699,0.25,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,214,214,1071.0,1090.0,1080.5,16,0.0,0.1875,0.0,1.1774564800582148,0.1875,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,215,215,1076.0,1095.0,1085.5,16,0.0,0.1875,0.0,1.009871170327626,0.1875,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,216,216,1081.0,1100.0,1090.5,16,0.0,0.25,0.0,2.0468472276397187,0.25,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,217,217,1086.0,1105.0,1095.5,16,0.0,0.25,0.0,1.720947914813474,0.25,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,218,218,1091.0,1110.0,1100.5,16,0.0,0.0,0.0,0.8157012301611228,0.0,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,219,219,1096.0,1115.0,1105.5,16,0.0,0.25,0.0,1.3067982080469231,0.25,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,220,220,1101.0,1120.0,1110.5,16,0.0,0.1875,0.125,0.9314287997001125,0.1875,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,221,221,1106.0,1125.0,1115.5,16,0.0,0.0,0.25,0.5139398779005937,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,222,222,1111.0,1130.0,1120.5,16,0.0,0.0,0.25,0.5764743662365801,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,223,223,1116.0,1135.0,1125.5,16,0.0,0.0,0.25,0.6128443094441816,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,224,224,1121.0,1140.0,1130.5,16,0.0,0.0,0.25,0.4686594359459536,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,225,225,1126.0,1145.0,1135.5,16,0.0,0.0,0.1875,0.34317745487134815,0.1875,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,226,226,1131.0,1150.0,1140.5,16,0.0,0.0,0.125,0.634009313587738,0.125,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,227,227,1136.0,1155.0,1145.5,16,0.0,0.125,0.125,0.7372770321360436,0.1875,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,228,228,1141.0,1160.0,1150.5,16,0.0,0.0,0.1875,0.328669451040164,0.1875,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,229,229,1146.0,1165.0,1155.5,16,0.0,0.0,0.1875,0.27551579755911987,0.1875,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,230,230,1151.0,1170.0,1160.5,16,0.0,0.0,0.25,0.55842263509008,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,231,231,1156.0,1175.0,1165.5,16,0.0,0.0,0.25,0.5927519809552955,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,232,232,1161.0,1180.0,1170.5,16,0.0,0.0,0.25,0.5885274256707829,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,233,233,1166.0,1185.0,1175.5,16,0.0,0.0,0.125,0.30506818314736783,0.125,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,234,234,1171.0,1190.0,1180.5,16,0.0,0.0,0.0625,0.34890664692911627,0.0625,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,235,235,1176.0,1195.0,1185.5,16,0.0,0.0,0.0,0.2993070254672412,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,236,236,1181.0,1200.0,1190.5,16,0.0,0.0,0.0,0.34170485749373103,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,237,237,1186.0,1205.0,1195.5,16,0.0,0.0,0.0,0.39790652472296073,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,238,238,1191.0,1210.0,1200.5,16,0.0,0.0625,0.0,1.836725055480064,0.0625,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,239,239,1196.0,1215.0,1205.5,16,0.0,0.375,0.375,5.454151472507223,0.375,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,240,240,1201.0,1220.0,1210.5,16,0.0,0.5625,0.5,9.114866036567648,0.5625,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,241,241,1206.0,1225.0,1215.5,16,0.0,0.5625,0.4375,9.889663605799832,0.5625,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,242,242,1211.0,1230.0,1220.5,16,0.0,0.5,0.375,10.243797156211302,0.5,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,243,243,1216.0,1235.0,1225.5,16,0.0,0.5,0.4375,11.16872770070417,0.5,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,244,244,1221.0,1240.0,1230.5,16,0.0,0.5,0.4375,10.356711926336317,0.5,0.0,0.0,1
