episode_id,protocol_id,target_dataset,start_cycle_effective,end_cycle_effective,peak_cycle_effective,start_cycle_actual,end_cycle_actual,peak_cycle_actual,peak_change_score,support_peak,support_mean,support_median,support_min,support_ge_080_duration_fraction,configuration_support,location_uncertainty_actual,configuration_peak_count,directed_evidence_support_mean,rate_divergence_evidence_support_mean,abrupt_evidence_support_mean,directed_evidence_share,rate_divergence_evidence_share,abrupt_evidence_share,evidence_composition,dominant_evidence,covers_guard_or_stop_boundary
A_Exp1_to_Exp2:001,A_Exp1_to_Exp2,Exp2,1196.0,1300.0,1265.5,2489.6168442077233,2662.6847536617843,2605.2728029294276,19.199313033347952,1.0,0.9062499999999996,0.9375,0.5625,0.8333333333333328,1.0,66.56458055925486,16,0.0,0.9062499999999996,0.0937500000000003,0.0,0.9062499999999997,0.09375000000000032,directed=0.000;rate_divergence=0.906;abrupt=0.094,rate_divergence,True
A_Exp1_to_Exp2:002,A_Exp1_to_Exp2,Exp2,1491.0,1655.0,1540.5,2980.530625832224,3253.4454061251663,3062.904294274301,32.361326743947004,1.0,0.8479166666666661,1.0,0.5,0.6666666666666657,1.0,54.083721704394065,16,0.0,0.829166666666666,0.2312500000000003,0.0,0.7819253438113946,0.21807465618860544,directed=0.000;rate_divergence=0.782;abrupt=0.218,rate_divergence,True
A_Exp1_to_Exp2:003,A_Exp1_to_Exp2,Exp2,1796.0,1910.0,1825.5,3488.085552596538,3677.7946071904125,3537.176930758988,32.857572294413714,0.9375,0.8437500000000001,0.875,0.5,0.8500000000000003,0.9375,0.0,16,0.0,0.8437500000000001,0.11250000000000032,0.0,0.8823529411764702,0.11764705882352969,directed=0.000;rate_divergence=0.882;abrupt=0.118,rate_divergence,True
A_Exp1_to_Exp2:004,A_Exp1_to_Exp2,Exp2,2686.0,3120.0,3095.5,4969.147470039947,5691.666666666667,5650.833333333333,130.44575491618644,1.0,0.9880999264887735,1.0,0.0,0.9880999264887735,1.0,8.33333333333303,24,0.1685843747423748,0.5334164302115412,0.6189498260195331,0.12762352414195813,0.40381254053260884,0.46856393532543295,directed=0.128;rate_divergence=0.404;abrupt=0.469,abrupt,True
A_Exp1_to_Exp2:005,A_Exp1_to_Exp2,Exp2,3101.0,3435.0,3125.5,5660.0,6216.666666666667,5700.833333333333,21.16401899060392,1.0,0.8971354166666667,1.0,0.0,0.8437500000000003,1.0,0.0,24,0.0,0.5045572916666667,0.6874999999999999,0.0,0.4232659748771164,0.5767340251228836,directed=0.000;rate_divergence=0.423;abrupt=0.577,abrupt,True
A_Exp1_to_Exp2:006,A_Exp1_to_Exp2,Exp2,3606.0,4095.0,3930.5,6501.666666666667,7316.666666666667,7042.5,7.885073612346739,0.9583333333333334,0.5881578947368417,0.625,0.0,0.2842105263157894,0.9583333333333334,25.0,24,0.021491228070175384,0.3749999999999989,0.34736842105263166,0.028891509433962233,0.5041273584905653,0.46698113207547254,directed=0.029;rate_divergence=0.504;abrupt=0.467,rate_divergence,True
A_Exp1_to_Exp2:007,A_Exp1_to_Exp2,Exp2,5096.0,5230.0,5210.5,8985.0,9208.333333333334,9175.833333333332,28.804248525915092,0.9166666666666666,0.5225694444444448,0.4583333333333333,0.25,0.16666666666666588,0.9166666666666666,0.0,24,0.019097222222222255,0.5156250000000004,0.05034722222222195,0.03264094955489619,0.8813056379821963,0.08605341246290753,directed=0.033;rate_divergence=0.881;abrupt=0.086,rate_divergence,True
A_Exp1_to_Exp2:008,A_Exp1_to_Exp2,Exp2,5396.0,5500.0,5410.5,9485.0,9658.333333333332,9509.166666666666,14.922076259338926,1.0,0.6435185185185205,0.5625,0.4166666666666667,0.3888888888888942,1.0,0.0,24,0.023148148148148636,0.6342592592592614,0.04629629629629541,0.03289473684210587,0.901315789473685,0.06578947368420911,directed=0.033;rate_divergence=0.901;abrupt=0.066,rate_divergence,True
A_Exp1_to_Exp2:009,A_Exp1_to_Exp2,Exp2,5696.0,5780.0,5710.5,9985.0,10125.0,10009.166666666668,8.174322316098019,0.7916666666666666,0.5922619047619043,0.5625,0.5,0.0,0.7916666666666666,85.41666666666424,24,0.023809523809523562,0.5922619047619043,0.0,0.03864734299516872,0.9613526570048312,0.0,directed=0.039;rate_divergence=0.961;abrupt=0.000,rate_divergence,True
A_Exp1_to_Exp2:010,A_Exp1_to_Exp2,Exp2,6366.0,6480.0,6390.5,11101.666666666666,11291.666666666666,11142.5,3.8865748248662575,0.625,0.54375,0.5416666666666666,0.4583333333333333,0.0,0.625,0.0,24,0.22083333333333316,0.05416666666666677,0.32916666666666666,0.3655172413793101,0.08965517241379328,0.5448275862068965,directed=0.366;rate_divergence=0.090;abrupt=0.545,abrupt,False
