dataset,window_id,window_index,start_cycle_effective,end_cycle_effective,center_cycle_effective,start_cycle_actual,end_cycle_actual,center_cycle_actual,cycle_effective,cycle_actual,cycle_mapping_source,cycle_mapping_config,crosses_stop_boundary,is_restart_guard,nearest_stop_boundary_actual,nearest_stop_distance_actual
Exp1,0,0,1.0,20.0,10.5,1.0,21.066147346184316,11.033073673092158,10.5,11.033073673092158,existing_segment_config_fallback,outputs_physical_validation_candidates_v1/configs/cycle_mapping_config.json,0,0,8000.0,7988.966926326908
Exp1,1,1,6.0,25.0,15.5,6.280565091101136,26.34671243728545,16.313638764193293,15.5,16.313638764193293,existing_segment_config_fallback,outputs_physical_validation_candidates_v1/configs/cycle_mapping_config.json,0,0,8000.0,7983.6863612358065
Exp1,2,2,11.0,30.0,20.5,11.561130182202271,31.627277528386585,21.59420385529443,20.5,21.59420385529443,existing_segment_config_fallback,outputs_physical_validation_candidates_v1/configs/cycle_mapping_config.json,0,0,8000.0,7978.405796144705
Exp1,3,3,16.0,35.0,25.5,16.841695273303408,36.907842619487724,26.874768946395566,25.5,26.874768946395566,existing_segment_config_fallback,outputs_physical_validation_candidates_v1/configs/cycle_mapping_config.json,0,0,8000.0,7973.125231053605
Exp1,4,4,21.0,40.0,30.5,22.122260364404543,42.18840771058886,32.1553340374967,30.5,32.1553340374967,existing_segment_config_fallback,outputs_physical_validation_candidates_v1/configs/cycle_mapping_config.json,0,0,8000.0,7967.844665962503
Exp1,5,5,26.0,45.0,35.5,27.402825455505678,47.46897280168999,37.43589912859784,35.5,37.43589912859784,existing_segment_config_fallback,outputs_physical_validation_candidates_v1/configs/cycle_mapping_config.json,0,0,8000.0,7962.564100871402
Exp1,6,6,31.0,50.0,40.5,32.683390546606816,52.74953789279113,42.71646421969897,40.5,42.71646421969897,existing_segment_config_fallback,outputs_physical_validation_candidates_v1/configs/cycle_mapping_config.json,0,0,8000.0,7957.2835357803015
Exp1,7,7,36.0,55.0,45.5,37.963955637707954,58.03010298389226,47.99702931080011,45.5,47.99702931080011,existing_segment_config_fallback,outputs_physical_validation_candidates_v1/configs/cycle_mapping_config.json,0,0,8000.0,7952.0029706892
Exp1,8,8,41.0,60.0,50.5,43.244520728809086,63.3106680749934,53.27759440190124,50.5,53.27759440190124,existing_segment_config_fallback,outputs_physical_validation_candidates_v1/configs/cycle_mapping_config.json,0,0,8000.0,7946.722405598099
Exp1,9,9,46.0,65.0,55.5,48.525085819910224,68.59123316609454,58.55815949300238,55.5,58.55815949300238,existing_segment_config_fallback,outputs_physical_validation_candidates_v1/configs/cycle_mapping_config.json,0,0,8000.0,7941.441840506997
