dataset,window_id,window_index,center_cycle_effective,center_cycle_actual,D_state,D_rs_subspace,D_rx_subspace,D_ry_subspace,velocity_v100_rs_subspace_distance,velocity_v100_rs_contribution,velocity_v100_rs_corrdist_base,velocity_v100_rs_mean,velocity_v100_rs_q05,velocity_v100_rs_rms,velocity_v100_rx_subspace_distance,velocity_v100_rx_contribution,velocity_v100_rx_corrdist_base,velocity_v100_rx_mean,velocity_v100_rx_absmean,velocity_v100_rx_q05,velocity_v100_ry_subspace_distance,velocity_v100_ry_contribution,velocity_v100_ry_p2p,velocity_v500_rs_subspace_distance,velocity_v500_rs_contribution,velocity_v500_rs_corrdist_base,velocity_v500_rs_mean,velocity_v500_rs_q05,velocity_v500_rs_rms,velocity_v500_rx_subspace_distance,velocity_v500_rx_contribution,velocity_v500_rx_corrdist_base,velocity_v500_rx_mean,velocity_v500_rx_absmean,velocity_v500_rx_q05,velocity_v500_ry_subspace_distance,velocity_v500_ry_contribution,velocity_v500_ry_p2p,velocity_v1000_rs_subspace_distance,velocity_v1000_rs_contribution,velocity_v1000_rs_corrdist_base,velocity_v1000_rs_mean,velocity_v1000_rs_q05,velocity_v1000_rs_rms,velocity_v1000_rx_subspace_distance,velocity_v1000_rx_contribution,velocity_v1000_rx_corrdist_base,velocity_v1000_rx_mean,velocity_v1000_rx_absmean,velocity_v1000_rx_q05,velocity_v1000_ry_subspace_distance,velocity_v1000_ry_contribution,velocity_v1000_ry_p2p
Exp1,200,200,1010.5,1067.1460918933194,1.1116711445592804,0.7354136144239284,0.720960716727898,1.8786391025260147,0.16954348252044266,0.155227651547997,-0.2459305359236745,-0.17916021672049232,-0.24740425785754472,-0.17024611389969324,0.16462911897307378,0.15072824466446094,-0.23762037411457415,-0.16721161144017327,-0.16721161144017327,-0.2400391589071648,0.7580521460284747,0.6940441037875419,-1.0007050311187349,0.1741909625469309,0.28856184785941036,-0.5106179529673858,-0.20718147516412327,-0.1969953205339115,-0.20365736470523213,0.17364289978243766,0.28765393621030577,-0.5028397329604634,-0.19725746043708237,-0.19725746043708237,-0.19085466711332677,0.25581822764407147,0.4237842159302839,-0.337705774987258,0.2223315293658837,0.3413649109793717,-0.5467898226015416,-0.2775469736181967,-0.27092397160573417,-0.2902440502482452,0.2180422911546934,0.3347792709475311,-0.49870100411714957,-0.273178717394953,-0.273178717394953,-0.27166189743638747,0.21092782828690376,0.3238558180730972,-0.2784459355144739
Exp1,201,201,1015.5,1072.4266569844203,1.2706861473730402,0.9898081087737026,0.9781974867563163,1.8440528465891017,0.5117199400592317,0.324409896164401,2.604420083961821,-0.1517743047373481,-0.2152698180468191,-0.14287155319485867,0.5142074606274929,0.32598688432937856,2.5752053958139625,-0.13817653156156395,-0.13817653156156395,-0.19969416410113686,0.5514595597896836,0.3496032195062205,-0.7279820508803494,0.13269554284295565,0.25113781383272654,-0.019507121071116365,-0.20276849601020824,-0.19173593063113062,-0.1998379582487928,0.1302886236579927,0.24658251069870168,-0.02371625367072108,-0.19287451849992143,-0.19287451849992143,-0.1864970303612865,0.2653932244535623,0.5022796754685718,-0.3503457332413217,0.18535017395678732,0.3053669964372987,-0.026252213112322793,-0.27355354287656575,-0.27579117914818674,-0.2839671538832175,0.18342371025215168,0.30219312061796866,0.0021850767234889547,-0.26828697681637453,-0.26828697681637453,-0.2763592109808755,0.23820125101935494,0.39243988294473264,-0.31444959500832453
Exp1,202,202,1020.5,1077.7072220755215,1.3285304637726207,0.9564066064266128,0.941368380491302,2.087816404399947,0.524505922664246,0.30895110069311,2.727207480559687,-0.12774922511820574,-0.15084909141044445,-0.13446342960274638,0.5246777150621759,0.30905229202029566,2.6713135055497146,-0.11574129071517958,-0.11574129071517958,-0.1332107264977226,0.6485151938606931,0.38199660728659424,-0.8561052437531915,0.18239269126566246,0.26716065830035307,0.7401998644487835,-0.19641924160912824,-0.1845277660659408,-0.19525601908919515,0.17953836830251585,0.2629797736577477,0.7220072192747675,-0.18701354408886497,-0.18701354408886497,-0.17936666914562188,0.3207768377173908,0.4698595680418992,-0.4234576698343561,0.18023650538634972,0.25321408351217184,0.054547551197206265,-0.2674864690896819,-0.2720411898106871,-0.2760569597926638,0.1789695046621346,0.25143407548048213,0.07292843320692262,-0.26191620234587026,-0.26191620234587026,-0.2726708352866247,0.35258893787227713,0.49535184100734597,-0.46545283974744545
Exp1,203,203,1025.5,1082.9877871666226,1.365725763142046,0.987884885425077,0.9765149219035391,2.1327774820975227,0.5230192155881961,0.3112967886072914,2.725018975267389,-0.1020346208766698,-0.12704268476851832,-0.11420663854716251,0.5260420493594055,0.3130959547132878,2.682624410183074,-0.09305164254408982,-0.09305164254408982,-0.10701742459403453,0.6310691916758934,0.37560725667942063,-0.8330747672210642,0.1875036940259713,0.24352369991901157,0.7977715446568657,-0.18952072615636859,-0.17164923758302073,-0.18927898207513433,0.18544477269171833,0.24084963984908023,0.7824344397059608,-0.18044078219628035,-0.18044078219628035,-0.1644972934632464,0.3970122972175217,0.5156266602319082,-0.5240961394582702,0.1750816711976237,0.22327501276198392,0.18192520704521228,-0.25855920087100664,-0.26298530375900164,-0.2664056286386704,0.17387656983566682,0.2217381927160598,0.1942031690765153,-0.25312768914974193,-0.25312768914974193,-0.2625207234450798,0.43519431160485267,0.5549867945219562,-0.5745002364532212
Exp1,204,204,1030.5,1088.2683522577238,1.292418125961628,1.0198179615157723,1.0113204368645312,1.8461159795045812,0.22030450908021637,0.30279511111573104,-1.030899169750584,-0.10317777346646607,-0.13332690142195502,-0.107096057635903,0.20463622768232773,0.2812600139600992,-0.9474942544783307,-0.09708453555467123,-0.09708453555467123,-0.10430297762339469,0.30262883418741093,0.4159448749241698,-0.3995004809623794,0.191265137102994,0.2517238367585488,0.835394375165462,-0.18503401519163848,-0.16257331479988535,-0.18447991295484173,0.19005377074147634,0.25012955882133503,0.8216356565619988,-0.17609608746973476,-0.17609608746973476,-0.15307078840555202,0.37850240890454206,0.49814660442011616,-0.4996612262965722,0.17358992967044148,0.2208307195094411,0.2924045380836677,-0.25063285126846124,-0.2559828358536324,-0.25704236459829527,0.1725304426049997,0.2194829034730118,0.2995466514264436,-0.2454737591740036,-0.2454737591740036,-0.2543712418418342,0.43995653793007056,0.5596863770175471,-0.580786853894962
Exp1,205,205,1035.5,1093.548917348825,1.1472953100108814,0.7564936454180774,0.7435728754592066,1.9418194091553602,0.8082489795113427,0.3952304320220301,-4.111724332506869,-0.14094847867560178,-0.20723119983969285,-0.1315405521481141,0.7985759545060339,0.39050036251533005,-3.967175141500053,-0.13619971606168668,-0.13619971606168668,-0.1847285843184816,0.43818201389469846,0.21426920546263986,-0.5784443037955507,0.12894757669030205,0.19429000028420051,0.30840203588735193,-0.185158545574322,-0.1636447896193056,-0.18342519585810296,0.12732325286372734,0.19184257254009643,0.3070871995168555,-0.17638924404846196,-0.17638924404846196,-0.15319129600393305,0.40741529171665936,0.6138674271757031,-0.5378291378918588,0.16580975291788996,0.21328486263436205,0.07137246362377478,-0.2466519240528484,-0.2520144798738469,-0.25172203091022993,0.16489015501143672,0.21210196289713218,0.08199494369332605,-0.24183461847764592,-0.24183461847764592,-0.25057093965600347,0.4467099413675758,0.5746131744685058,-0.5897020252753121
Exp1,206,206,1040.5,1098.8294824399259,1.1014047715197013,0.7605255413551916,0.7447497213160158,1.7989390518878965,0.9565309804246561,0.4489143444602837,-4.796043606378644,-0.18104286201935482,-0.30992677175791405,-0.14563242635613183,0.9360315959626888,0.439293675683306,-4.605538329341979,-0.17360084935124376,-0.17360084935124376,-0.2758016519408655,0.2382024397643773,0.1117919798564104,-0.3144511642712451,0.12875953579351226,0.20207255769374813,0.28553092982583933,-0.18801161224885282,-0.1705336218381639,-0.18439452185787114,0.1270828949840615,0.19944127221565539,0.2847281260544924,-0.1789972817759568,-0.1789972817759568,-0.15808224900634443,0.38135213568431214,0.5984861700905966,-0.5034231520964928,0.1639990510600782,0.22943290770826333,0.08015310287547907,-0.24367250575686772,-0.25053924663609806,-0.24741042819268708,0.16308236612861435,0.22815047535320626,0.09040035167372251,-0.2389584339009202,-0.2389584339009202,-0.24815949910282298,0.38772036385577774,0.5424166169385305,-0.5118298534083816
Exp1,207,207,1045.5,1104.110047531027,1.1003857835316824,0.7700086950283925,0.7508672108622004,1.7802814447044542,0.963080030972315,0.5025468603244011,-4.82915240636251,-0.1824829322012923,-0.310310973258464,-0.14251829870689703,0.9351487829842244,0.4879719957960755,-4.605615852655754,-0.17497353990035835,-0.17497353990035835,-0.27068419855647197,0.018169649563127287,0.00948114387952327,-0.023985763811560812,0.12834653307411883,0.22074565479625272,0.2659958010741492,-0.18936837863959877,-0.1740004549856174,-0.18487913301830694,0.12640112943418988,0.2173997179014,0.26376011482800815,-0.18015933943576176,-0.18015933943576176,-0.15980570328749463,0.32667503046647317,0.5618546273023473,-0.43124387714138357,0.1618036567805377,0.24797337642310124,0.07655151976070909,-0.24064379388163293,-0.24739301593554963,-0.2435032279638414,0.16078946512088577,0.24641906958487475,0.08614861037154894,-0.23581760942829585,-0.23581760942829585,-0.24434645384615997,0.32991102638448927,0.5056075539920241,-0.4355157170310325
Exp1,208,208,1050.5,1109.3906126221282,1.1793949071658096,0.787288211991745,0.7596594072469351,1.9912371022587492,0.33991115146646256,0.3883018935811645,-1.0722207757375166,-0.1810079644345769,-0.3351748217847964,-0.1320360845673123,0.27182035454929987,0.31051749238009513,-0.9414383066568005,-0.17088347110214241,-0.17088347110214241,-0.27848004236474144,0.26364705145555956,0.3011806140387404,-0.3480406093610453,0.1280648096477591,0.21715769824275633,0.21845560827530094,-0.19189605784301342,-0.18389322805907657,-0.1851304210863436,0.1251129212257395,0.21215222252340493,0.21473064516082846,-0.1825891584406744,-0.1825891584406744,-0.1679340988037464,0.33655411231724086,0.5706900792338387,-0.4442852582161436,0.16191108532461423,0.24354825253341758,0.042994568433302426,-0.24040689769775828,-0.24826267351463435,-0.2421546668129488,0.16075670982400436,0.24181182951224361,0.05228459438273164,-0.23536897044581173,-0.23536897044581173,-0.24447553370404115,0.3421330549514994,0.5146399179543388,-0.4516500232810204
Exp1,209,209,1055.5,1114.6711777132293,1.19564920757328,0.8032006836072758,0.7702918100084521,2.0134551291041123,0.3103633332773097,0.43650210141196377,-0.9225098062820278,-0.1712500465098612,-0.3170613531374127,-0.1259242024619579,0.2380184893411033,0.3347546556972372,-0.756871714229592,-0.16149253276788655,-0.16149253276788655,-0.2622362428465096,0.1626418638045619,0.22874324289079906,-0.21470360875891448,0.1279812215961973,0.2283216705461452,0.18999723229700083,-0.19168037043677316,-0.18986162879135607,-0.18333823986673248,0.1240733506853987,0.22134993200900707,0.19294018642768315,-0.18204776886379662,-0.18204776886379662,-0.17325355941312154,0.3084757588519593,0.5503283974448477,-0.40721900924442456,0.16257447479526793,0.2398140557145477,0.0025454727879601234,-0.23982222746663284,-0.24964720828823442,-0.24128325101546058,0.1611028155552858,0.23764320711476386,0.015089376823811585,-0.23455765828253589,-0.23455765828253589,-0.24530509058659336,0.3542415843828832,0.5225427371706884,-0.4676344992632042
