dataset,window_id,window_index,start_cycle_effective,end_cycle_effective,center_cycle_effective,start_cycle_actual,end_cycle_actual,center_cycle_actual,cycle_effective,cycle_actual,effective_configuration_count,D_state_q25,D_state_q50,D_state_q75,D_state_mad,V500_norm_q25,V500_norm_q50,V500_norm_q75,V500_norm_mad,V1000_norm_q25,V1000_norm_q50,V1000_norm_q75,V1000_norm_mad,multi_scale_rate_divergence_q25,multi_scale_rate_divergence_q50,multi_scale_rate_divergence_q75,multi_scale_rate_divergence_mad,state_volatility_q25,state_volatility_q50,state_volatility_q75,state_volatility_mad
Exp1,200,200,1001.0,1020.0,1010.5,1057.113018220227,1077.1791655664115,1067.1460918933194,1010.5,1067.1460918933194,16,1.3052197462629678,2.1959770766968614,2.678216214424297,0.8299236627736242,0.2489330009283337,0.28731466406872974,0.3359700591760144,0.05437759351327365,0.27378058159885066,0.318717359586952,0.3815542564688065,0.0704525893581469,0.26317652756162657,0.3323108655471648,0.3588555426937155,0.0621590594811654,0.9126942961794752,1.0657901360417088,1.21410010362839,0.15621145671416437
Exp1,201,201,1006.0,1025.0,1015.5,1062.3935833113283,1082.4597306575126,1072.4266569844203,1015.5,1072.4266569844203,16,1.9741228539150257,2.5201626549913776,3.0029301430696194,0.546475677652495,0.1987435187501386,0.26846390415374444,0.29500218983470405,0.06798402205666175,0.23131069843680332,0.2996846843277633,0.4006427730418974,0.08839058776585107,0.4771685707550417,0.7229414531870229,0.9015988421514591,0.24674073581399508,0.910014368363381,1.0678484547997007,1.2034407307324955,0.14871526375677835
Exp1,202,202,1011.0,1030.0,1020.5,1067.6741484024294,1087.7402957486136,1077.7072220755215,1020.5,1077.7072220755215,16,1.8956191489104326,2.623743540341666,3.000569247745518,0.6235943823762677,0.33220215662207425,0.39002875121660663,0.41601572915343626,0.03056078196110268,0.26625434653878655,0.3670009137459732,0.41036353927655056,0.09874827409670872,0.4587678949250298,0.7184162405094808,0.902619033838753,0.26085442257838154,0.9095990997919111,1.0711465161102376,1.1938000063197918,0.14576478345381927
Exp1,203,203,1016.0,1035.0,1025.5,1072.9547134935306,1093.0208608397147,1082.9877871666226,1025.5,1082.9877871666226,16,2.006556349785518,2.689957356551144,3.0258511415547695,0.5703345022410882,0.35764199217107473,0.4134198419373443,0.4641742282602407,0.0533184960092464,0.3049873537309936,0.40906546468859034,0.44407818918164343,0.08527444979815774,0.4021854475706019,0.6626637262906407,0.813885447036216,0.2620485030680645,0.910742495014288,1.0769489057968569,1.2023627682319566,0.14818010168313167
Exp1,204,204,1021.0,1040.0,1030.5,1078.2352785846317,1098.3014259308159,1088.2683522577238,1030.5,1088.2683522577238,16,2.061092820751835,2.5560954053279428,3.027813095442977,0.5312553238197093,0.35579904026839954,0.4163841647279154,0.4621732476645567,0.04768210933726191,0.30664079791707577,0.4211170779455664,0.4467144311226715,0.07105304594553868,0.2843781011456378,0.4180132783251341,0.4565153682551927,0.12338704948365556,0.9091836749388926,1.080466735695992,1.2089923889505372,0.14945783484422281
Exp1,205,205,1026.0,1045.0,1035.5,1083.5158436757329,1103.581991021917,1093.548917348825,1035.5,1093.548917348825,16,1.3475414310418599,2.261927032402901,2.731329544063298,0.8111578174577363,0.26797839372515886,0.3477840698172686,0.37569350298247206,0.050656880493524015,0.30614489740442624,0.4019577882046763,0.43417460030028526,0.07860443137431347,0.5440708101049687,1.0354859900392293,1.1827212926531112,0.3931052365278035,0.9071199102145521,1.0812411775449704,1.212462323950103,0.1491105948250565
Exp1,206,206,1031.0,1050.0,1040.5,1088.796408766834,1108.8625561130182,1098.8294824399259,1040.5,1098.8294824399259,16,1.2777603191166471,2.1653188884628474,2.7162476582273793,0.8533997295846519,0.2548462556377309,0.3367632723980074,0.35999804411389574,0.04697993068603093,0.275745121841495,0.3639828412178624,0.4034541703107098,0.08610853635914964,0.6887623998336669,1.2449446803220798,1.4298844819232226,0.4613019637705501,0.904485392890708,1.0810924822816714,1.2142422692779873,0.1491317851306554
Exp1,207,207,1036.0,1055.0,1045.5,1094.0769738579352,1114.1431212041193,1104.110047531027,1045.5,1104.110047531027,16,1.2727523843456492,2.15330259701147,2.731170040500362,0.8623682481013683,0.22726760631530488,0.3118553069717074,0.32668628651510645,0.04288032726120833,0.245730567625057,0.3385422120639345,0.3725707330112799,0.0880924331846876,0.7767829096806069,1.2983722387400385,1.5087774452113774,0.4680918336688916,0.9029797553978459,1.0805388143187202,1.2153605396500857,0.1491155897008184
Exp1,208,208,1041.0,1060.0,1050.5,1099.3575389490363,1119.4236862952205,1109.3906126221282,1050.5,1109.3906126221282,16,1.385809056532146,2.268849128761101,2.7938838856263266,0.8622328925341256,0.23194047492974754,0.3136113256102522,0.33248444173445846,0.04770291189958528,0.2518777732004806,0.3421654702587129,0.37663435544279217,0.0869061692235861,0.24922235733637998,0.3038646407382132,0.3929009393342374,0.08748406650963308,0.9047914457206121,1.082225179026628,1.2194797857906943,0.14863384708657146
Exp1,209,209,1046.0,1065.0,1055.5,1104.6381040401373,1124.7042513863216,1114.6711777132293,1055.5,1114.6711777132293,16,1.404214297155841,2.2791143792969306,2.8188540225171552,0.870517226385201,0.2177400063602285,0.2964725043523935,0.3190721006020263,0.055671550388261354,0.25822407218407784,0.34407578839115976,0.3813009722682831,0.08581648417178503,0.2446400454651036,0.3176756630344922,0.36332392133068414,0.05342379892094343,0.9075058770068795,1.0844484348408536,1.2241670083561207,0.14959798450379647
Exp1,210,210,1051.0,1070.0,1060.5,1109.9186691312384,1129.9848164774228,1119.9517428043305,1060.5,1119.9517428043305,16,1.477587454635978,2.35683209251677,2.8943788925857374,0.8559668811243633,0.2348874149405501,0.3164358451304952,0.3330918003295684,0.04232654234032229,0.26178706818417585,0.3453914279971321,0.38362002698778536,0.08315960452081408,0.15382689529139412,0.1920280587258933,0.2394749281370861,0.0460795186155004,0.911135479673738,1.087221213342533,1.230008140189356,0.15079290794954658
Exp1,211,211,1056.0,1075.0,1065.5,1115.1992342223396,1135.265381568524,1125.2323078954316,1065.5,1125.2323078954316,16,1.5395746814582318,2.394156604378141,2.961205871822794,0.8568644203488475,0.25508047143490825,0.3330347075689246,0.3536206920667009,0.05131600079424542,0.28564887797551164,0.37325563124902233,0.4048484321576037,0.08019109329450427,0.19741688855798012,0.23113437082336985,0.26702196116243504,0.03888344683662792,0.9163355209909676,1.089460635563589,1.2370296351939,0.1536258223247874
Exp1,212,212,1061.0,1080.0,1070.5,1120.4797993134407,1140.545946659625,1130.5128729865328,1070.5,1130.5128729865328,16,1.5563671796711565,2.417656910177138,2.981838794563367,0.8598667924704108,0.26653049340447543,0.34118067814940417,0.3673080942722386,0.05072841269974468,0.32173443063735724,0.4099022337474661,0.5024067147982163,0.08978395659560154,0.17181005977519048,0.20857836218158837,0.21623722531208248,0.021629391707791226,0.9212148217759595,1.0877793459562257,1.2437437054085303,0.16010197426108597
Exp1,213,213,1066.0,1085.0,1075.5,1125.7603644045419,1145.8265117507262,1135.793438077634,1075.5,1135.793438077634,16,1.5237593322190863,2.4007956349598043,2.9498475740134475,0.8634545880274659,0.26695950479571773,0.3396258165543028,0.3671116143204432,0.04574460037786959,0.3111726409748196,0.397502611667229,0.4848562176861286,0.08657842089645817,0.1406487315915052,0.18943746090153823,0.20637416749071108,0.04210394312222769,0.9249477556442987,1.0859119222023121,1.2491401037608405,0.16571454869113744
Exp1,214,214,1071.0,1090.0,1080.5,1131.040929495643,1151.1070768418274,1141.074003168735,1080.5,1141.074003168735,16,1.5794747540808205,2.4315479090805816,3.013918626582192,0.8537422379490471,0.2714212862651857,0.3453837345278443,0.3737670191046272,0.04724061996525858,0.3217761535535288,0.409594682389774,0.5022567125692673,0.08934685824914465,0.17054717687814458,0.20611024919964693,0.22194985750671234,0.024381882845345926,0.9299170556850038,1.08541049552984,1.2551424673290992,0.17060844922880358
Exp1,215,215,1076.0,1095.0,1085.5,1136.3214945867442,1156.3876419329285,1146.3545682598362,1085.5,1146.3545682598362,16,1.569430449761941,2.4223673665441403,3.0051071395597617,0.854716818528563,0.2641811425479341,0.33618472648648806,0.3632710829107265,0.04732613466420771,0.31231578323287745,0.3928262877715689,0.48095542991227896,0.08292618358804549,0.12436959826091676,0.15120254143196782,0.1705338316255195,0.021230555811679083,0.9345000834919419,1.084884973971575,1.259287974234341,0.17501768496331038
Exp1,216,216,1081.0,1100.0,1090.5,1141.6020596778453,1161.6682070240297,1151.6351333509374,1090.5,1151.6351333509374,16,1.530770806558248,2.4014272469174243,2.970829378182902,0.8727950093545623,0.2594235289563015,0.3299762525028297,0.35593491047349907,0.047713302021212683,0.2741840337320196,0.3620350596969353,0.394217707850775,0.07794519710254028,0.10530520242602831,0.14984515676305754,0.18651221688059716,0.042508082162777135,0.9384010755845076,1.0842774329749738,1.261071975245673,0.17869782942026624
Exp1,217,217,1086.0,1105.0,1095.5,1146.8826247689465,1166.9487721151309,1156.9156984420385,1095.5,1156.9156984420385,16,1.5244635226225596,2.4142760660440743,2.963715216064522,0.8754464763743363,0.2674777521510196,0.339931726034956,0.37382210509765934,0.041220270899206324,0.28275391043487247,0.3727944190401797,0.40147620985613786,0.06959811760476414,0.0949912792160221,0.12743893995560632,0.13774566523743026,0.0329843841810813,0.9414151351703026,1.0828170931010144,1.2655969489955072,0.18480476084140696
Exp1,218,218,1091.0,1110.0,1100.5,1152.1631898600476,1172.229337206232,1162.1962635331397,1100.5,1162.1962635331397,16,1.496164304018711,2.388528259925695,2.931109607927438,0.8755192686214452,0.26305447954040784,0.3340937352990835,0.3656304939433343,0.038820189124543436,0.27243068793046465,0.3613182322816453,0.38901242076991643,0.06880756258015364,0.11289373175207193,0.14733720476726753,0.1755077219800175,0.03329497640609291,0.9430898676309307,1.080681831682349,1.268987316827932,0.1903143880982533
Exp1,219,219,1096.0,1115.0,1105.5,1157.4437549511488,1177.509902297333,1167.4768286242409,1105.5,1167.4768286242409,16,3.2376301250455453,4.187605430926962,4.7141993351436025,0.621922878597565,0.4670810299876058,0.5958556481967161,0.749767299661666,0.16122858932402873,0.40190722281250324,0.5030698155823984,0.5470197779429293,0.06641032981218514,1.106052376262456,2.047040941506161,2.5045898578173365,0.8683689183999113,0.9554938233051776,1.1076693280766148,1.3102333141329359,0.20509524062414175
Exp1,220,220,1101.0,1120.0,1110.5,1162.72432004225,1182.790467388434,1172.757393715342,1110.5,1172.757393715342,16,3.2594009473305032,4.2191544581821985,4.727039209579199,0.6119985163685906,0.4788631170248001,0.5996894949236784,0.7639361768169423,0.16944967768963265,0.4256708299868748,0.5115348237339699,0.5636131599029811,0.055517365194331314,1.1647017786604998,2.101683018646691,2.5713784617298923,0.8797218771067497,0.9665750676485736,1.1325971715241117,1.3558976140260435,0.22407849639851074
