row_type,dataset,feature_variant,feature_name,common_windows,spearman_with_comparator,median_pairwise_signed_spearman,q25_pairwise_signed_spearman,q75_pairwise_signed_spearman,ry_p2p_mean_absolute_share,ry_p2p_p95_absolute_share,ry_p2p_share_over_050_fraction,feature_to_group_distance_spearman,mean_absolute_share,p95_absolute_share,share_over_050_fraction
variant_trajectory_comparison,Exp1,p2p_only_vs_ry_extended,D_state,8915,0.8810232666158453,,,,,,,,,,
variant_trajectory_comparison,Exp1,p2p_only_vs_ry_extended,V500_norm,8915,0.9056865375680274,,,,,,,,,,
variant_trajectory_comparison,Exp1,p2p_only_vs_ry_extended,V1000_norm,8915,0.9137219290995089,,,,,,,,,,
variant_trajectory_comparison,Exp1,p2p_only_vs_ry_extended,multi_scale_rate_divergence,8915,0.8667075824123177,,,,,,,,,,
variant_trajectory_comparison,Exp1,p2p_only_vs_ry_extended,state_volatility,8915,0.931227041716301,,,,,,,,,,
variant_trajectory_comparison,Exp1,p2p_only_vs_no_ry,D_state,8915,0.6671890679570621,,,,,,,,,,
variant_trajectory_comparison,Exp1,p2p_only_vs_no_ry,V500_norm,8915,0.7099070224820683,,,,,,,,,,
variant_trajectory_comparison,Exp1,p2p_only_vs_no_ry,V1000_norm,8915,0.7432499421496293,,,,,,,,,,
variant_trajectory_comparison,Exp1,p2p_only_vs_no_ry,multi_scale_rate_divergence,8915,0.6536094728993925,,,,,,,,,,
variant_trajectory_comparison,Exp1,p2p_only_vs_no_ry,state_volatility,8915,0.7874049950171247,,,,,,,,,,
variant_trajectory_comparison,Exp1,ry_extended_vs_no_ry,D_state,8915,0.7298108729860712,,,,,,,,,,
variant_trajectory_comparison,Exp1,ry_extended_vs_no_ry,V500_norm,8915,0.8043040264131577,,,,,,,,,,
variant_trajectory_comparison,Exp1,ry_extended_vs_no_ry,V1000_norm,8915,0.8168242847551036,,,,,,,,,,
variant_trajectory_comparison,Exp1,ry_extended_vs_no_ry,multi_scale_rate_divergence,8915,0.7933811906464387,,,,,,,,,,
variant_trajectory_comparison,Exp1,ry_extended_vs_no_ry,state_volatility,8915,0.8918073052051763,,,,,,,,,,
expanded_group_summary,Exp1,ry_extended,ry_group,8915,,-0.18172922867265226,-0.552187455606907,0.46724754845538413,0.23253844627625628,0.3733877108293205,0.0,,,,
expanded_feature,Exp1,ry_extended,ry_p2p,8915,,,,,,,,0.6955710049625063,0.23253844627625628,0.3733877108293205,0.0
expanded_feature,Exp1,ry_extended,ry_mean,8915,,,,,,,,0.8661430216321748,0.12141108361751254,0.22259615690367704,0.0
expanded_feature,Exp1,ry_extended,ry_rms,8915,,,,,,,,0.9069027481168883,0.20837914759172055,0.2838413504586328,0.0
expanded_feature,Exp1,ry_extended,ry_std,8915,,,,,,,,0.42140322468431324,0.17978534348627248,0.30510759920950303,0.0
expanded_feature,Exp1,ry_extended,ry_q05,8915,,,,,,,,0.6078495546322183,0.15425185872073394,0.40510317037673377,0.0
expanded_feature,Exp1,ry_extended,ry_q95,8915,,,,,,,,0.5623073038610183,0.05749011086862116,0.21678747990318237,0.0
expanded_feature,Exp1,ry_extended,ry_corrdist_base,8915,,,,,,,,0.4101674529332829,0.046144009438883034,0.06712224640858538,0.0
expanded_group_summary,Exp2,ry_extended,ry_group,2617,,0.011091723594364923,-0.5937495116614439,0.5880588464469384,0.07008652180489426,0.16298919499576617,0.0,,,,
expanded_feature,Exp2,ry_extended,ry_p2p,2617,,,,,,,,0.6281655540846084,0.07008652180489426,0.16298919499576617,0.0
expanded_feature,Exp2,ry_extended,ry_mean,2617,,,,,,,,0.204667685309483,0.04734512737731722,0.15811168612417775,0.0
expanded_feature,Exp2,ry_extended,ry_rms,2617,,,,,,,,0.2162129213497545,0.048095385184613974,0.15922624599582927,0.0
expanded_feature,Exp2,ry_extended,ry_std,2617,,,,,,,,0.5921900888931705,0.09256092189985586,0.2748329410458584,0.0
expanded_feature,Exp2,ry_extended,ry_q05,2617,,,,,,,,0.30610550881456944,0.06536459916461325,0.19228527910855625,0.0
expanded_feature,Exp2,ry_extended,ry_q95,2617,,,,,,,,0.026206644183183487,0.04177076915530171,0.15149181430729933,0.0
expanded_feature,Exp2,ry_extended,ry_corrdist_base,2617,,,,,,,,0.8761697451455701,0.6347766754134038,0.9007266989736552,0.7699656094764998
