row_type,dataset,metric,configuration_left,configuration_right,common_windows,full_spearman,segmented_trend_agreement,major_high_value_overlap,configuration_pair_count,full_spearman_q25,full_spearman_q75
pairwise,Exp1,D_state,b500_mahalanobis_full_p2p,b500_mahalanobis_no_rx,9015.0,0.9931707870536914,1.0,0.8240647118301314,,,
pairwise,Exp1,V500_norm,b500_mahalanobis_full_p2p,b500_mahalanobis_no_rx,9015.0,0.9825750362786585,0.8,0.7531584062196307,,,
pairwise,Exp1,V1000_norm,b500_mahalanobis_full_p2p,b500_mahalanobis_no_rx,9015.0,0.9839195851876781,0.8,0.673469387755102,,,
pairwise,Exp1,multi_scale_rate_divergence,b500_mahalanobis_full_p2p,b500_mahalanobis_no_rx,9015.0,0.9717552262660633,1.0,0.6781395348837209,,,
pairwise,Exp1,state_volatility,b500_mahalanobis_full_p2p,b500_mahalanobis_no_rx,9015.0,0.9832794921835013,0.8,0.6193895870736086,,,
pairwise,Exp1,D_state,b500_mahalanobis_full_p2p,b500_mahalanobis_no_ry,9015.0,0.4491000585250275,0.8,0.8148893360160966,,,
pairwise,Exp1,V500_norm,b500_mahalanobis_full_p2p,b500_mahalanobis_no_ry,9015.0,0.7798141081361979,0.6,0.4478330658105939,,,
pairwise,Exp1,V1000_norm,b500_mahalanobis_full_p2p,b500_mahalanobis_no_ry,9015.0,0.8109621858042406,0.6,0.6193895870736086,,,
pairwise,Exp1,multi_scale_rate_divergence,b500_mahalanobis_full_p2p,b500_mahalanobis_no_ry,9015.0,0.6965042940860822,0.8,0.36253776435045315,,,
pairwise,Exp1,state_volatility,b500_mahalanobis_full_p2p,b500_mahalanobis_no_ry,9015.0,0.788589293733915,0.8,0.6812674743709226,,,
pairwise,Exp1,D_state,b500_mahalanobis_full_p2p,b500_mahalanobis_no_rs,9015.0,0.9915894829698634,1.0,0.8408163265306122,,,
pairwise,Exp1,V500_norm,b500_mahalanobis_full_p2p,b500_mahalanobis_no_rs,9015.0,0.9838013141202848,1.0,0.6703703703703704,,,
pairwise,Exp1,V1000_norm,b500_mahalanobis_full_p2p,b500_mahalanobis_no_rs,9015.0,0.9820808651579964,0.8,0.6891385767790262,,,
pairwise,Exp1,multi_scale_rate_divergence,b500_mahalanobis_full_p2p,b500_mahalanobis_no_rs,9015.0,0.9751067582663442,1.0,0.6812674743709226,,,
pairwise,Exp1,state_volatility,b500_mahalanobis_full_p2p,b500_mahalanobis_no_rs,9015.0,0.9860780671528807,1.0,0.6150402864816473,,,
pairwise,Exp1,D_state,b500_mahalanobis_full_p2p,b500_diagonal_full_p2p,9015.0,0.9785284846362925,1.0,0.9672846237731734,,,
pairwise,Exp1,V500_norm,b500_mahalanobis_full_p2p,b500_diagonal_full_p2p,9015.0,0.9559196718948197,0.8,0.5619047619047619,,,
pairwise,Exp1,V1000_norm,b500_mahalanobis_full_p2p,b500_diagonal_full_p2p,9015.0,0.9549973635105702,0.6,0.5445205479452054,,,
pairwise,Exp1,multi_scale_rate_divergence,b500_mahalanobis_full_p2p,b500_diagonal_full_p2p,9015.0,0.933310536751579,0.8,0.48599670510708404,,,
pairwise,Exp1,state_volatility,b500_mahalanobis_full_p2p,b500_diagonal_full_p2p,9015.0,0.8428671179193596,0.8,0.5866314863676341,,,
pairwise,Exp1,D_state,b500_mahalanobis_full_p2p,b500_diagonal_no_rx,9015.0,0.9852851842099714,1.0,0.8112449799196787,,,
pairwise,Exp1,V500_norm,b500_mahalanobis_full_p2p,b500_diagonal_no_rx,9015.0,0.9818376948038526,0.8,0.7429951690821256,,,
pairwise,Exp1,V1000_norm,b500_mahalanobis_full_p2p,b500_diagonal_no_rx,9015.0,0.9796595673940423,1.0,0.5894273127753304,,,
pairwise,Exp1,multi_scale_rate_divergence,b500_mahalanobis_full_p2p,b500_diagonal_no_rx,9015.0,0.9687437487752472,1.0,0.685981308411215,,,
pairwise,Exp1,state_volatility,b500_mahalanobis_full_p2p,b500_diagonal_no_rx,9015.0,0.9346489881986734,1.0,0.64,,,
pairwise,Exp1,D_state,b500_mahalanobis_full_p2p,b500_diagonal_no_ry,9015.0,0.5854716972032837,0.8,0.8148893360160966,,,
pairwise,Exp1,V500_norm,b500_mahalanobis_full_p2p,b500_diagonal_no_ry,9015.0,0.6924892942655406,0.4,0.4397446129289705,,,
pairwise,Exp1,V1000_norm,b500_mahalanobis_full_p2p,b500_diagonal_no_ry,9015.0,0.7299596134885521,0.4,0.48599670510708404,,,
pairwise,Exp1,multi_scale_rate_divergence,b500_mahalanobis_full_p2p,b500_diagonal_no_ry,9015.0,0.6218045175064781,0.6,0.29971181556195964,,,
pairwise,Exp1,state_volatility,b500_mahalanobis_full_p2p,b500_diagonal_no_ry,9015.0,0.5990049376702107,0.8,0.5405636208368916,,,
pairwise,Exp1,D_state,b500_mahalanobis_full_p2p,b500_diagonal_no_rs,9015.0,0.9940444883103611,1.0,0.9502702702702702,,,
pairwise,Exp1,V500_norm,b500_mahalanobis_full_p2p,b500_diagonal_no_rs,9015.0,0.9756766025393684,0.8,0.6938967136150235,,,
pairwise,Exp1,V1000_norm,b500_mahalanobis_full_p2p,b500_diagonal_no_rs,9015.0,0.9760470034837595,0.6,0.6596136154553818,,,
pairwise,Exp1,multi_scale_rate_divergence,b500_mahalanobis_full_p2p,b500_diagonal_no_rs,9015.0,0.9595786741567582,1.0,0.6296296296296297,,,
