dataset,window_id,window_index,start_cycle_effective,end_cycle_effective,center_cycle_effective,start_cycle_actual,end_cycle_actual,center_cycle_actual,cycle_effective,cycle_actual,effective_configuration_count,D_state_q25,D_state_q50,D_state_q75,D_state_mad,V1000_norm_q25,V1000_norm_q50,V1000_norm_q75,V1000_norm_mad,multi_scale_rate_divergence_q25,multi_scale_rate_divergence_q50,multi_scale_rate_divergence_q75,multi_scale_rate_divergence_mad,state_volatility_q25,state_volatility_q50,state_volatility_q75,state_volatility_mad
Exp1,398,398,1991.0,2010.0,2000.5,2102.664906258252,2122.7310536044365,2112.697979931344,2000.5,2112.697979931344,32,1.4577822927045594,2.5940684410639374,4.377920606655028,1.289393133334217,0.11558381292772128,0.1778336235581497,0.2250218498639565,0.05451899564890969,0.12019604601362822,0.1932990898089712,0.44950663496945553,0.11289994074000972,0.39458218750163976,0.5280405304215906,0.7287779015378654,0.1780295566374736
Exp1,399,399,1996.0,2015.0,2005.5,2107.9454713493533,2128.0116186955374,2117.978545022445,2005.5,2117.978545022445,32,1.4483091215519437,2.5985022475137054,4.367907356641166,1.3133810413722005,0.11504981860371435,0.17910455068464037,0.22524533922203266,0.052548366176035505,0.06081595426420901,0.18057859914963326,0.45418755445748416,0.15368337186793296,0.3824949624208108,0.5223520313220079,0.7226527399508195,0.18020189424494512
Exp1,400,400,2001.0,2020.0,2010.5,2113.226036440454,2133.292183786639,2123.2591101135463,2010.5,2123.2591101135463,48,0.8676881818417029,1.4061637311763096,2.863034888779395,0.7543035995265619,0.1040789236586467,0.14619823772989077,0.2230507770720917,0.047281491335924054,0.1039191078089291,0.1416892486284547,0.1803530429162738,0.039743532225726644,0.34751295296384255,0.504821153464093,0.7115350703915561,0.17918884401776045
Exp1,401,401,2006.0,2025.0,2015.5,2118.506601531555,2138.5727488777397,2128.539675204647,2015.5,2128.539675204647,48,1.2384394541213966,1.86660324884935,3.483865900647412,0.8786734593168883,0.1133212524758567,0.16552953337776627,0.218832558783761,0.052271455303345364,0.2695376056550342,0.5580482885800622,1.0707269811570879,0.3256452548475238,0.3506511655521078,0.5116927719973032,0.7233601176212324,0.19218096657963923
Exp1,402,402,2011.0,2030.0,2020.5,2123.7871666226565,2143.8533139688407,2133.8202402957486,2020.5,2133.8202402957486,48,1.2403581700254347,1.8551501487176931,3.476314993235963,0.8813380566343674,0.11815457239280706,0.17531959371096872,0.21838710612634454,0.05140777193389796,0.31500997398506114,0.5847295874294747,1.0798242887558864,0.31556848092772394,0.35425375865518793,0.5283307587838503,0.7329598465481207,0.19640179391372145
Exp1,403,403,2016.0,2035.0,2025.5,2129.0677317137574,2149.1338790599416,2139.1008053868495,2025.5,2139.1008053868495,48,1.342438517270243,1.8905141369249456,3.456715429818324,0.8444866592370478,0.1224331464976797,0.18351191399824085,0.22980146230980575,0.057609840470100517,0.3541998651265341,0.6101934796944228,1.090838879773598,0.3089525893343247,0.35974206144069065,0.5460412007942517,0.747611393873915,0.2021500321502369
Exp1,404,404,2021.0,2040.0,2030.5,2134.348296804859,2154.414444151043,2144.381370477951,2030.5,2144.381370477951,48,1.207826807439767,1.8602609001500532,3.460314689065025,0.8768576357479216,0.11460098682353284,0.16496948532010453,0.22661893217513943,0.05467451967984655,0.18762243986052118,0.491138372442645,1.1482094955333235,0.33355656038577036,0.362395746431852,0.5620566180013113,0.7565184915784904,0.19774789795026065
Exp1,405,405,2026.0,2045.0,2035.5,2139.6288618959597,2159.695009242144,2149.661935569052,2035.5,2149.661935569052,48,0.8709906971765875,1.3974418120815488,2.848127006851582,0.7414716816491227,0.10700396012104238,0.1498440073325511,0.22905075784528656,0.0512421832069276,0.08074931707866047,0.10678866982156522,0.1351840309777122,0.02874386932639572,0.3581057287181084,0.5609936040822783,0.7552893081536222,0.19771524401175566
Exp1,406,406,2031.0,2050.0,2040.5,2144.909426987061,2164.9755743332453,2154.942500660153,2040.5,2154.942500660153,48,0.9160453431772013,1.40894144687844,2.8199499725555963,0.7198877418597741,0.1054491889836049,0.1453741570641343,0.2205100029252992,0.05122521135444013,0.07571334659484699,0.10257910372648814,0.128624367333303,0.026177447329759365,0.3525010780866292,0.540892861195307,0.7307762112746286,0.19145726016537568
Exp1,407,407,2036.0,2055.0,2045.5,2150.189992078162,2170.256139424346,2160.223065751254,2045.5,2160.223065751254,48,0.8951027642595636,1.3916808310244062,2.816777767606497,0.7009000128003162,0.10318092030438039,0.13987688923582114,0.21162464583396673,0.049341632149761706,0.09793953043364934,0.13525157670101257,0.1632957969738514,0.03523508422076911,0.3422443206622041,0.5189061593143258,0.7071989451577815,0.19070782732737437
