dataset,entry_cycle,center_cycle,adapter_update_applied,adapter_update_reason,adapter_parameter_norm_after,adapter_step_norm,target_pair_count,target_pair_latest_cycle,lambda_t,ood_ratio,direction,source_dataset,target_dataset
Exp2,0.0,10.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.315604798028651,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,15.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.301778687267516,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,20.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.288548671254105,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,25.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.2776396359360143,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,30.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.2716239542949817,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,35.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.2641869118126414,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,40.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.2586507254457957,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,45.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.2550094776173815,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,50.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.253258662216499,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,55.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.246826584734022,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,60.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.242919487603541,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,65.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.240409713927445,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,70.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.2341030565271813,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,75.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.228167210417715,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,80.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.2240123654325497,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,85.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.221105542862965,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,90.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.211781104250995,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,95.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.2097496866012416,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,100.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.2082996163412023,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,105.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.2043040032091827,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,110.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.2056752346849713,Exp1_to_Exp2,Exp1,Exp2
Exp2,0.0,115.5,0,initialization_freeze,0.0,0.0,0,,0.0,2.2071493111249114,Exp1_to_Exp2,Exp1,Exp2
