dataset,entry_cycle,window_index,center_cycle,state_uncertainty,uncertainty_feature_config_dispersion,uncertainty_ood,uncertainty_target_pair_evidence,uncertainty_prior_adapted_disagreement,uncertainty_adapter_boundary,uncertainty_local_volatility_or_gate,direction
Exp2,0.0,0,10.5,0.3495393386323853,0.18943363277998598,0.9078023990143256,1.0,0.0,0.0,0.0,Exp1_to_Exp2
Exp2,0.0,1,15.5,0.3501082898580749,0.18942423263940078,0.9008893436337579,1.0,0.0,0.0,0.010336162875290652,Exp1_to_Exp2
Exp2,0.0,2,20.5,0.34985396432107274,0.18941785713594944,0.8942743356270526,1.0,0.0,0.0,0.015431593163434306,Exp1_to_Exp2
Exp2,0.0,3,25.5,0.34956465439594653,0.18942054006217707,0.8888198179680071,1.0,0.0,0.0,0.019147568345494827,Exp1_to_Exp2
Exp2,0.0,4,30.5,0.34954549244025773,0.1894175907940626,0.8858119771474908,1.0,0.0,0.0,0.02204338669999291,Exp1_to_Exp2
Exp2,0.0,5,35.5,0.34921760072833874,0.1894009224688048,0.8820934559063207,1.0,0.0,0.0,0.0238112259949069,Exp1_to_Exp2
Exp2,0.0,6,40.5,0.3489325217235227,0.18937852344686237,0.8793253627228979,1.0,0.0,0.0,0.02489124417137633,Exp1_to_Exp2
Exp2,0.0,7,45.5,0.34874805474952514,0.18934919337353012,0.8775047388086907,1.0,0.0,0.0,0.025634396314930093,Exp1_to_Exp2
Exp2,0.0,8,50.5,0.34866152669025735,0.18932829420958341,0.8766293311082496,1.0,0.0,0.0,0.026011534823711026,Exp1_to_Exp2
Exp2,0.0,9,55.5,0.3482010275409648,0.18932608338797563,0.873413292367011,1.0,0.0,0.0,0.02646678949080236,Exp1_to_Exp2
Exp2,0.0,10,60.5,0.34794645568362853,0.1893279764312708,0.8714597438017706,1.0,0.0,0.0,0.026891013868729663,Exp1_to_Exp2
Exp2,0.0,11,65.5,0.3477809657221593,0.18933604716962543,0.8702048569637224,1.0,0.0,0.0,0.027144890199607502,Exp1_to_Exp2
Exp2,0.0,12,70.5,0.34731178897037235,0.18934154748029539,0.8670515282635907,1.0,0.0,0.0,0.0274776580783486,Exp1_to_Exp2
Exp2,0.0,13,75.5,0.34688131230445785,0.18934411969161763,0.8640836052088574,1.0,0.0,0.0,0.027860148926272022,Exp1_to_Exp2
Exp2,0.0,14,80.5,0.346579632541941,0.1893406635772465,0.8620061827162748,1.0,0.0,0.0,0.028130948958124923,Exp1_to_Exp2
Exp2,0.0,15,85.5,0.3463604822556605,0.1893323108243404,0.8605527714314825,1.0,0.0,0.0,0.02827781127814028,Exp1_to_Exp2
Exp2,0.0,16,90.5,0.3456041327573802,0.1893250418042714,0.8558905521254976,1.0,0.0,0.0,0.02840920261451214,Exp1_to_Exp2
Exp2,0.0,17,95.5,0.3454303164991645,0.18930600260760874,0.8548748433006208,1.0,0.0,0.0,0.0284010530867573,Exp1_to_Exp2
Exp2,0.0,18,100.5,0.34526814475780876,0.1892947053110261,0.8541498081706012,1.0,0.0,0.0,0.028164355065225615,Exp1_to_Exp2
Exp2,0.0,19,105.5,0.3448820305692412,0.18929142637759522,0.8521520016045914,1.0,0.0,0.0,0.02784875543326066,Exp1_to_Exp2
Exp2,0.0,20,110.5,0.34492788768069405,0.1892845371948402,0.8528376173424856,1.0,0.0,0.0,0.027445171546838405,Exp1_to_Exp2
Exp2,0.0,21,115.5,0.3449827695096765,0.18927608472505333,0.8535746555624557,1.0,0.0,0.0,0.027045876770549825,Exp1_to_Exp2
Exp2,0.0,22,120.5,0.34442070089736565,0.189273433311815,0.8504078163337401,1.0,0.0,0.0,0.02684295573863858,Exp1_to_Exp2
Exp2,0.0,23,125.5,0.3438646882527874,0.18926407037131257,0.846991025242041,1.0,0.0,0.0,0.026933033903370734,Exp1_to_Exp2
Exp2,0.0,24,130.5,0.3436276984697528,0.18925526866566017,0.8452526916780292,1.0,0.0,0.0,0.027258230474826933,Exp1_to_Exp2
Exp2,0.0,25,135.5,0.3428828828613231,0.18924877794850056,0.8402719804349217,1.0,0.0,0.0,0.02777653878451649,Exp1_to_Exp2
Exp2,0.0,26,140.5,0.3427117613384758,0.18923843982266308,0.8385823601046487,1.0,0.0,0.0,0.02844976810354336,Exp1_to_Exp2
Exp2,0.0,27,145.5,0.3427540753113904,0.18922852579433985,0.8382063488004796,1.0,0.0,0.0,0.02908957727352312,Exp1_to_Exp2
Exp2,0.0,28,150.5,0.3424470616775597,0.1892270264321394,0.8357233517736289,1.0,0.0,0.0,0.02973199185958995,Exp1_to_Exp2
Exp2,0.0,29,155.5,0.34277386537763554,0.18921868518450177,0.8370865188748142,1.0,0.0,0.0,0.03033798820649745,Exp1_to_Exp2
Exp2,0.0,30,160.5,0.3428245125851827,0.189217508669514,0.8368479093613672,1.0,0.0,0.0,0.03088165748021529,Exp1_to_Exp2
Exp2,0.0,31,165.5,0.34239816537253387,0.18922118154890893,0.8337494349844266,1.0,0.0,0.0,0.03141837570186797,Exp1_to_Exp2
Exp2,0.0,32,170.5,0.34235773154503774,0.18921510676943304,0.8329549816286665,1.0,0.0,0.0,0.031976300872126884,Exp1_to_Exp2
Exp2,0.0,33,175.5,0.3420924477600129,0.18921127474507207,0.8307686999997996,1.0,0.0,0.0,0.032574711815205715,Exp1_to_Exp2
Exp2,0.0,34,180.5,0.3416734442980848,0.18920135432769933,0.8275940016911227,1.0,0.0,0.0,0.03324530976968667,Exp1_to_Exp2
Exp2,0.0,35,185.5,0.34182215547743144,0.1891897307348107,0.8278232069617033,1.0,0.0,0.0,0.03391999516807472,Exp1_to_Exp2
Exp2,0.0,36,190.5,0.34197826185159924,0.1891803843103064,0.8281826607502758,1.0,0.0,0.0,0.034506526049013095,Exp1_to_Exp2
Exp2,0.0,37,195.5,0.34193127702451015,0.1891724484021635,0.8274564636688446,1.0,0.0,0.0,0.0349587500760528,Exp1_to_Exp2
Exp2,0.0,38,200.5,0.3421397985529521,0.18898219516477885,0.8285523878741141,1.0,0.0,0.0,0.035304208278819464,Exp1_to_Exp2
Exp2,0.0,39,205.5,0.34200368554242194,0.1886534524607178,0.8277525895920532,1.0,0.0,0.0,0.035616071201760725,Exp1_to_Exp2
Exp2,0.0,40,210.5,0.3416282383453957,0.18805417148046144,0.8256907325671714,1.0,0.0,0.0,0.03602452602474151,Exp1_to_Exp2
Exp2,0.0,41,215.5,0.34135667835653116,0.18799663818026616,0.8235254105624596,1.0,0.0,0.0,0.03661802139646143,Exp1_to_Exp2
Exp2,0.0,42,220.5,0.3407186960627786,0.18764845539548444,0.8192405363826707,1.0,0.0,0.0,0.03742318459851647,Exp1_to_Exp2
Exp2,0.0,43,225.5,0.3406460491615711,0.18740594900540608,0.8180853454876331,1.0,1.1102230246251565e-16,0.0,0.038385000476387925,Exp1_to_Exp2
Exp2,0.0,44,230.5,0.3404188628324823,0.18806105460785255,0.8149758317221076,1.0,0.0,0.0,0.03947629066493362,Exp1_to_Exp2
Exp2,0.0,45,235.5,0.340208068661994,0.18811442776814996,0.8124647103656066,1.0,0.0,0.0,0.04066927383820747,Exp1_to_Exp2
