dataset,ablation,prediction_weight,shift_weight,velocity_weight,stable_mean,transition_mean,transition_minus_stable,ablation_type,effective_window_stride,window_overlap_ratio,common_windows_after_warmup,state_agreement_vs_base,model,horizon,n,mae,stable_n,stable_mae
Exp1,full,0.4,0.3,0.3,0.5659927164473448,5.943884485408737,5.377891768961392,,,,,,,,,,,
Exp1,without_prediction_surprise,0.0,0.3,0.3,0.5390683320614177,4.697974739589931,4.158906407528513,,,,,,,,,,,
Exp1,without_distribution_shift,0.4,0.0,0.3,0.6252428387190987,6.6515099169923575,6.026267078273259,,,,,,,,,,,
Exp1,without_drift_velocity,0.4,0.3,0.0,0.5298206379349576,6.30418169309838,5.774361055163423,,,,,,,,,,,
Exp2,full,0.4,0.3,0.3,0.6340418829496789,1.4251520040026804,0.7911101210530015,,,,,,,,,,,
Exp2,without_prediction_surprise,0.0,0.3,0.3,0.7773926047446281,1.8575699361120601,1.080177331367432,,,,,,,,,,,
Exp2,without_distribution_shift,0.4,0.0,0.3,0.6431837433819824,1.2943934918560378,0.6512097484740554,,,,,,,,,,,
Exp2,without_drift_velocity,0.4,0.3,0.0,0.502027975264562,1.1852665743412836,0.6832385990767216,,,,,,,,,,,
Exp1,stride_x1,,,,,,,window_overlap,5.0,0.75,9051.0,1.0,,,,,,
Exp1,stride_x2,,,,,,,window_overlap,10.0,0.5,4494.0,0.8684913217623498,,,,,,
Exp1,stride_x4,,,,,,,window_overlap,20.0,0.0,2215.0,0.7778781038374718,,,,,,
Exp2,stride_x1,,,,,,,window_overlap,5.0,0.75,2753.0,1.0,,,,,,
Exp2,stride_x2,,,,,,,window_overlap,10.0,0.5,1345.0,0.43048327137546466,,,,,,
Exp2,stride_x4,,,,,,,window_overlap,20.0,0.0,641.0,0.41809672386895474,,,,,,
Exp1,forecast_horizon_20,,,,,,,forecast_horizon,,,,,Persistence,20.0,9095.0,0.0015963042067056528,8113.0,0.0015871848548118421
Exp1,forecast_horizon_20,,,,,,,forecast_horizon,,,,,RBF_Ridge,20.0,9011.0,0.002259580745364935,8029.0,0.002173498289164804
Exp1,forecast_horizon_20,,,,,,,forecast_horizon,,,,,Ridge,20.0,9011.0,0.009082462792322686,8029.0,0.004988767423079135
Exp1,forecast_horizon_100,,,,,,,forecast_horizon,,,,,Persistence,100.0,9015.0,0.004712567829480694,8033.0,0.004571743113811887
Exp1,forecast_horizon_100,,,,,,,forecast_horizon,,,,,RBF_Ridge,100.0,8851.0,0.006904904743868405,7869.0,0.006762844571518262
Exp1,forecast_horizon_100,,,,,,,forecast_horizon,,,,,Ridge,100.0,8851.0,0.019185100439867007,7869.0,0.014583948109048315
Exp1,forecast_horizon_300,,,,,,,forecast_horizon,,,,,Persistence,300.0,8815.0,0.009884935666235392,7833.0,0.00942427429385628
Exp1,forecast_horizon_300,,,,,,,forecast_horizon,,,,,RBF_Ridge,300.0,8451.0,0.016105829225641154,7469.0,0.015851409837219842
Exp1,forecast_horizon_300,,,,,,,forecast_horizon,,,,,Ridge,300.0,8451.0,0.04909498006761887,7469.0,0.04584284592333205
Exp2,forecast_horizon_20,,,,,,,forecast_horizon,,,,,Persistence,20.0,2797.0,0.015591154344322981,1127.0,0.017244906159683288
Exp2,forecast_horizon_20,,,,,,,forecast_horizon,,,,,RBF_Ridge,20.0,2713.0,0.02144889199937612,1058.0,0.021835253206210933
Exp2,forecast_horizon_20,,,,,,,forecast_horizon,,,,,Ridge,20.0,2713.0,0.053678370751922104,1058.0,0.03739184244609762
Exp2,forecast_horizon_20,,,,,,,forecast_horizon,,,,,SourceInit_RBF_Ridge,20.0,512.0,0.013077440648493362,256.0,0.01984102960833054
Exp2,forecast_horizon_20,,,,,,,forecast_horizon,,,,,SourceInit_Ridge,20.0,512.0,0.045019971867876346,256.0,0.05280097288855209
Exp2,forecast_horizon_100,,,,,,,forecast_horizon,,,,,Persistence,100.0,2717.0,0.034719833419081095,1047.0,0.03409265574371779
Exp2,forecast_horizon_100,,,,,,,forecast_horizon,,,,,RBF_Ridge,100.0,2553.0,0.04442952023759,939.0,0.04137279785933395
Exp2,forecast_horizon_100,,,,,,,forecast_horizon,,,,,Ridge,100.0,2553.0,0.07458348645949328,939.0,0.05979573591277529
Exp2,forecast_horizon_100,,,,,,,forecast_horizon,,,,,SourceInit_RBF_Ridge,100.0,512.0,0.033287646677396435,256.0,0.03784049501866742
Exp2,forecast_horizon_100,,,,,,,forecast_horizon,,,,,SourceInit_Ridge,100.0,512.0,0.06496109579126763,256.0,0.07378042070212107
Exp2,forecast_horizon_300,,,,,,,forecast_horizon,,,,,Persistence,300.0,2517.0,0.045521320102942534,912.0,0.04464126106372914
Exp2,forecast_horizon_300,,,,,,,forecast_horizon,,,,,RBF_Ridge,300.0,2153.0,0.06663738574286054,695.0,0.06395320683329307
Exp2,forecast_horizon_300,,,,,,,forecast_horizon,,,,,Ridge,300.0,2153.0,0.12377311259393191,695.0,0.10557026885555557
Exp2,forecast_horizon_300,,,,,,,forecast_horizon,,,,,SourceInit_RBF_Ridge,300.0,512.0,0.03826344759688036,256.0,0.03516143862611934
Exp2,forecast_horizon_300,,,,,,,forecast_horizon,,,,,SourceInit_Ridge,300.0,512.0,0.06608956087200446,256.0,0.06961032477048182
