dataset,model,horizon,n,mae,stable_n,stable_mae
Exp1,Persistence,20,9095,0.0015963042067056528,8113,0.0015871848548118421
Exp1,RBF_Ridge,20,9011,0.002259580745364935,8029,0.002173498289164804
Exp1,Ridge,20,9011,0.009082462792322686,8029,0.004988767423079135
Exp1,Persistence,100,9015,0.004712567829480694,8033,0.004571743113811887
Exp1,RBF_Ridge,100,8851,0.006904904743868405,7869,0.006762844571518262
Exp1,Ridge,100,8851,0.019185100439867007,7869,0.014583948109048315
Exp1,Persistence,300,8815,0.009884935666235392,7833,0.00942427429385628
Exp1,RBF_Ridge,300,8451,0.016105829225641154,7469,0.015851409837219842
Exp1,Ridge,300,8451,0.04909498006761887,7469,0.04584284592333205
Exp2,Persistence,20,2797,0.015591154344322981,1127,0.017244906159683288
Exp2,RBF_Ridge,20,2713,0.02144889199937612,1058,0.021835253206210933
Exp2,Ridge,20,2713,0.053678370751922104,1058,0.03739184244609762
Exp2,SourceInit_RBF_Ridge,20,512,0.013077440648493362,256,0.01984102960833054
Exp2,SourceInit_Ridge,20,512,0.045019971867876346,256,0.05280097288855209
Exp2,Persistence,100,2717,0.034719833419081095,1047,0.03409265574371779
Exp2,RBF_Ridge,100,2553,0.04442952023759,939,0.04137279785933395
Exp2,Ridge,100,2553,0.07458348645949328,939,0.05979573591277529
Exp2,SourceInit_RBF_Ridge,100,512,0.033287646677396435,256,0.03784049501866742
Exp2,SourceInit_Ridge,100,512,0.06496109579126763,256,0.07378042070212107
Exp2,Persistence,300,2517,0.045521320102942534,912,0.04464126106372914
Exp2,RBF_Ridge,300,2153,0.06663738574286054,695,0.06395320683329307
Exp2,Ridge,300,2153,0.12377311259393191,695,0.10557026885555557
Exp2,SourceInit_RBF_Ridge,300,512,0.03826344759688036,256,0.03516143862611934
Exp2,SourceInit_Ridge,300,512,0.06608956087200446,256,0.06961032477048182
