dataset,input_index,cycle,from_state,to_state,local_state_id,state_start_cycle,reason
Exp1,435,2185.5,STABLE,TRANSITION,1,2165.5,persistent_change_evidence
Exp1,438,2200.5,TRANSITION,TEMPORARY_DISTURBANCE,1,2165.5,short_change_returned_to_anchor
Exp1,444,2230.5,TEMPORARY_DISTURBANCE,STABLE,1,2165.5,temporary_disturbance_recovered
Exp1,1234,6180.5,STABLE,TRANSITION,1,6160.5,persistent_change_evidence
Exp1,1289,6455.5,TRANSITION,NEW_STABLE,2,6160.5,persistent_new_distribution_with_fast_recovery
Exp1,1305,6535.5,NEW_STABLE,STABLE,2,6160.5,new_state_confirmed
Exp1,1517,7595.5,STABLE,TRANSITION,2,7575.5,persistent_change_evidence
Exp1,1598,8000.5,TRANSITION,NEW_STABLE,3,7575.5,persistent_new_distribution_with_fast_recovery
Exp1,1614,8080.5,NEW_STABLE,STABLE,3,7575.5,new_state_confirmed
Exp1,2755,13785.5,STABLE,TRANSITION,3,13765.5,persistent_change_evidence
Exp1,2767,13845.5,TRANSITION,TEMPORARY_DISTURBANCE,3,13765.5,short_change_returned_to_anchor
Exp1,2773,13875.5,TEMPORARY_DISTURBANCE,STABLE,3,13765.5,temporary_disturbance_recovered
Exp1,2872,14370.5,STABLE,TRANSITION,3,14350.5,persistent_change_evidence
Exp1,2957,14795.5,TRANSITION,NEW_STABLE,4,14350.5,persistent_new_distribution_with_fast_recovery
Exp1,2973,14875.5,NEW_STABLE,STABLE,4,14350.5,new_state_confirmed
Exp1,3929,19655.5,STABLE,TRANSITION,4,19635.5,persistent_change_evidence
Exp1,3940,19710.5,TRANSITION,TEMPORARY_DISTURBANCE,4,19635.5,short_change_returned_to_anchor
Exp1,3946,19740.5,TEMPORARY_DISTURBANCE,STABLE,4,19635.5,temporary_disturbance_recovered
Exp1,3951,19765.5,STABLE,TRANSITION,4,19745.5,persistent_change_evidence
Exp1,3955,19785.5,TRANSITION,TEMPORARY_DISTURBANCE,4,19745.5,short_change_returned_to_anchor
Exp1,3961,19815.5,TEMPORARY_DISTURBANCE,STABLE,4,19745.5,temporary_disturbance_recovered
Exp1,4163,20825.5,STABLE,TRANSITION,4,20805.5,persistent_change_evidence
Exp1,4186,20940.5,TRANSITION,TEMPORARY_DISTURBANCE,4,20805.5,short_change_returned_to_anchor
Exp1,4192,20970.5,TEMPORARY_DISTURBANCE,STABLE,4,20805.5,temporary_disturbance_recovered
Exp1,4227,21145.5,STABLE,TRANSITION,4,21125.5,persistent_change_evidence
Exp1,4323,21625.5,TRANSITION,NEW_STABLE,5,21125.5,persistent_new_distribution_with_fast_recovery
Exp1,4339,21705.5,NEW_STABLE,STABLE,5,21125.5,new_state_confirmed
Exp1,5222,26120.5,STABLE,TRANSITION,5,26100.5,persistent_change_evidence
Exp1,5225,26135.5,TRANSITION,TEMPORARY_DISTURBANCE,5,26100.5,short_change_returned_to_anchor
Exp1,5231,26165.5,TEMPORARY_DISTURBANCE,STABLE,5,26100.5,temporary_disturbance_recovered
Exp1,5463,27325.5,STABLE,TRANSITION,5,27305.5,persistent_change_evidence
Exp1,5475,27385.5,TRANSITION,TEMPORARY_DISTURBANCE,5,27305.5,short_change_returned_to_anchor
Exp1,5481,27415.5,TEMPORARY_DISTURBANCE,STABLE,5,27305.5,temporary_disturbance_recovered
Exp1,5569,27855.5,STABLE,TRANSITION,5,27835.5,persistent_change_evidence
Exp1,5599,28005.5,TRANSITION,TEMPORARY_DISTURBANCE,5,27835.5,short_change_returned_to_anchor
Exp1,5605,28035.5,TEMPORARY_DISTURBANCE,STABLE,5,27835.5,temporary_disturbance_recovered
Exp1,5820,29110.5,STABLE,TRANSITION,5,29090.5,persistent_change_evidence
Exp1,5839,29205.5,TRANSITION,TEMPORARY_DISTURBANCE,5,29090.5,short_change_returned_to_anchor
Exp1,5845,29235.5,TEMPORARY_DISTURBANCE,STABLE,5,29090.5,temporary_disturbance_recovered
Exp1,6493,32475.5,STABLE,TRANSITION,5,32455.5,persistent_change_evidence
Exp1,6496,32490.5,TRANSITION,TEMPORARY_DISTURBANCE,5,32455.5,short_change_returned_to_anchor
Exp1,6502,32520.5,TEMPORARY_DISTURBANCE,STABLE,5,32455.5,temporary_disturbance_recovered
Exp1,6921,34615.5,STABLE,TRANSITION,5,34595.5,persistent_change_evidence
Exp1,6998,35000.5,TRANSITION,NEW_STABLE,6,34595.5,persistent_new_distribution_with_fast_recovery
Exp1,7014,35080.5,NEW_STABLE,STABLE,6,34595.5,new_state_confirmed
Exp1,7174,35880.5,STABLE,TRANSITION,6,35860.5,persistent_change_evidence
Exp1,7180,35910.5,TRANSITION,TEMPORARY_DISTURBANCE,6,35860.5,short_change_returned_to_anchor
Exp1,7186,35940.5,TEMPORARY_DISTURBANCE,STABLE,6,35860.5,temporary_disturbance_recovered
Exp1,7191,35965.5,STABLE,TRANSITION,6,35945.5,persistent_change_evidence
Exp1,7194,35980.5,TRANSITION,TEMPORARY_DISTURBANCE,6,35945.5,short_change_returned_to_anchor
Exp1,7200,36010.5,TEMPORARY_DISTURBANCE,STABLE,6,35945.5,temporary_disturbance_recovered
Exp1,7825,39135.5,STABLE,TRANSITION,6,39115.5,persistent_change_evidence
Exp1,7847,39245.5,TRANSITION,TEMPORARY_DISTURBANCE,6,39115.5,short_change_returned_to_anchor
Exp1,7853,39275.5,TEMPORARY_DISTURBANCE,STABLE,6,39115.5,temporary_disturbance_recovered
Exp1,7864,39330.5,STABLE,TRANSITION,6,39310.5,persistent_change_evidence
Exp1,8049,40255.5,TRANSITION,NEW_STABLE,7,39310.5,persistent_new_distribution_with_fast_recovery
Exp1,8065,40335.5,NEW_STABLE,STABLE,7,39310.5,new_state_confirmed
Exp1,8274,41380.5,STABLE,TRANSITION,7,41360.5,persistent_change_evidence
Exp1,8303,41525.5,TRANSITION,TEMPORARY_DISTURBANCE,7,41360.5,short_change_returned_to_anchor
