dataset,variant,entry_offset,common_future_windows,dual_model_enabled,state_agreement,evidence_mae,prediction_surprise_mae,distribution_shift_mae,drift_velocity_mae,slow_prediction_error_mae,fast_prediction_error_mae,fast_slow_prediction_difference_mae,transition_interval_iou,transition_start_difference,transition_end_difference,local_state_count_difference
Exp1,full,64,8923,1,1.0,0.03098671830853653,0.07699619349149026,0.0005224978206834934,0.0005233371576090285,0.00029423009304026373,0.0001069047082317809,0.00018553430911928668,1.0,0.0,0.0,0
Exp1,full,128,8859,1,0.9985325657523423,0.052418940710156035,0.13077129424594253,0.0004009966300326934,9.079855562280367e-05,0.00029877234184673066,8.870319018692318e-05,0.0002588229726729447,0.9871244635193133,5.0,0.0,0
Exp1,without_prediction_surprise,64,8923,1,1.0,0.00024245649852638475,0.07699619349149026,0.0005224978206834934,0.0005233371576090285,0.00029423009304026373,0.0001069047082317809,0.00018553430911928668,1.0,0.0,0.0,0
Exp1,without_prediction_surprise,128,8859,1,0.9985325657523423,0.0001282052581199295,0.13077129424594253,0.0004009966300326934,9.079855562280367e-05,0.00029877234184673066,8.870319018692318e-05,0.0002588229726729447,0.9871244635193133,5.0,0.0,0
Exp1,without_distribution_shift,64,8923,1,1.0,0.03095547854387882,0.07699619349149026,0.0005224978206834934,0.0005233371576090285,0.00029423009304026373,0.0001069047082317809,0.00018553430911928668,1.0,0.0,0.0,0
Exp1,without_distribution_shift,128,8859,1,0.9985325657523423,0.05233489332748743,0.13077129424594253,0.0004009966300326934,9.079855562280367e-05,0.00029877234184673066,8.870319018692318e-05,0.0002588229726729447,0.9871244635193133,5.0,0.0,0
Exp1,without_drift_velocity,64,8923,1,1.0,0.030894059695654615,0.07699619349149026,0.0005224978206834934,0.0005233371576090285,0.00029423009304026373,0.0001069047082317809,0.00018553430911928668,1.0,0.0,0.0,0
Exp1,without_drift_velocity,128,8859,1,0.9985325657523423,0.05239679485418421,0.13077129424594253,0.0004009966300326934,9.079855562280367e-05,0.00029877234184673066,8.870319018692318e-05,0.0002588229726729447,0.9871244635193133,5.0,0.0,0
Exp2,full,64,2625,1,0.8060952380952381,0.13940826216336982,0.3107802946012452,0.005293660780507195,0.047232196002902065,0.010747841671502209,0.0033810544233086677,0.008962145501496405,0.6952095808383234,0.0,0.0,1
Exp2,full,128,2561,1,0.8734869191721983,0.20388843646345198,0.36297232130718377,0.003643595123751039,0.1966053804983347,0.022801734973228877,0.013978739699240385,0.010139057094299632,0.7814476458186929,0.0,0.0,0
Exp2,without_prediction_surprise,64,2625,1,0.8060952380952381,0.015523685273633105,0.3107802946012452,0.005293660780507195,0.047232196002902065,0.010747841671502209,0.0033810544233086677,0.008962145501496405,0.6952095808383234,0.0,0.0,1
Exp2,without_prediction_surprise,128,2561,1,0.8734869191721983,0.06004942322920102,0.36297232130718377,0.003643595123751039,0.1966053804983347,0.022801734973228877,0.013978739699240385,0.010139057094299632,0.7814476458186929,0.0,0.0,0
Exp2,without_distribution_shift,64,2625,1,0.8060952380952381,0.13823890742538442,0.3107802946012452,0.005293660780507195,0.047232196002902065,0.010747841671502209,0.0033810544233086677,0.008962145501496405,0.6952095808383234,0.0,0.0,1
Exp2,without_distribution_shift,128,2561,1,0.8734869191721983,0.2038100562478334,0.36297232130718377,0.003643595123751039,0.1966053804983347,0.022801734973228877,0.013978739699240385,0.010139057094299632,0.7814476458186929,0.0,0.0,0
Exp2,without_drift_velocity,64,2625,1,0.8060952380952381,0.12571554433987317,0.3107802946012452,0.005293660780507195,0.047232196002902065,0.010747841671502209,0.0033810544233086677,0.008962145501496405,0.6952095808383234,0.0,0.0,1
Exp2,without_drift_velocity,128,2561,1,0.8734869191721983,0.14523676326592755,0.36297232130718377,0.003643595123751039,0.1966053804983347,0.022801734973228877,0.013978739699240385,0.010139057094299632,0.7814476458186929,0.0,0.0,0
