dataset,event_cycle,event_type,nearest_group_boundary_cycle,nearest_group_boundary_distance,within_boundary_guard,audit_only
Exp1,6080.5,STABLE_to_TRANSITION,7575.0,1494.5,0,1
Exp1,6150.5,TRANSITION_to_TEMPORARY_DISTURBANCE,7575.0,1424.5,0,1
Exp1,6180.5,TEMPORARY_DISTURBANCE_to_STABLE,7575.0,1394.5,0,1
Exp1,6205.5,STABLE_to_TRANSITION,7575.0,1369.5,0,1
Exp1,6435.5,TRANSITION_to_NEW_STABLE,7575.0,1139.5,0,1
Exp1,6515.5,NEW_STABLE_to_STABLE,7575.0,1059.5,0,1
Exp1,7590.5,STABLE_to_TRANSITION,7575.0,15.5,1,1
Exp1,8000.5,TRANSITION_to_NEW_STABLE,7575.0,425.5,0,1
Exp1,8080.5,NEW_STABLE_to_STABLE,7575.0,505.5,0,1
Exp1,12810.5,STABLE_to_TRANSITION,7575.0,5235.5,0,1
Exp1,13195.5,TRANSITION_to_NEW_STABLE,7575.0,5620.5,0,1
Exp1,13275.5,NEW_STABLE_to_STABLE,7575.0,5700.5,0,1
Exp1,14365.5,STABLE_to_TRANSITION,21125.0,6759.5,0,1
Exp1,14795.5,TRANSITION_to_NEW_STABLE,21125.0,6329.5,0,1
Exp1,14875.5,NEW_STABLE_to_STABLE,21125.0,6249.5,0,1
Exp1,19655.5,STABLE_to_TRANSITION,21125.0,1469.5,0,1
Exp1,19710.5,TRANSITION_to_TEMPORARY_DISTURBANCE,21125.0,1414.5,0,1
Exp1,19740.5,TEMPORARY_DISTURBANCE_to_STABLE,21125.0,1384.5,0,1
Exp1,20825.5,STABLE_to_TRANSITION,21125.0,299.5,0,1
Exp1,20940.5,TRANSITION_to_TEMPORARY_DISTURBANCE,21125.0,184.5,1,1
Exp1,20970.5,TEMPORARY_DISTURBANCE_to_STABLE,21125.0,154.5,1,1
Exp1,21145.5,STABLE_to_TRANSITION,21125.0,20.5,1,1
Exp1,21625.5,TRANSITION_to_NEW_STABLE,21125.0,500.5,0,1
Exp1,21705.5,NEW_STABLE_to_STABLE,21125.0,580.5,0,1
Exp1,22395.5,STABLE_to_TRANSITION,21125.0,1270.5,0,1
Exp1,22510.5,TRANSITION_to_TEMPORARY_DISTURBANCE,21125.0,1385.5,0,1
Exp1,22540.5,TEMPORARY_DISTURBANCE_to_STABLE,21125.0,1415.5,0,1
Exp1,26160.5,STABLE_to_TRANSITION,27840.0,1679.5,0,1
Exp1,26200.5,TRANSITION_to_TEMPORARY_DISTURBANCE,27840.0,1639.5,0,1
Exp1,26230.5,TEMPORARY_DISTURBANCE_to_STABLE,27840.0,1609.5,0,1
Exp1,27325.5,STABLE_to_TRANSITION,27840.0,514.5,0,1
