dataset,descriptor_scaler_mode,variant,input_index,cycle,from_state,to_state,local_state_id,state_start_cycle,reason,state_reuse_action,reuse_distance,nearest_local_state_id,model_divergence_in_change_evidence
Exp1,frozen_descriptor_scaler,full,1214,6080.5,STABLE,TRANSITION,1,6060.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,1228,6150.5,TRANSITION,TEMPORARY_DISTURBANCE,1,6060.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,full,1234,6180.5,TEMPORARY_DISTURBANCE,STABLE,1,6060.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,full,1239,6205.5,STABLE,TRANSITION,1,6185.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,1285,6435.5,TRANSITION,NEW_STABLE,2,6185.5,persistent_new_distribution_created,created,10.23569238777595,1.0,0
Exp1,frozen_descriptor_scaler,full,1301,6515.5,NEW_STABLE,STABLE,2,6185.5,new_state_confirmed,,,,0
Exp1,frozen_descriptor_scaler,full,1516,7590.5,STABLE,TRANSITION,2,7570.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,1598,8000.5,TRANSITION,NEW_STABLE,3,7570.5,persistent_new_distribution_created,created,5.186245296275357,1.0,0
Exp1,frozen_descriptor_scaler,full,1614,8080.5,NEW_STABLE,STABLE,3,7570.5,new_state_confirmed,,,,0
Exp1,frozen_descriptor_scaler,full,2560,12810.5,STABLE,TRANSITION,3,12790.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,2637,13195.5,TRANSITION,NEW_STABLE,3,12790.5,persistent_new_distribution_reused,reused,1.3800119834876199,3.0,0
Exp1,frozen_descriptor_scaler,full,2653,13275.5,NEW_STABLE,STABLE,3,12790.5,new_state_confirmed,,,,0
Exp1,frozen_descriptor_scaler,full,2871,14365.5,STABLE,TRANSITION,3,14345.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,2957,14795.5,TRANSITION,NEW_STABLE,3,14345.5,persistent_new_distribution_reused,reused,0.9361987556900755,3.0,0
Exp1,frozen_descriptor_scaler,full,2973,14875.5,NEW_STABLE,STABLE,3,14345.5,new_state_confirmed,,,,0
Exp1,frozen_descriptor_scaler,full,3929,19655.5,STABLE,TRANSITION,3,19635.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,3940,19710.5,TRANSITION,TEMPORARY_DISTURBANCE,3,19635.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,full,3946,19740.5,TEMPORARY_DISTURBANCE,STABLE,3,19635.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,full,4163,20825.5,STABLE,TRANSITION,3,20805.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,4186,20940.5,TRANSITION,TEMPORARY_DISTURBANCE,3,20805.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,full,4192,20970.5,TEMPORARY_DISTURBANCE,STABLE,3,20805.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,full,4227,21145.5,STABLE,TRANSITION,3,21125.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,4323,21625.5,TRANSITION,NEW_STABLE,3,21125.5,persistent_new_distribution_reused,reused,1.666248322318622,3.0,0
Exp1,frozen_descriptor_scaler,full,4339,21705.5,NEW_STABLE,STABLE,3,21125.5,new_state_confirmed,,,,0
Exp1,frozen_descriptor_scaler,full,4477,22395.5,STABLE,TRANSITION,3,22375.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,4500,22510.5,TRANSITION,TEMPORARY_DISTURBANCE,3,22375.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,full,4506,22540.5,TEMPORARY_DISTURBANCE,STABLE,3,22375.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,full,5230,26160.5,STABLE,TRANSITION,3,26140.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,5238,26200.5,TRANSITION,TEMPORARY_DISTURBANCE,3,26140.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,full,5244,26230.5,TEMPORARY_DISTURBANCE,STABLE,3,26140.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,full,5463,27325.5,STABLE,TRANSITION,3,27305.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,5475,27385.5,TRANSITION,TEMPORARY_DISTURBANCE,3,27305.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,full,5481,27415.5,TEMPORARY_DISTURBANCE,STABLE,3,27305.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,full,5568,27850.5,STABLE,TRANSITION,3,27830.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,5599,28005.5,TRANSITION,TEMPORARY_DISTURBANCE,3,27830.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,full,5605,28035.5,TEMPORARY_DISTURBANCE,STABLE,3,27830.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,full,5820,29110.5,STABLE,TRANSITION,3,29090.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,5839,29205.5,TRANSITION,TEMPORARY_DISTURBANCE,3,29090.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,full,5845,29235.5,TEMPORARY_DISTURBANCE,STABLE,3,29090.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,full,6493,32475.5,STABLE,TRANSITION,3,32455.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,6496,32490.5,TRANSITION,TEMPORARY_DISTURBANCE,3,32455.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,full,6502,32520.5,TEMPORARY_DISTURBANCE,STABLE,3,32455.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,full,6921,34615.5,STABLE,TRANSITION,3,34595.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,6998,35000.5,TRANSITION,NEW_STABLE,4,34595.5,persistent_new_distribution_created,created,4.820134277631933,3.0,0
Exp1,frozen_descriptor_scaler,full,7014,35080.5,NEW_STABLE,STABLE,4,34595.5,new_state_confirmed,,,,0
Exp1,frozen_descriptor_scaler,full,7174,35880.5,STABLE,TRANSITION,4,35860.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,7180,35910.5,TRANSITION,TEMPORARY_DISTURBANCE,4,35860.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,full,7186,35940.5,TEMPORARY_DISTURBANCE,STABLE,4,35860.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,full,7191,35965.5,STABLE,TRANSITION,4,35945.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,7194,35980.5,TRANSITION,TEMPORARY_DISTURBANCE,4,35945.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,full,7200,36010.5,TEMPORARY_DISTURBANCE,STABLE,4,35945.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,full,7825,39135.5,STABLE,TRANSITION,4,39115.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,7847,39245.5,TRANSITION,TEMPORARY_DISTURBANCE,4,39115.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,full,7853,39275.5,TEMPORARY_DISTURBANCE,STABLE,4,39115.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,full,8274,41380.5,STABLE,TRANSITION,4,41360.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,8303,41525.5,TRANSITION,TEMPORARY_DISTURBANCE,4,41360.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,full,8309,41555.5,TEMPORARY_DISTURBANCE,STABLE,4,41360.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,full,8326,41640.5,STABLE,TRANSITION,4,41620.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,full,8353,41775.5,TRANSITION,NEW_STABLE,5,41620.5,persistent_new_distribution_created,created,16.33220981133907,4.0,0
Exp1,frozen_descriptor_scaler,full,8369,41855.5,NEW_STABLE,STABLE,5,41620.5,new_state_confirmed,,,,0
Exp1,frozen_descriptor_scaler,without_prediction_surprise,1214,6080.5,STABLE,TRANSITION,1,6060.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,without_prediction_surprise,1228,6150.5,TRANSITION,TEMPORARY_DISTURBANCE,1,6060.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,without_prediction_surprise,1234,6180.5,TEMPORARY_DISTURBANCE,STABLE,1,6060.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,without_prediction_surprise,1239,6205.5,STABLE,TRANSITION,1,6185.5,persistent_change_evidence,,,,0
