dataset,local_state_id,state_centre,state_scale,support,first_seen_cycle,last_seen_cycle
Exp1,1,0.203807912845;0.110715313382;-0.0395247692555;-0.0812306838234;0.090784684489;0.220293077702,0.00748803942627;0.00981856812558;0.00193793026403;0.000395926139265;0.00150228897309;0.00707397484351,1,10.5,6430.5
Exp1,2,0.129368961517;0.0339140033522;-0.0297795929422;-0.0675602883969;0.0886430171391;0.153897663063,0.000530013982679;0.000216924241689;0.000371279121593;0.000491547510196;0.000583965609127;0.000624273356439,1,6435.5,7995.5
Exp1,3,0.155638496137;0.0728522975395;-0.0545731870778;-0.100171727759;0.104088379704;0.17661157169,0.00269455914999;0.00825912677078;0.00128670312235;0.00266739246107;0.0025306890614;0.00358208941099,4,8000.5,34995.5
Exp1,4,0.15748629172;0.0881368782686;-0.0694845038894;-0.125855917546;0.115406720205;0.180926073993,0.00410280203151;0.00969954646489;0.000418832038342;0.000734444882367;0.000531458638245;0.00274912014278,1,35000.5,41770.5
Exp1,5,0.171285956179;0.0772330698562;-0.138941928398;-0.189986477498;0.10795244242;0.22718811969,0.00201390847367;0.000998778066096;0.00165868186867;0.00208670008168;0.00183169479031;0.000750626137224,1,41775.5,45580.5
Exp2,1,0.178441198854;0.103497413293;-0.222410363631;-0.262050786771;0.0903864752543;0.291354018422,0.00539566614721;0.0114921190222;0.00462331170826;0.00245907008008;0.00165153512783;0.00881519239599,1,10.5,835.5
Exp2,2,0.154447654488;0.0678833787551;-0.160800347765;-0.184266164124;0.0565088982205;0.229138520803,0.0083300065222;0.0179656791609;0.00661754655808;0.00265111816014;0.00627897908232;0.00500636718503,2,840.5,3515.5
Exp2,3,0.226781645809;0.152426498834;-0.197978170535;-0.216664032183;0.0534422313714;0.305941976326,0.00755369081491;0.0217499010936;0.0145339010823;0.00836632601857;0.0105248654914;0.00968961014213,2,3520.5,5525.5
Exp2,4,0.211518151788;0.153971537422;-0.14253660286;-0.169591658989;0.0712864728742;0.26005251048,0.00740772814149;0.00772998309282;0.000974667880826;0.00443572764486;0.00946742518526;0.00814502694963,1,5530.5,6820.5
Exp2,5,0.167664788712;0.102185714094;-0.178619527748;-0.211729738008;0.0790329088108;0.250184003125,0.00364082282401;0.00441263408505;0.00782399310292;0.00509470772006;0.00692958253223;0.00357885358265,1,6825.5,7660.5
Exp2,6,0.163451956828;0.0791833063263;-0.269405927271;-0.307590324151;0.076473022235;0.321118441278,0.00751364034882;0.0156223331196;0.0175396290035;0.0162634738106;0.00605910140138;0.0155040835315,1,7665.5,11990.5
Exp2,7,0.239022521231;0.163064934401;-0.220061882128;-0.323249958217;0.211137283706;0.336215663917,0.0105157547435;0.00925734079482;0.00137908608247;0.00481910316844;0.00451013131219;0.00714631029593,1,11995.5,14090.5
