dataset,descriptor_scaler_mode,cycle,event,assigned_local_state_id,nearest_local_state_id,distance,action
Exp1,frozen_descriptor_scaler,10.5,initialise,1,,,created
Exp1,frozen_descriptor_scaler,325.5,calibrate_initial,1,1.0,0.0,calibrated
Exp1,frozen_descriptor_scaler,6435.5,confirm_new_stable,2,1.0,10.23569238777595,created
Exp1,frozen_descriptor_scaler,8000.5,confirm_new_stable,3,1.0,5.186245296275357,created
Exp1,frozen_descriptor_scaler,13195.5,confirm_new_stable,3,3.0,1.3800119834876199,reused
Exp1,frozen_descriptor_scaler,14795.5,confirm_new_stable,3,3.0,0.9361987556900755,reused
Exp1,frozen_descriptor_scaler,21625.5,confirm_new_stable,3,3.0,1.666248322318622,reused
Exp1,frozen_descriptor_scaler,35000.5,confirm_new_stable,4,3.0,4.820134277631933,created
Exp1,frozen_descriptor_scaler,41775.5,confirm_new_stable,5,4.0,16.33220981133907,created
Exp2,frozen_descriptor_scaler,10.5,initialise,1,,,created
Exp2,frozen_descriptor_scaler,325.5,calibrate_initial,1,1.0,0.0,calibrated
Exp2,frozen_descriptor_scaler,840.5,confirm_new_stable,2,1.0,9.95199353673292,created
Exp2,frozen_descriptor_scaler,2535.5,confirm_new_stable,2,2.0,1.319036020321026,reused
Exp2,frozen_descriptor_scaler,3520.5,confirm_new_stable,3,1.0,3.40353004887626,created
Exp2,frozen_descriptor_scaler,4640.5,confirm_new_stable,3,3.0,1.1606201830194818,reused
Exp2,frozen_descriptor_scaler,5530.5,confirm_new_stable,4,3.0,2.9940220951968897,created
Exp2,frozen_descriptor_scaler,6825.5,confirm_new_stable,5,2.0,3.103047552619854,created
Exp2,frozen_descriptor_scaler,7665.5,confirm_new_stable,6,1.0,2.207813313399354,created
Exp2,frozen_descriptor_scaler,11995.5,confirm_new_stable,7,3.0,5.669991805614726,created
