dataset,descriptor_scaler_mode,input_index,cycle,from_state,to_state,local_state_id,state_start_cycle,reason,state_reuse_action,reuse_distance,nearest_local_state_id,model_divergence_in_change_evidence
Exp1,frozen_descriptor_scaler,1214,6080.5,STABLE,TRANSITION,1,6060.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,1228,6150.5,TRANSITION,TEMPORARY_DISTURBANCE,1,6060.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,1234,6180.5,TEMPORARY_DISTURBANCE,STABLE,1,6060.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,1239,6205.5,STABLE,TRANSITION,1,6185.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,1285,6435.5,TRANSITION,NEW_STABLE,2,6185.5,persistent_new_distribution_created,created,10.23569238777595,1.0,0
Exp1,frozen_descriptor_scaler,1301,6515.5,NEW_STABLE,STABLE,2,6185.5,new_state_confirmed,,,,0
Exp1,frozen_descriptor_scaler,1516,7590.5,STABLE,TRANSITION,2,7570.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,1598,8000.5,TRANSITION,NEW_STABLE,3,7570.5,persistent_new_distribution_created,created,5.186245296275357,1.0,0
Exp1,frozen_descriptor_scaler,1614,8080.5,NEW_STABLE,STABLE,3,7570.5,new_state_confirmed,,,,0
Exp1,frozen_descriptor_scaler,2560,12810.5,STABLE,TRANSITION,3,12790.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,2637,13195.5,TRANSITION,NEW_STABLE,3,12790.5,persistent_new_distribution_reused,reused,1.3800119834876199,3.0,0
Exp1,frozen_descriptor_scaler,2653,13275.5,NEW_STABLE,STABLE,3,12790.5,new_state_confirmed,,,,0
Exp1,frozen_descriptor_scaler,2871,14365.5,STABLE,TRANSITION,3,14345.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,2957,14795.5,TRANSITION,NEW_STABLE,3,14345.5,persistent_new_distribution_reused,reused,0.9361987556900755,3.0,0
Exp1,frozen_descriptor_scaler,2973,14875.5,NEW_STABLE,STABLE,3,14345.5,new_state_confirmed,,,,0
Exp1,frozen_descriptor_scaler,3929,19655.5,STABLE,TRANSITION,3,19635.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,3940,19710.5,TRANSITION,TEMPORARY_DISTURBANCE,3,19635.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,3946,19740.5,TEMPORARY_DISTURBANCE,STABLE,3,19635.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,4163,20825.5,STABLE,TRANSITION,3,20805.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,4186,20940.5,TRANSITION,TEMPORARY_DISTURBANCE,3,20805.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,4192,20970.5,TEMPORARY_DISTURBANCE,STABLE,3,20805.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,4227,21145.5,STABLE,TRANSITION,3,21125.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,4323,21625.5,TRANSITION,NEW_STABLE,3,21125.5,persistent_new_distribution_reused,reused,1.666248322318622,3.0,0
Exp1,frozen_descriptor_scaler,4339,21705.5,NEW_STABLE,STABLE,3,21125.5,new_state_confirmed,,,,0
Exp1,frozen_descriptor_scaler,4477,22395.5,STABLE,TRANSITION,3,22375.5,persistent_change_evidence,,,,0
