dataset,tolerance_actual_cycles,from_stage,to_stage,boundary_effective_cycle,boundary_actual_cycle,alarm_cycle,alarm_actual_cycle,detection_delay_cycles,match_status,model,setting
Exp1,100.0,1.0,2.0,7575.0,8000.0,7590.5,8018.30258302583,18.302583025830245,MATCHED,V331,v331_frozen
Exp1,100.0,2.0,3.0,21125.0,24000.0,21145.5,24024.422933730453,24.422933730453224,MATCHED,V331,v331_frozen
Exp1,100.0,3.0,4.0,27840.0,32000.0,27850.5,32012.42603550296,12.426035502958257,MATCHED,V331,v331_frozen
Exp1,100.0,4.0,5.0,34600.0,40000.0,34615.5,40018.33484986351,18.33484986350959,MATCHED,V331,v331_frozen
Exp1,100.0,,,,,6080.5,6421.639094269871,,FALSE_ALARM,V331,v331_frozen
Exp1,100.0,,,,,6205.5,6553.653221547399,,FALSE_ALARM,V331,v331_frozen
Exp1,100.0,,,,,12810.5,14182.140221402213,,FALSE_ALARM,V331,v331_frozen
Exp1,100.0,,,,,14365.5,16018.30258302583,,FALSE_ALARM,V331,v331_frozen
Exp1,100.0,,,,,19655.5,22264.79704797048,,FALSE_ALARM,V331,v331_frozen
Exp1,100.0,,,,,20825.5,23646.346863468636,,FALSE_ALARM,V331,v331_frozen
Exp1,100.0,,,,,22395.5,25513.62620997766,,FALSE_ALARM,V331,v331_frozen
Exp1,100.0,,,,,26160.5,29999.10647803425,,FALSE_ALARM,V331,v331_frozen
Exp1,100.0,,,,,27325.5,31387.04393149665,,FALSE_ALARM,V331,v331_frozen
Exp1,100.0,,,,,29110.5,33503.55029585799,,FALSE_ALARM,V331,v331_frozen
Exp1,100.0,,,,,32475.5,37485.79881656804,,FALSE_ALARM,V331,v331_frozen
Exp1,100.0,,,,,35880.5,41514.695177434034,,FALSE_ALARM,V331,v331_frozen
Exp1,100.0,,,,,35965.5,41615.241128298454,,FALSE_ALARM,V331,v331_frozen
Exp1,100.0,,,,,39135.5,45365.01364877161,,FALSE_ALARM,V331,v331_frozen
Exp1,100.0,,,,,41380.5,48020.60964513194,,FALSE_ALARM,V331,v331_frozen
Exp1,100.0,,,,,41640.5,48328.16196542311,,FALSE_ALARM,V331,v331_frozen
Exp1,250.0,1.0,2.0,7575.0,8000.0,7590.5,8018.30258302583,18.302583025830245,MATCHED,V331,v331_frozen
Exp1,250.0,2.0,3.0,21125.0,24000.0,21145.5,24024.422933730453,24.422933730453224,MATCHED,V331,v331_frozen
Exp1,250.0,3.0,4.0,27840.0,32000.0,27850.5,32012.42603550296,12.426035502958257,MATCHED,V331,v331_frozen
Exp1,250.0,4.0,5.0,34600.0,40000.0,34615.5,40018.33484986351,18.33484986350959,MATCHED,V331,v331_frozen
Exp1,250.0,,,,,6080.5,6421.639094269871,,FALSE_ALARM,V331,v331_frozen
Exp1,250.0,,,,,6205.5,6553.653221547399,,FALSE_ALARM,V331,v331_frozen
Exp1,250.0,,,,,12810.5,14182.140221402213,,FALSE_ALARM,V331,v331_frozen
Exp1,250.0,,,,,14365.5,16018.30258302583,,FALSE_ALARM,V331,v331_frozen
Exp1,250.0,,,,,19655.5,22264.79704797048,,FALSE_ALARM,V331,v331_frozen
Exp1,250.0,,,,,20825.5,23646.346863468636,,FALSE_ALARM,V331,v331_frozen
Exp1,250.0,,,,,22395.5,25513.62620997766,,FALSE_ALARM,V331,v331_frozen
Exp1,250.0,,,,,26160.5,29999.10647803425,,FALSE_ALARM,V331,v331_frozen
Exp1,250.0,,,,,27325.5,31387.04393149665,,FALSE_ALARM,V331,v331_frozen
Exp1,250.0,,,,,29110.5,33503.55029585799,,FALSE_ALARM,V331,v331_frozen
Exp1,250.0,,,,,32475.5,37485.79881656804,,FALSE_ALARM,V331,v331_frozen
Exp1,250.0,,,,,35880.5,41514.695177434034,,FALSE_ALARM,V331,v331_frozen
Exp1,250.0,,,,,35965.5,41615.241128298454,,FALSE_ALARM,V331,v331_frozen
Exp1,250.0,,,,,39135.5,45365.01364877161,,FALSE_ALARM,V331,v331_frozen
Exp1,250.0,,,,,41380.5,48020.60964513194,,FALSE_ALARM,V331,v331_frozen
Exp1,250.0,,,,,41640.5,48328.16196542311,,FALSE_ALARM,V331,v331_frozen
Exp1,500.0,1.0,2.0,7575.0,8000.0,7590.5,8018.30258302583,18.302583025830245,MATCHED,V331,v331_frozen
Exp1,500.0,2.0,3.0,21125.0,24000.0,20825.5,23646.346863468636,-353.653136531364,MATCHED,V331,v331_frozen
Exp1,500.0,2.0,3.0,21125.0,24000.0,21145.5,24024.422933730453,24.422933730453224,DUPLICATE,V331,v331_frozen
Exp1,500.0,3.0,4.0,27840.0,32000.0,27850.5,32012.42603550296,12.426035502958257,MATCHED,V331,v331_frozen
Exp1,500.0,4.0,5.0,34600.0,40000.0,34615.5,40018.33484986351,18.33484986350959,MATCHED,V331,v331_frozen
Exp1,500.0,,,,,6080.5,6421.639094269871,,FALSE_ALARM,V331,v331_frozen
Exp1,500.0,,,,,6205.5,6553.653221547399,,FALSE_ALARM,V331,v331_frozen
Exp1,500.0,,,,,12810.5,14182.140221402213,,FALSE_ALARM,V331,v331_frozen
Exp1,500.0,,,,,14365.5,16018.30258302583,,FALSE_ALARM,V331,v331_frozen
Exp1,500.0,,,,,19655.5,22264.79704797048,,FALSE_ALARM,V331,v331_frozen
Exp1,500.0,,,,,22395.5,25513.62620997766,,FALSE_ALARM,V331,v331_frozen
Exp1,500.0,,,,,26160.5,29999.10647803425,,FALSE_ALARM,V331,v331_frozen
Exp1,500.0,,,,,27325.5,31387.04393149665,,FALSE_ALARM,V331,v331_frozen
Exp1,500.0,,,,,29110.5,33503.55029585799,,FALSE_ALARM,V331,v331_frozen
Exp1,500.0,,,,,32475.5,37485.79881656804,,FALSE_ALARM,V331,v331_frozen
Exp1,500.0,,,,,35880.5,41514.695177434034,,FALSE_ALARM,V331,v331_frozen
Exp1,500.0,,,,,35965.5,41615.241128298454,,FALSE_ALARM,V331,v331_frozen
Exp1,500.0,,,,,39135.5,45365.01364877161,,FALSE_ALARM,V331,v331_frozen
Exp1,500.0,,,,,41380.5,48020.60964513194,,FALSE_ALARM,V331,v331_frozen
Exp1,500.0,,,,,41640.5,48328.16196542311,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,1.0,2.0,3005.0,5500.0,,,,MISSED,V331,v331_frozen
Exp2,100.0,2.0,3.0,6005.0,10500.0,,,,MISSED,V331,v331_frozen
Exp2,100.0,3.0,4.0,8705.0,15000.0,8730.5,15042.5,42.5,MATCHED,V331,v331_frozen
Exp2,100.0,4.0,5.0,11705.0,20000.0,,,,MISSED,V331,v331_frozen
Exp2,100.0,,,,,350.5,1082.6080226364847,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,625.5,1540.2395139813582,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,945.5,2072.756158455393,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,1220.5,2530.3876498002664,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,1520.5,3029.622003994674,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,1820.5,3528.856358189081,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,2125.5,4036.4112849533954,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,2725.5,5034.879993342211,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,2855.5,5251.214880159787,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,2930.5,5376.0234687083885,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,3275.5,5950.833333333333,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,3630.5,6542.5,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,3920.5,7025.833333333333,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,5120.5,9025.833333333334,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,5720.5,10025.833333333332,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,6325.5,11034.166666666666,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,6930.5,12042.5,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,7820.5,13525.833333333334,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,8075.5,13950.833333333334,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,8420.5,14525.833333333334,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,9570.5,16442.5,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,9870.5,16942.5,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,10220.5,17525.833333333332,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,10520.5,18025.833333333332,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,10820.5,18525.833333333332,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,11125.5,19034.166666666668,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,12625.5,21537.369519832984,,FALSE_ALARM,V331,v331_frozen
Exp2,100.0,,,,,13225.5,22539.45720250522,,FALSE_ALARM,V331,v331_frozen
Exp2,250.0,1.0,2.0,3005.0,5500.0,2855.5,5251.214880159787,-248.78511984021316,MATCHED,V331,v331_frozen
