training_setting,source_dataset,target_dataset,model,horizon,training_examples,prediction_start_index,evaluated_windows,MAE,stable_interval_MAE,transition_interval_MAE,evaluation_region,relative_improvement_vs_Persistence
Exp1_pretrain_to_Exp2,Exp1,Exp2,GRU,20,1024,128,2669,0.0208151095620108,0.0203538345510318,0.0254835970689606,complete_predeclared_suffix,-0.32950338821177794
Exp1_pretrain_to_Exp2,Exp1,Exp2,GRU,100,1024,128,2589,0.0344833364740452,0.0341919742297376,0.0373350444402058,complete_predeclared_suffix,-0.004447722457794417
Exp1_pretrain_to_Exp2,Exp1,Exp2,GRU,300,1024,128,2389,0.0491499941166111,0.0488694439234783,0.0516620873042886,complete_predeclared_suffix,-0.05640589749167195
Exp1_pretrain_to_Exp2,Exp1,Exp2,Persistence,20,1024,128,2669,0.0156563042611029,0.0152623100309437,0.019643854198839,complete_predeclared_suffix,0.0
Exp1_pretrain_to_Exp2,Exp1,Exp2,Persistence,100,1024,128,2589,0.0343306433008455,0.0342113541341434,0.0354981860199415,complete_predeclared_suffix,0.0
Exp1_pretrain_to_Exp2,Exp1,Exp2,Persistence,300,1024,128,2389,0.046525671840069,0.0462127245700875,0.049327853853362,complete_predeclared_suffix,0.0
Exp1_pretrain_to_Exp2,Exp1,Exp2,RBF_Ridge,20,1024,128,2669,0.0308463731274515,0.0304549391336923,0.0348080113392895,complete_predeclared_suffix,-0.970220596957059
Exp1_pretrain_to_Exp2,Exp1,Exp2,RBF_Ridge,100,1024,128,2589,0.0809522690592776,0.0802141508434283,0.0881766010969027,complete_predeclared_suffix,-1.3580178311801077
Exp1_pretrain_to_Exp2,Exp1,Exp2,RBF_Ridge,300,1024,128,2389,0.159299322107315,0.1580176246919547,0.1707758543806869,complete_predeclared_suffix,-2.423901596841052
Exp1_pretrain_to_Exp2,Exp1,Exp2,Ridge,20,1024,128,2669,0.9061278191356932,0.9153843250696048,0.8124442653295634,complete_predeclared_suffix,-56.876226983331605
Exp1_pretrain_to_Exp2,Exp1,Exp2,Ridge,100,1024,128,2589,3.4717776268999376,3.5178584240372817,3.0207618249181807,complete_predeclared_suffix,-100.12766010459332
Exp1_pretrain_to_Exp2,Exp1,Exp2,Ridge,300,1024,128,2389,3.6001519182356194,3.545155365488597,4.092600217624588,complete_predeclared_suffix,-76.37990180154871
Exp1_pretrain_to_Exp2,Exp1,Exp2,TCN,20,1024,128,2669,0.017038640753323,0.0166393316890818,0.021079981240997,complete_predeclared_suffix,-0.08829264360008812
Exp1_pretrain_to_Exp2,Exp1,Exp2,TCN,100,1024,128,2589,0.0343466209824599,0.0342463433997064,0.0353280878236604,complete_predeclared_suffix,-0.00046540583217104237
Exp1_pretrain_to_Exp2,Exp1,Exp2,TCN,300,1024,128,2389,0.0466328600135392,0.0462973975039831,0.0496366472345232,complete_predeclared_suffix,-0.0023038500946028603
within_Exp1,Exp1,Exp1,GRU,20,1024,3646,5449,0.0021214475335285,0.0017964131379428,0.0087692966873377,complete_predeclared_suffix,-0.2010224209380227
within_Exp1,Exp1,Exp1,GRU,100,1024,3646,5369,0.0055019576430599,0.0049043638879382,0.0175361783416735,complete_predeclared_suffix,-0.052251019976324094
within_Exp1,Exp1,Exp1,GRU,300,1024,3646,5169,0.0113635790447038,0.0110316518921864,0.0177865001258957,complete_predeclared_suffix,-0.011730674001077444
within_Exp1,Exp1,Exp1,Persistence,20,1024,3646,5449,0.0017663679682779,0.0014276311048885,0.0086944703513797,complete_predeclared_suffix,0.0
within_Exp1,Exp1,Exp1,Persistence,100,1024,3646,5369,0.0052287501162828,0.0045976798925434,0.0179371130864682,complete_predeclared_suffix,0.0
within_Exp1,Exp1,Exp1,Persistence,300,1024,3646,5169,0.0112318222000371,0.0108634241385833,0.0183604697277746,complete_predeclared_suffix,0.0
within_Exp1,Exp1,Exp1,RBF_Ridge,20,1024,3646,5449,0.001949675461882,0.0016167103928552,0.0087597287437496,complete_predeclared_suffix,-0.10377650461065231
within_Exp1,Exp1,Exp1,RBF_Ridge,100,1024,3646,5369,0.0059373281896656,0.005347662292507,0.0178118993076434,complete_predeclared_suffix,-0.13551576526409692
within_Exp1,Exp1,Exp1,RBF_Ridge,300,1024,3646,5169,0.0125393396230783,0.0122181494938636,0.0187544950761889,complete_predeclared_suffix,-0.11641186975314491
within_Exp1,Exp1,Exp1,Ridge,20,1024,3646,5449,0.0042971895161017,0.0038871647816627,0.0126833253248046,complete_predeclared_suffix,-1.4327827458800646
within_Exp1,Exp1,Exp1,Ridge,100,1024,3646,5369,0.0134476964880316,0.0128823915288972,0.0248316920233568,complete_predeclared_suffix,-1.5718759146959917
within_Exp1,Exp1,Exp1,Ridge,300,1024,3646,5169,0.0292731943227318,0.0291590606629246,0.0314817255745127,complete_predeclared_suffix,-1.6062729449754916
within_Exp1,Exp1,Exp1,TCN,20,1024,3646,5449,0.0023190669805549,0.0019961364280468,0.0089238867454358,complete_predeclared_suffix,-0.312901401181911
within_Exp1,Exp1,Exp1,TCN,100,1024,3646,5369,0.0053663934397594,0.0047443905852115,0.0178921595854785,complete_predeclared_suffix,-0.026324326161230333
within_Exp1,Exp1,Exp1,TCN,300,1024,3646,5169,0.0111863504960049,0.010834457007787,0.0179956280337649,complete_predeclared_suffix,0.004048470784379978
