dataset,input_index,cycle,from_state,to_state,local_state_id,state_start_cycle,reason,state_reuse_action,reuse_distance,nearest_local_state_id,model,training_setting
Exp1,1517,7595.5,STABLE,TRANSITION,1,7575.5,persistent_change_evidence,,,,Persistence,within_Exp1
Exp1,1598,8000.5,TRANSITION,NEW_STABLE,2,7575.5,persistent_new_distribution_created,created,5.186245296275357,1.0,Persistence,within_Exp1
Exp1,1614,8080.5,NEW_STABLE,STABLE,2,7575.5,new_state_confirmed,,,,Persistence,within_Exp1
Exp1,2872,14370.5,STABLE,TRANSITION,2,14350.5,persistent_change_evidence,,,,Persistence,within_Exp1
Exp1,2957,14795.5,TRANSITION,NEW_STABLE,2,14350.5,persistent_new_distribution_reused,reused,0.595694907015396,2.0,Persistence,within_Exp1
Exp1,2973,14875.5,NEW_STABLE,STABLE,2,14350.5,new_state_confirmed,,,,Persistence,within_Exp1
Exp1,3929,19655.5,STABLE,TRANSITION,2,19635.5,persistent_change_evidence,,,,Persistence,within_Exp1
Exp1,3940,19710.5,TRANSITION,TEMPORARY_DISTURBANCE,2,19635.5,short_change_returned_to_anchor,,,,Persistence,within_Exp1
Exp1,3946,19740.5,TEMPORARY_DISTURBANCE,STABLE,2,19635.5,temporary_disturbance_recovered,,,,Persistence,within_Exp1
Exp1,4163,20825.5,STABLE,TRANSITION,2,20805.5,persistent_change_evidence,,,,Persistence,within_Exp1
Exp1,4186,20940.5,TRANSITION,TEMPORARY_DISTURBANCE,2,20805.5,short_change_returned_to_anchor,,,,Persistence,within_Exp1
Exp1,4192,20970.5,TEMPORARY_DISTURBANCE,STABLE,2,20805.5,temporary_disturbance_recovered,,,,Persistence,within_Exp1
Exp1,4227,21145.5,STABLE,TRANSITION,2,21125.5,persistent_change_evidence,,,,Persistence,within_Exp1
Exp1,4323,21625.5,TRANSITION,NEW_STABLE,2,21125.5,persistent_new_distribution_reused,reused,1.5089710902655462,2.0,Persistence,within_Exp1
Exp1,4339,21705.5,NEW_STABLE,STABLE,2,21125.5,new_state_confirmed,,,,Persistence,within_Exp1
Exp1,5182,25920.5,STABLE,TRANSITION,2,25900.5,persistent_change_evidence,,,,Persistence,within_Exp1
Exp1,5185,25935.5,TRANSITION,TEMPORARY_DISTURBANCE,2,25900.5,short_change_returned_to_anchor,,,,Persistence,within_Exp1
Exp1,5191,25965.5,TEMPORARY_DISTURBANCE,STABLE,2,25900.5,temporary_disturbance_recovered,,,,Persistence,within_Exp1
Exp1,5463,27325.5,STABLE,TRANSITION,2,27305.5,persistent_change_evidence,,,,Persistence,within_Exp1
Exp1,5475,27385.5,TRANSITION,TEMPORARY_DISTURBANCE,2,27305.5,short_change_returned_to_anchor,,,,Persistence,within_Exp1
Exp1,5481,27415.5,TEMPORARY_DISTURBANCE,STABLE,2,27305.5,temporary_disturbance_recovered,,,,Persistence,within_Exp1
Exp1,5568,27850.5,STABLE,TRANSITION,2,27830.5,persistent_change_evidence,,,,Persistence,within_Exp1
Exp1,5599,28005.5,TRANSITION,TEMPORARY_DISTURBANCE,2,27830.5,short_change_returned_to_anchor,,,,Persistence,within_Exp1
Exp1,5605,28035.5,TEMPORARY_DISTURBANCE,STABLE,2,27830.5,temporary_disturbance_recovered,,,,Persistence,within_Exp1
Exp1,5820,29110.5,STABLE,TRANSITION,2,29090.5,persistent_change_evidence,,,,Persistence,within_Exp1
Exp1,5839,29205.5,TRANSITION,TEMPORARY_DISTURBANCE,2,29090.5,short_change_returned_to_anchor,,,,Persistence,within_Exp1
Exp1,5845,29235.5,TEMPORARY_DISTURBANCE,STABLE,2,29090.5,temporary_disturbance_recovered,,,,Persistence,within_Exp1
Exp1,6493,32475.5,STABLE,TRANSITION,2,32455.5,persistent_change_evidence,,,,Persistence,within_Exp1
Exp1,6496,32490.5,TRANSITION,TEMPORARY_DISTURBANCE,2,32455.5,short_change_returned_to_anchor,,,,Persistence,within_Exp1
Exp1,6502,32520.5,TEMPORARY_DISTURBANCE,STABLE,2,32455.5,temporary_disturbance_recovered,,,,Persistence,within_Exp1
Exp1,6806,34040.5,STABLE,TRANSITION,2,34020.5,persistent_change_evidence,,,,Persistence,within_Exp1
Exp1,6998,35000.5,TRANSITION,NEW_STABLE,3,34020.5,persistent_new_distribution_created,created,4.050894539634232,2.0,Persistence,within_Exp1
Exp1,7014,35080.5,NEW_STABLE,STABLE,3,34020.5,new_state_confirmed,,,,Persistence,within_Exp1
Exp1,7174,35880.5,STABLE,TRANSITION,3,35860.5,persistent_change_evidence,,,,Persistence,within_Exp1
Exp1,7180,35910.5,TRANSITION,TEMPORARY_DISTURBANCE,3,35860.5,short_change_returned_to_anchor,,,,Persistence,within_Exp1
Exp1,7186,35940.5,TEMPORARY_DISTURBANCE,STABLE,3,35860.5,temporary_disturbance_recovered,,,,Persistence,within_Exp1
