model,setting,tolerance_actual_cycles,boundary_precision,boundary_recall,boundary_f1,mean_detection_delay,median_detection_delay,missed_boundary_count,false_alarm_count,duplicate_alarm_count,matched_boundary_count,true_boundary_count,dataset
V331,v331_frozen,100.0,0.2,1.0,0.33333333333333337,18.37160053068783,18.318716444669917,0,16,0,4,4,Exp1
V331,v331_frozen,250.0,0.2,1.0,0.33333333333333337,18.37160053068783,18.318716444669917,0,16,0,4,4,Exp1
V331,v331_frozen,500.0,0.21052631578947367,1.0,0.34782608695652173,-76.14741703476648,15.364309264394251,0,15,1,4,4,Exp1
V331,v331_frozen,100.0,0.034482758620689655,0.25,0.0606060606060606,42.5,42.5,3,28,0,1,4,Exp2
V331,v331_frozen,250.0,0.07142857142857142,0.5,0.125,-103.14255992010658,-103.14255992010658,2,26,1,2,4,Exp2
V331,v331_frozen,500.0,0.12,0.75,0.20689655172413793,-471.15111333037447,-474.16666666666606,1,22,4,3,4,Exp2
GRU,Exp1_pretrain_to_Exp2,100.0,0.07142857142857142,0.5,0.125,34.166666666666515,34.166666666666515,2,26,0,2,4,Exp2
GRU,Exp1_pretrain_to_Exp2,250.0,0.07142857142857142,0.5,0.125,34.166666666666515,34.166666666666515,2,26,0,2,4,Exp2
GRU,Exp1_pretrain_to_Exp2,500.0,0.11538461538461539,0.75,0.19999999999999998,-471.15111333037447,-474.16666666666606,1,23,2,3,4,Exp2
GRU,within_Exp1,100.0,0.1875,0.75,0.3,20.351870433277327,24.2066420664205,1,13,0,3,4,Exp1
GRU,within_Exp1,250.0,0.1875,0.75,0.3,20.351870433277327,24.2066420664205,1,13,0,3,4,Exp1
GRU,within_Exp1,500.0,0.2,0.75,0.31578947368421056,-105.67348632066175,12.426035502958257,1,12,1,3,4,Exp1
GRU,within_Exp2,100.0,0.125,0.75,0.21428571428571427,31.406866156343614,25.887265135697817,1,21,0,3,4,Exp2
GRU,within_Exp2,250.0,0.125,0.75,0.21428571428571427,31.406866156343614,25.887265135697817,1,21,0,3,4,Exp2
GRU,within_Exp2,500.0,0.19047619047619047,1.0,0.32,-471.9050016644478,-474.16666666666697,0,17,3,4,4,Exp2
Persistence,Exp1_pretrain_to_Exp2,100.0,0.125,0.75,0.21428571428571427,31.406866156343614,25.887265135697817,1,21,0,3,4,Exp2
Persistence,Exp1_pretrain_to_Exp2,250.0,0.125,0.75,0.21428571428571427,31.406866156343614,25.887265135697817,1,21,0,3,4,Exp2
