dataset,model,setting,true_stage,mapped_detected_stage,count
Exp1,V331,v331_frozen,1,1,1513
Exp1,V331,v331_frozen,1,2,0
Exp1,V331,v331_frozen,1,3,0
Exp1,V331,v331_frozen,1,4,0
Exp1,V331,v331_frozen,1,5,0
Exp1,V331,v331_frozen,2,1,85
Exp1,V331,v331_frozen,2,2,2625
Exp1,V331,v331_frozen,2,3,0
Exp1,V331,v331_frozen,2,4,0
Exp1,V331,v331_frozen,2,5,0
Exp1,V331,v331_frozen,3,1,0
Exp1,V331,v331_frozen,3,2,1343
Exp1,V331,v331_frozen,3,3,0
Exp1,V331,v331_frozen,3,4,0
Exp1,V331,v331_frozen,3,5,0
Exp1,V331,v331_frozen,4,1,0
Exp1,V331,v331_frozen,4,2,1352
Exp1,V331,v331_frozen,4,3,0
Exp1,V331,v331_frozen,4,4,0
Exp1,V331,v331_frozen,4,5,0
Exp1,V331,v331_frozen,5,1,0
Exp1,V331,v331_frozen,5,2,80
Exp1,V331,v331_frozen,5,3,0
Exp1,V331,v331_frozen,5,4,0
Exp1,V331,v331_frozen,5,5,2117
Exp2,V331,v331_frozen,1,1,599
Exp2,V331,v331_frozen,1,2,0
Exp2,V331,v331_frozen,1,3,0
Exp2,V331,v331_frozen,1,4,0
Exp2,V331,v331_frozen,1,5,0
Exp2,V331,v331_frozen,2,1,103
Exp2,V331,v331_frozen,2,2,402
Exp2,V331,v331_frozen,2,3,95
Exp2,V331,v331_frozen,2,4,0
Exp2,V331,v331_frozen,2,5,0
Exp2,V331,v331_frozen,3,1,0
Exp2,V331,v331_frozen,3,2,0
Exp2,V331,v331_frozen,3,3,332
Exp2,V331,v331_frozen,3,4,208
Exp2,V331,v331_frozen,3,5,0
Exp2,V331,v331_frozen,4,1,0
Exp2,V331,v331_frozen,4,2,0
Exp2,V331,v331_frozen,4,3,0
Exp2,V331,v331_frozen,4,4,600
Exp2,V331,v331_frozen,4,5,0
Exp2,V331,v331_frozen,5,1,0
Exp2,V331,v331_frozen,5,2,0
Exp2,V331,v331_frozen,5,3,0
Exp2,V331,v331_frozen,5,4,58
Exp2,V331,v331_frozen,5,5,420
