training_setting,dataset,model,boundary_precision,boundary_recall,boundary_f1,mean_detection_delay,stage_stable_rate,false_alarms_per_1000_windows,transition_fraction,state_fragmentation,state_switches_per_1000_windows,state_machine,other_evidence
v331_frozen,Exp1,V331,0.2,1.0,0.33333333333333337,18.37160053068783,0.9233445473759458,1.7553483269336259,0.07624794295117937,60,6.582556226001097,V3.3.1_fixed,V3.3.1_fixed_distribution_shift_and_drift_velocity
v331_frozen,Exp2,V331,0.07142857142857142,0.5,0.125,-103.14255992010658,0.4732194523484067,9.229676961306355,0.4518991835285765,87,30.8839190628328,V3.3.1_fixed,V3.3.1_fixed_distribution_shift_and_drift_velocity
Exp1_pretrain_to_Exp2,Exp2,GRU,0.07142857142857142,0.5,0.125,34.166666666666515,0.45851045763941195,9.229676961306355,0.47248846290379837,84,29.81895633652822,V3.3.1_fixed,V3.3.1_fixed_distribution_shift_and_drift_velocity
within_Exp1,Exp1,GRU,0.1875,0.75,0.3,20.351870433277327,0.9320668623519731,1.426220515633571,0.07317608337904553,48,5.266044980800878,V3.3.1_fixed,V3.3.1_fixed_distribution_shift_and_drift_velocity
within_Exp2,Exp2,GRU,0.125,0.75,0.21428571428571427,31.406866156343614,0.43550119838015267,7.454739084132055,0.4827831025914093,72,25.559105431309906,V3.3.1_fixed,V3.3.1_fixed_distribution_shift_and_drift_velocity
Exp1_pretrain_to_Exp2,Exp2,Persistence,0.125,0.75,0.21428571428571427,31.406866156343614,0.4346083412372955,7.454739084132055,0.483493077742279,72,25.559105431309906,V3.3.1_fixed,V3.3.1_fixed_distribution_shift_and_drift_velocity
within_Exp1,Exp1,Persistence,0.2,0.75,0.31578947368421056,20.351870433277327,0.936601846576447,1.3165112452002194,0.07054306088864509,45,4.9369171695008225,V3.3.1_fixed,V3.3.1_fixed_distribution_shift_and_drift_velocity
within_Exp2,Exp2,Persistence,0.125,0.75,0.21428571428571427,31.406866156343614,0.4346083412372955,7.454739084132055,0.483493077742279,72,25.559105431309906,V3.3.1_fixed,V3.3.1_fixed_distribution_shift_and_drift_velocity
Exp1_pretrain_to_Exp2,Exp2,RBF_Ridge,0.13636363636363635,0.75,0.23076923076923075,31.406866156343614,0.3871484305985624,6.744763933262336,0.541711040113596,66,23.429179978700745,V3.3.1_fixed,V3.3.1_fixed_distribution_shift_and_drift_velocity
within_Exp1,Exp1,RBF_Ridge,0.26666666666666666,1.0,0.4210526315789474,21.326905231663886,0.945660498352978,1.206801974766868,0.05880416895227647,45,4.9369171695008225,V3.3.1_fixed,V3.3.1_fixed_distribution_shift_and_drift_velocity
within_Exp2,Exp2,RBF_Ridge,0.125,0.75,0.21428571428571427,31.406866156343614,0.43636429361824797,7.454739084132055,0.4820731274405396,72,25.559105431309906,V3.3.1_fixed,V3.3.1_fixed_distribution_shift_and_drift_velocity
Exp1_pretrain_to_Exp2,Exp2,Ridge,0.10714285714285714,0.75,0.1875,31.406866156343614,0.3794529179568723,8.874689385871495,0.5175718849840255,84,29.81895633652822,V3.3.1_fixed,V3.3.1_fixed_distribution_shift_and_drift_velocity
within_Exp1,Exp1,Ridge,0.2857142857142857,1.0,0.4444444444444445,22.805522156141933,0.944934354302043,1.0970927043335161,0.06023038946791004,42,4.607789358200768,V3.3.1_fixed,V3.3.1_fixed_distribution_shift_and_drift_velocity
within_Exp2,Exp2,Ridge,0.125,0.75,0.21428571428571427,31.406866156343614,0.43636429361824797,7.454739084132055,0.4820731274405396,72,25.559105431309906,V3.3.1_fixed,V3.3.1_fixed_distribution_shift_and_drift_velocity
Exp1_pretrain_to_Exp2,Exp2,TCN,0.125,0.75,0.21428571428571427,31.406866156343614,0.4322604576394119,7.454739084132055,0.4863329783457579,72,25.559105431309906,V3.3.1_fixed,V3.3.1_fixed_distribution_shift_and_drift_velocity
within_Exp1,Exp1,TCN,0.21428571428571427,0.75,0.3333333333333333,22.324257021048652,0.9370214581490467,1.206801974766868,0.07196928140427866,42,4.607789358200768,V3.3.1_fixed,V3.3.1_fixed_distribution_shift_and_drift_velocity
within_Exp2,Exp2,TCN,0.125,0.75,0.21428571428571427,31.406866156343614,0.43550119838015267,7.454739084132055,0.4827831025914093,72,25.559105431309906,V3.3.1_fixed,V3.3.1_fixed_distribution_shift_and_drift_velocity
