dataset,stage,model,setting,stage_windows,stable_evaluation_windows,stage_stable_rate,stage_transition_rate,dominant_detected_state,stage_purity,detected_state_count,state_switch_count,false_switches_per_1000_windows,buffer_actual_cycles
Exp1,1,V331,v331_frozen,1513,1466,0.9440654843110505,0.040927694406548434,1,0.8765347885402456,2,6,4.092769440654843,250.0
Exp1,2,V331,v331_frozen,2710,2625,0.8902857142857142,0.08914285714285715,3,0.984,2,12,4.571428571428571,250.0
Exp1,3,V331,v331_frozen,1343,1259,0.8927720413026211,0.08022239872915012,3,1.0,1,11,8.737092930897537,250.0
Exp1,4,V331,v331_frozen,1352,1267,0.9731649565903709,0.017363851617995266,3,1.0,1,6,4.73559589581689,250.0
Exp1,5,V331,v331_frozen,2197,2154,0.9164345403899722,0.057567316620241414,4,0.6290622098421541,3,17,7.892293407613742,250.0
Exp2,1,V331,v331_frozen,599,569,0.4973637961335677,0.38312829525483305,2,0.7082601054481547,2,24,42.1792618629174,250.0
Exp2,2,V331,v331_frozen,600,540,0.3055555555555556,0.5944444444444444,3,0.7444444444444445,3,13,24.074074074074073,250.0
Exp2,3,V331,v331_frozen,540,480,0.24166666666666667,0.6666666666666666,6,0.37083333333333335,3,13,27.083333333333332,250.0
Exp2,4,V331,v331_frozen,600,540,0.5648148148148148,0.37962962962962965,6,1.0,1,16,29.62962962962963,250.0
Exp2,5,V331,v331_frozen,478,448,0.7566964285714286,0.18080357142857142,7,0.9375,2,8,17.857142857142858,250.0
Exp2,1,GRU,Exp1_pretrain_to_Exp2,599,569,0.4973637961335677,0.38312829525483305,2,0.7082601054481547,2,24,42.1792618629174,250.0
Exp2,2,GRU,Exp1_pretrain_to_Exp2,600,540,0.28703703703703703,0.6129629629629629,3,0.7814814814814814,3,12,22.22222222222222,250.0
Exp2,3,GRU,Exp1_pretrain_to_Exp2,540,480,0.23958333333333334,0.6354166666666666,5,0.38958333333333334,4,15,31.25,250.0
Exp2,4,GRU,Exp1_pretrain_to_Exp2,600,540,0.5074074074074074,0.42592592592592593,6,1.0,1,19,35.18518518518518,250.0
Exp2,5,GRU,Exp1_pretrain_to_Exp2,478,448,0.7611607142857143,0.17633928571428573,7,0.9419642857142857,2,8,17.857142857142858,250.0
Exp1,1,GRU,within_Exp1,1513,1466,1.0,0.0,1,1.0,1,0,0.0,250.0
Exp1,2,GRU,within_Exp1,2710,2625,0.9268571428571428,0.058666666666666666,2,0.984,2,9,3.4285714285714284,250.0
Exp1,3,GRU,within_Exp1,1343,1259,0.8991262907069102,0.07386814932486101,2,1.0,1,11,8.737092930897537,250.0
Exp1,4,GRU,within_Exp1,1352,1267,0.9179163378058406,0.07261247040252565,2,1.0,1,7,5.524861878453039,250.0
Exp1,5,GRU,within_Exp1,2197,2154,0.9164345403899722,0.060352831940575676,3,0.6295264623955432,3,14,6.499535747446611,250.0
Exp2,1,GRU,within_Exp2,599,569,0.4973637961335677,0.38312829525483305,2,0.7082601054481547,2,24,42.1792618629174,250.0
Exp2,2,GRU,within_Exp2,600,540,0.29259259259259257,0.6074074074074074,3,0.7759259259259259,3,12,22.22222222222222,250.0
Exp2,3,GRU,within_Exp2,540,480,0.275,0.6333333333333333,5,0.38958333333333334,3,13,27.083333333333332,250.0
Exp2,4,GRU,within_Exp2,600,540,0.28888888888888886,0.6814814814814815,6,0.8962962962962963,2,4,7.407407407407407,250.0
Exp2,5,GRU,within_Exp2,478,448,0.8236607142857143,0.11830357142857142,3,1.0,1,7,15.625,250.0
Exp2,1,Persistence,Exp1_pretrain_to_Exp2,599,569,0.4973637961335677,0.38312829525483305,2,0.7082601054481547,2,24,42.1792618629174,250.0
Exp2,2,Persistence,Exp1_pretrain_to_Exp2,600,540,0.29259259259259257,0.6074074074074074,3,0.7759259259259259,3,12,22.22222222222222,250.0
Exp2,3,Persistence,Exp1_pretrain_to_Exp2,540,480,0.275,0.6333333333333333,5,0.38958333333333334,3,13,27.083333333333332,250.0
Exp2,4,Persistence,Exp1_pretrain_to_Exp2,600,540,0.28888888888888886,0.6814814814814815,6,0.8962962962962963,2,4,7.407407407407407,250.0
Exp2,5,Persistence,Exp1_pretrain_to_Exp2,478,448,0.8191964285714286,0.12276785714285714,3,1.0,1,7,15.625,250.0
Exp1,1,Persistence,within_Exp1,1513,1466,1.0,0.0,1,1.0,1,0,0.0,250.0
Exp1,2,Persistence,within_Exp1,2710,2625,0.9260952380952381,0.05942857142857143,2,0.984,2,9,3.4285714285714284,250.0
Exp1,3,Persistence,within_Exp1,1343,1259,0.9197776012708498,0.05798252581413821,2,1.0,1,8,6.354249404289118,250.0
Exp1,4,Persistence,within_Exp1,1352,1267,0.9179163378058406,0.07261247040252565,2,1.0,1,7,5.524861878453039,250.0
Exp1,5,Persistence,within_Exp1,2197,2154,0.9192200557103064,0.057567316620241414,3,0.6253481894150418,3,14,6.499535747446611,250.0
Exp2,1,Persistence,within_Exp2,599,569,0.4973637961335677,0.38312829525483305,2,0.7082601054481547,2,24,42.1792618629174,250.0
Exp2,2,Persistence,within_Exp2,600,540,0.29259259259259257,0.6074074074074074,3,0.7759259259259259,3,12,22.22222222222222,250.0
Exp2,3,Persistence,within_Exp2,540,480,0.275,0.6333333333333333,5,0.38958333333333334,3,13,27.083333333333332,250.0
Exp2,4,Persistence,within_Exp2,600,540,0.28888888888888886,0.6814814814814815,6,0.8962962962962963,2,4,7.407407407407407,250.0
Exp2,5,Persistence,within_Exp2,478,448,0.8191964285714286,0.12276785714285714,3,1.0,1,7,15.625,250.0
Exp2,1,RBF_Ridge,Exp1_pretrain_to_Exp2,599,569,0.44991212653778556,0.46924428822495606,2,0.7082601054481547,2,19,33.391915641476274,250.0
Exp2,2,RBF_Ridge,Exp1_pretrain_to_Exp2,600,540,0.24259259259259258,0.6574074074074074,3,0.8037037037037037,3,12,22.22222222222222,250.0
Exp2,3,RBF_Ridge,Exp1_pretrain_to_Exp2,540,480,0.23958333333333334,0.66875,6,0.36666666666666664,3,13,27.083333333333332,250.0
