direction,setting,seed,candidate_event_count,transition_score_above_threshold_fraction,adapter_update_fraction,adapter_frozen_fraction,adapter_update_count,adapter_frozen_count,stage_internal_event_count
Exp1_to_Exp2,DirectTransfer,3401,1,1.0,0.0,1.0,0,2689,1
Exp1_to_Exp2,CalibrationOnly,3401,15,0.761249535143176,0.0,0.7973224246931945,0,2144,10
Exp1_to_Exp2,OnlineAdaptation,3401,24,0.30940870211974714,0.5894384529564894,0.4105615470435106,1585,1104,16
Exp1_to_Exp2,TargetSupervisedUpperBound,3401,18,0.45444403123837857,0.0,0.5894384529564894,0,1585,13
Exp1_to_Exp2,DirectTransfer,3402,1,1.0,0.0,1.0,0,2689,1
Exp1_to_Exp2,CalibrationOnly,3402,19,0.4975827445146895,0.0,0.6162142060245445,0,1657,13
Exp1_to_Exp2,OnlineAdaptation,3402,14,0.13276310896243956,0.6987727779843809,0.3012272220156192,1879,810,10
Exp1_to_Exp2,TargetSupervisedUpperBound,3402,18,0.39977686872443285,0.0,0.577538118259576,0,1553,11
Exp1_to_Exp2,DirectTransfer,3403,1,1.0,0.0,1.0,0,2689,1
Exp1_to_Exp2,CalibrationOnly,3403,10,0.8144291558200074,0.0,0.8594272963927111,0,2311,7
Exp1_to_Exp2,OnlineAdaptation,3403,21,0.4986984008925251,0.4131647452584604,0.5868352547415396,1111,1578,13
Exp1_to_Exp2,TargetSupervisedUpperBound,3403,13,0.7277798438081071,0.0,0.8077352175529937,0,2172,9
Exp1_to_Exp2,DirectTransfer,3404,1,1.0,0.0,1.0,0,2689,1
Exp1_to_Exp2,CalibrationOnly,3404,19,0.38378579397545554,0.0,0.5228709557456304,0,1406,8
Exp1_to_Exp2,OnlineAdaptation,3404,14,0.12383785793975456,0.7337300111565638,0.2662699888434362,1973,716,11
Exp1_to_Exp2,TargetSupervisedUpperBound,3404,13,0.36072889550018594,0.0,0.5102268501301599,0,1372,5
Exp1_to_Exp2,DirectTransfer,3405,1,1.0,0.0,1.0,0,2689,1
Exp1_to_Exp2,CalibrationOnly,3405,20,0.3990330978058758,0.0,0.5206396429899591,0,1400,11
Exp1_to_Exp2,OnlineAdaptation,3405,16,0.09892153216809223,0.7761249535143175,0.2238750464856824,2087,602,10
Exp1_to_Exp2,TargetSupervisedUpperBound,3405,19,0.38973596132391225,0.0,0.523986612123466,0,1409,9
Exp2_to_Exp1,DirectTransfer,3401,1,1.0,0.0,1.0,0,8987,0
Exp2_to_Exp1,CalibrationOnly,3401,34,0.6681873817736731,0.0,0.7108044953822188,0,6388,30
Exp2_to_Exp1,OnlineAdaptation,3401,54,0.6054300656503839,0.34694558807165904,0.6530544119283409,3118,5869,48
Exp2_to_Exp1,TargetSupervisedUpperBound,3401,36,0.5960832313341493,0.0,0.6549460331590075,0,5886,29
Exp2_to_Exp1,DirectTransfer,3402,1,1.0,0.0,1.0,0,8987,0
Exp2_to_Exp1,CalibrationOnly,3402,36,0.6319127628797151,0.0,0.6867697785690442,0,6172,30
Exp2_to_Exp1,OnlineAdaptation,3402,56,0.5346611772560365,0.40024479804161567,0.5997552019583844,3597,5390,49
Exp2_to_Exp1,TargetSupervisedUpperBound,3402,29,0.6329142094135974,0.0,0.675197507510849,0,6068,23
Exp2_to_Exp1,DirectTransfer,3403,1,1.0,0.0,1.0,0,8987,0
Exp2_to_Exp1,CalibrationOnly,3403,24,0.6798709246689663,0.0,0.7181484366306887,0,6454,19
Exp2_to_Exp1,OnlineAdaptation,3403,53,0.6119951040391677,0.3382663847780127,0.6617336152219874,3040,5947,46
Exp2_to_Exp1,TargetSupervisedUpperBound,3403,30,0.6570601980638701,0.0,0.6915544675642595,0,6215,24
Exp2_to_Exp1,DirectTransfer,3404,1,1.0,0.0,1.0,0,8987,0
Exp2_to_Exp1,CalibrationOnly,3404,43,0.6463781017024591,0.0,0.711694670079003,0,6396,37
Exp2_to_Exp1,OnlineAdaptation,3404,38,0.4994992767330589,0.4329587181484366,0.5670412818515633,3891,5096,33
Exp2_to_Exp1,TargetSupervisedUpperBound,3404,38,0.6866585067319462,0.0,0.7414042505841771,0,6663,33
Exp2_to_Exp1,DirectTransfer,3405,1,1.0,0.0,1.0,0,8987,0
Exp2_to_Exp1,CalibrationOnly,3405,10,0.879937687771225,0.0,0.8960721041504395,0,8053,6
Exp2_to_Exp1,OnlineAdaptation,3405,32,0.5152998776009792,0.4325136308000445,0.5674863691999555,3887,5100,27
Exp2_to_Exp1,TargetSupervisedUpperBound,3405,42,0.6745298764882608,0.0,0.7256036497162568,0,6521,34
