direction,setting,seed,tolerance_actual_cycles,dataset,from_stage,to_stage,boundary_cycle,boundary_actual_cycle,event_id,event_peak_cycle,event_peak_actual_cycle,peak_score,absolute_detection_delay,match_status
Exp1_to_Exp2,DirectTransfer,3401,100.0,Exp2,1.0,2.0,3005.0,5500.0,,,,,,MISSED
Exp1_to_Exp2,DirectTransfer,3401,100.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED
Exp1_to_Exp2,DirectTransfer,3401,100.0,Exp2,3.0,4.0,8705.0,15000.0,,,,,,MISSED
Exp1_to_Exp2,DirectTransfer,3401,100.0,Exp2,4.0,5.0,11705.0,20000.0,,,,,,MISSED
Exp1_to_Exp2,DirectTransfer,3401,100.0,Exp2,,,,,1.0,10535.5,18050.833333333332,3156936.137597463,,unmatched_candidate_event
Exp1_to_Exp2,DirectTransfer,3401,250.0,Exp2,1.0,2.0,3005.0,5500.0,,,,,,MISSED
Exp1_to_Exp2,DirectTransfer,3401,250.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED
Exp1_to_Exp2,DirectTransfer,3401,250.0,Exp2,3.0,4.0,8705.0,15000.0,,,,,,MISSED
Exp1_to_Exp2,DirectTransfer,3401,250.0,Exp2,4.0,5.0,11705.0,20000.0,,,,,,MISSED
Exp1_to_Exp2,DirectTransfer,3401,250.0,Exp2,,,,,1.0,10535.5,18050.833333333332,3156936.137597463,,unmatched_candidate_event
Exp1_to_Exp2,DirectTransfer,3401,500.0,Exp2,1.0,2.0,3005.0,5500.0,,,,,,MISSED
Exp1_to_Exp2,DirectTransfer,3401,500.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED
Exp1_to_Exp2,DirectTransfer,3401,500.0,Exp2,3.0,4.0,8705.0,15000.0,,,,,,MISSED
Exp1_to_Exp2,DirectTransfer,3401,500.0,Exp2,4.0,5.0,11705.0,20000.0,,,,,,MISSED
