direction,source_dataset,target_dataset,seed,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,peak_score,short_score,medium_score,long_score,source_probability,adapter_frozen_fraction,event_status,start_actual_cycle,peak_actual_cycle,end_actual_cycle
Exp1_to_Exp2,Exp1,Exp2,3401,1,Exp2,DirectTransfer,650.5,10535.5,14090.5,3156936.137597463,63.93895879333225,66.81091585235846,59.42540626118879,8.152227383106947e-05,1.0,unmatched_candidate_event,1581.8423768308921,18050.833333333332,23984.133611691024
Exp1_to_Exp2,Exp1,Exp2,3401,1,Exp2,CalibrationOnly,1500.5,1510.5,1700.5,2.23930183711918,1.5249294920687175,1.4984119886745642,1.5238582230254252,0.37960195541381836,1.0,unmatched_candidate_event,2996.3397137150464,3012.9808588548603,3329.1626165113184
Exp1_to_Exp2,Exp1,Exp2,3401,2,Exp2,CalibrationOnly,1810.5,1870.5,1965.5,1.437059875549383,0.8759043945393491,1.54251046574522,0.33021324810635816,0.4844265282154083,1.0,unmatched_candidate_event,3512.2152130492677,3612.062083888149,3770.152962716378
Exp1_to_Exp2,Exp1,Exp2,3401,3,Exp2,CalibrationOnly,2105.5,2170.5,2200.5,1.0350976445534124,0.6393663304195237,0.5937794845814149,1.4458785158455554,0.48679211735725403,1.0,unmatched_candidate_event,4003.1289946737684,4111.296438082556,4161.219873501997
Exp1_to_Exp2,Exp1,Exp2,3401,4,Exp2,CalibrationOnly,2700.5,2750.5,2855.5,1.0953485445181268,0.7529312796123367,0.6838444514389636,0.9671677857498783,0.4176484942436218,1.0,unmatched_candidate_event,4993.277130492676,5076.482856191745,5251.214880159787
Exp1_to_Exp2,Exp1,Exp2,3401,5,Exp2,CalibrationOnly,3000.5,3080.5,4295.5,3.699610651126944,1.8482881442501073,2.0302009999995856,2.471293877640632,0.2555917501449585,0.9807692307692307,unmatched_candidate_event,5492.511484687084,5625.833333333333,7650.833333333334
Exp1_to_Exp2,Exp1,Exp2,3401,6,Exp2,CalibrationOnly,4490.5,4550.5,4720.5,1.3810261408413278,0.7679229165187037,0.48758634497869674,2.1449476695235234,0.24241527915000916,1.0,unmatched_candidate_event,7975.833333333334,8075.833333333334,8359.166666666666
Exp1_to_Exp2,Exp1,Exp2,3401,7,Exp2,CalibrationOnly,4830.5,5150.5,5510.5,2.8186986533574117,1.868346366180633,1.4797800222642223,0.9682388946946474,0.18198677897453308,0.9927007299270073,unmatched_candidate_event,8542.5,9075.833333333334,9675.833333333332
Exp1_to_Exp2,Exp1,Exp2,3401,8,Exp2,CalibrationOnly,5610.5,5620.5,5635.5,0.7107641911514466,0.4815422587627562,0.5397713357916023,1.095532183870249,0.2281312793493271,1.0,unmatched_candidate_event,9842.5,9859.166666666668,9884.166666666668
Exp1_to_Exp2,Exp1,Exp2,3401,9,Exp2,CalibrationOnly,6010.5,6075.5,6775.5,3.1661588436666577,1.5978797605676112,2.564363380504908,1.1429059294700616,0.32930997014045715,1.0,unmatched_candidate_event,10509.166666666666,10617.5,11784.166666666666
