direction,setting,seed,metric,value,dataset
Exp1_to_Exp2,DirectTransfer,3401,boundary_hit_rate,0.0,
Exp1_to_Exp2,DirectTransfer,3401,event_level_precision,0.0,
Exp1_to_Exp2,DirectTransfer,3401,event_level_recall,0.0,
Exp1_to_Exp2,DirectTransfer,3401,event_level_f1,0.0,
Exp1_to_Exp2,CalibrationOnly,3401,boundary_hit_rate,0.5,
Exp1_to_Exp2,CalibrationOnly,3401,event_level_precision,0.13333333333333333,
Exp1_to_Exp2,CalibrationOnly,3401,event_level_recall,0.5,
Exp1_to_Exp2,CalibrationOnly,3401,event_level_f1,0.2105263157894737,
Exp1_to_Exp2,OnlineAdaptation,3401,boundary_hit_rate,0.75,
Exp1_to_Exp2,OnlineAdaptation,3401,event_level_precision,0.125,
Exp1_to_Exp2,OnlineAdaptation,3401,event_level_recall,0.75,
Exp1_to_Exp2,OnlineAdaptation,3401,event_level_f1,0.21428571428571427,
Exp1_to_Exp2,TargetSupervisedUpperBound,3401,boundary_hit_rate,0.5,
Exp1_to_Exp2,TargetSupervisedUpperBound,3401,event_level_precision,0.1111111111111111,
Exp1_to_Exp2,TargetSupervisedUpperBound,3401,event_level_recall,0.5,
Exp1_to_Exp2,TargetSupervisedUpperBound,3401,event_level_f1,0.1818181818181818,
Exp1_to_Exp2,DirectTransfer,3402,boundary_hit_rate,0.0,
Exp1_to_Exp2,DirectTransfer,3402,event_level_precision,0.0,
Exp1_to_Exp2,DirectTransfer,3402,event_level_recall,0.0,
Exp1_to_Exp2,DirectTransfer,3402,event_level_f1,0.0,
Exp1_to_Exp2,CalibrationOnly,3402,boundary_hit_rate,0.75,
Exp1_to_Exp2,CalibrationOnly,3402,event_level_precision,0.15789473684210525,
Exp1_to_Exp2,CalibrationOnly,3402,event_level_recall,0.75,
Exp1_to_Exp2,CalibrationOnly,3402,event_level_f1,0.2608695652173913,
Exp1_to_Exp2,OnlineAdaptation,3402,boundary_hit_rate,0.5,
Exp1_to_Exp2,OnlineAdaptation,3402,event_level_precision,0.14285714285714285,
Exp1_to_Exp2,OnlineAdaptation,3402,event_level_recall,0.5,
Exp1_to_Exp2,OnlineAdaptation,3402,event_level_f1,0.22222222222222224,
Exp1_to_Exp2,TargetSupervisedUpperBound,3402,boundary_hit_rate,0.5,
Exp1_to_Exp2,TargetSupervisedUpperBound,3402,event_level_precision,0.1111111111111111,
