direction,source_dataset,target_dataset,seed,dataset,epoch,examples,boundary_loss,rank_loss,consistency_loss,prediction_loss,train_end,max_target_index,source_stage_weak_supervision,target_supervised_upper_bound
Exp1_to_Exp2,Exp1,Exp2,3401,Exp1,1,1024,0.5559841804206371,0.06308944011107087,0.42489200830459595,8.207991138100624,7292.0,7291,1.0,
Exp1_to_Exp2,Exp1,Exp2,3401,Exp1,2,1024,0.28318370319902897,0.06047899182885885,0.242329565808177,8.135212689638138,7292.0,7291,1.0,
Exp1_to_Exp2,Exp1,Exp2,3402,Exp1,1,1024,0.417499877512455,0.05402143858373165,0.41011579148471355,8.924838304519653,7292.0,7291,1.0,
Exp1_to_Exp2,Exp1,Exp2,3402,Exp1,2,1024,0.2719741743057966,0.05034380638971925,0.2311697807163,7.922337919473648,7292.0,7291,1.0,
Exp1_to_Exp2,Exp1,Exp2,3403,Exp1,1,1024,0.6373047903180122,0.051117437426000834,0.16856681182980537,8.51998022198677,7292.0,7291,1.0,
Exp1_to_Exp2,Exp1,Exp2,3403,Exp1,2,1024,0.4187345691025257,0.05703240493312478,0.09497444238513708,7.9471705704927444,7292.0,7291,1.0,
Exp1_to_Exp2,Exp1,Exp2,3404,Exp1,1,1024,1.8155221790075302,0.036640021950006485,0.21061959862709045,9.406976073980331,7292.0,7291,1.0,
Exp1_to_Exp2,Exp1,Exp2,3404,Exp1,2,1024,0.6814127415418625,0.05662090936675668,0.16553039848804474,8.289841115474701,7292.0,7291,1.0,
Exp1_to_Exp2,Exp1,Exp2,3405,Exp1,1,1024,1.4467129334807396,0.030785315670073032,0.4896801859140396,8.880485966801643,7292.0,7291,1.0,
Exp1_to_Exp2,Exp1,Exp2,3405,Exp1,2,1024,0.5252572633326054,0.04930045083165169,0.25452229008078575,8.702716946601868,7292.0,7291,1.0,
Exp2_to_Exp1,Exp2,Exp1,3401,Exp2,1,1024,0.6023256368935108,0.05086284410208464,0.06808982975780964,7.807825326919556,2253.0,2252,1.0,
Exp2_to_Exp1,Exp2,Exp1,3401,Exp2,2,1024,0.4233106002211571,0.056679511442780495,0.10155026149004698,7.6650620102882385,2253.0,2252,1.0,
Exp2_to_Exp1,Exp2,Exp1,3402,Exp2,1,1024,0.6171199828386307,0.04370893118903041,0.06559526780620217,8.000154912471771,2253.0,2252,1.0,
Exp2_to_Exp1,Exp2,Exp1,3402,Exp2,2,1024,0.37111085653305054,0.015426567289978266,0.10891543049365282,7.751365661621094,2253.0,2252,1.0,
Exp2_to_Exp1,Exp2,Exp1,3403,Exp2,1,1024,0.5795435830950737,0.04573003202676773,0.03313005552627146,7.7945645451545715,2253.0,2252,1.0,
Exp2_to_Exp1,Exp2,Exp1,3403,Exp2,2,1024,0.4557436406612396,0.04785084491595626,0.0652063600718975,7.624417960643768,2253.0,2252,1.0,
Exp2_to_Exp1,Exp2,Exp1,3404,Exp2,1,1024,0.9248663708567619,0.05187972215935588,0.031058447435498238,7.984475016593933,2253.0,2252,1.0,
Exp2_to_Exp1,Exp2,Exp1,3404,Exp2,2,1024,0.5637341216206551,0.04567038221284747,0.03572379914112389,7.764759302139282,2253.0,2252,1.0,
Exp2_to_Exp1,Exp2,Exp1,3405,Exp2,1,1024,0.8829687759280205,0.048922840505838394,0.04308796185068786,7.676429569721222,2253.0,2252,1.0,
Exp2_to_Exp1,Exp2,Exp1,3405,Exp2,2,1024,0.6545297205448151,0.05487107066437602,0.029224630212411284,7.624776840209961,2253.0,2252,1.0,
Exp1_to_Exp2,Exp1,Exp2,3401,,1,1024,0.4105628468096256,0.030504336580634117,0.07455847598612309,6.84185129404068,,2816,,1.0
Exp1_to_Exp2,Exp1,Exp2,3402,,1,1024,0.41880788281559944,0.02030874928459525,0.07297007227316499,6.877927839756012,,2816,,1.0
Exp1_to_Exp2,Exp1,Exp2,3403,,1,1024,0.4477624483406544,0.03595082089304924,0.06940370937809348,6.872698128223419,,2816,,1.0
Exp1_to_Exp2,Exp1,Exp2,3404,,1,1024,0.5172615945339203,0.04587140819057822,0.04575906856916845,6.961769193410873,,2816,,1.0
Exp1_to_Exp2,Exp1,Exp2,3405,,1,1024,0.600190632045269,0.04959845123812556,0.04581655818037689,6.831871032714844,,2816,,1.0
Exp2_to_Exp1,Exp2,Exp1,3401,,1,1024,0.26390649750828743,0.053164306096732616,2.1984397545456886,22.369467109441757,,9114,,1.0
Exp2_to_Exp1,Exp2,Exp1,3402,,1,1024,0.27121299505233765,0.05440093483775854,3.404171973466873,28.734671115875244,,9114,,1.0
Exp2_to_Exp1,Exp2,Exp1,3403,,1,1024,0.22810087352991104,0.04841871792450547,1.4022044986486435,26.39226570725441,,9114,,1.0
Exp2_to_Exp1,Exp2,Exp1,3404,,1,1024,0.2730755675584078,0.03573680855333805,2.0602127611637115,30.48578929901123,,9114,,1.0
Exp2_to_Exp1,Exp2,Exp1,3405,,1,1024,0.3456485904753208,0.017292873468250036,1.4713945016264915,29.21810072660446,,9114,,1.0
