direction,setting,seed,boundary_hit_rate_250,boundary_hit_rate_500,mean_absolute_detection_delay,median_absolute_detection_delay,candidate_event_count,stage_internal_event_count,event_level_precision,event_level_f1,proximity_score,Top_4_event_recall,Top_8_event_recall
Exp1_to_Exp2,DirectTransfer,3401,0.0,0.25,,,6,5,0.0,0.0,0.148125,0.25,0.25
Exp1_to_Exp2,CalibrationOnly,3401,0.5,0.5,121.66666666666652,121.66666666666652,15,11,0.13333333333333333,0.2105263157894737,0.4414583333333333,0.25,0.75
Exp1_to_Exp2,OnlineAdaptation,3401,0.5,1.0,100.91249130132246,100.91249130132246,20,13,0.1,0.16666666666666669,0.7291270876826722,0.25,0.5
Exp1_to_Exp2,DualBranchAdaptation,3401,0.5,0.5,121.66666666666652,121.66666666666652,15,11,0.13333333333333333,0.2105263157894737,0.4414583333333333,0.25,0.75
Exp1_to_Exp2,TargetSupervisedReference,3401,0.5,0.75,59.28061934585912,59.28061934585912,17,11,0.11764705882352941,0.19047619047619047,0.7182763569937374,0.0,0.5
Exp1_to_Exp2,DirectTransfer,3402,0.0,0.25,,,5,4,0.0,0.0,0.148125,0.25,0.25
Exp1_to_Exp2,CalibrationOnly,3402,1.0,1.0,75.87291231732797,71.74582463465595,16,11,0.25,0.4,0.924127087682672,0.0,0.75
Exp1_to_Exp2,OnlineAdaptation,3402,0.0,0.0,,,6,5,0.0,0.0,0.12062500000000001,0.25,0.25
Exp1_to_Exp2,DualBranchAdaptation,3402,0.75,0.75,78.66388308977064,75.99164926931189,16,11,0.1875,0.3,0.811627087682672,0.0,0.75
Exp1_to_Exp2,TargetSupervisedReference,3402,0.25,0.5,92.69311064718204,92.69311064718204,13,9,0.07692307692307693,0.11764705882352941,0.4789100556715375,0.0,0.25
Exp1_to_Exp2,DirectTransfer,3403,0.25,0.5,75.83333333333303,75.83333333333303,11,7,0.09090909090909091,0.13333333333333333,0.38333333333333375,0.0,0.5
Exp1_to_Exp2,CalibrationOnly,3403,0.25,0.25,34.16666666666697,34.16666666666697,9,7,0.1111111111111111,0.15384615384615383,0.34749999999999975,0.5,0.5
Exp1_to_Exp2,OnlineAdaptation,3403,0.5,0.75,55.09655532359102,55.09655532359102,12,7,0.16666666666666666,0.25,0.7037017223382045,0.25,0.5
