direction,source_dataset,target_dataset,seed,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,peak_score,adapter_frozen_fraction,event_status,fast_score,slow_score,residual_persistent,start_actual_cycle,peak_actual_cycle,end_actual_cycle
Exp1_to_Exp2,Exp1,Exp2,3401,1,Exp2,V341_CalibrationOnly,1500.5,1510.5,1675.5,2.2608041494339166,1.0,unmatched_candidate_event,,,,2996.3397137150464,3012.9808588548603,3287.5597536617843
Exp1_to_Exp2,Exp1,Exp2,3401,2,Exp2,V341_CalibrationOnly,1810.5,1870.5,1930.5,1.5017356197002973,1.0,unmatched_candidate_event,,,,3512.2152130492677,3612.062083888149,3711.9089547270305
Exp1_to_Exp2,Exp1,Exp2,3401,3,Exp2,V341_CalibrationOnly,2145.5,2170.5,2180.5,0.9670407802125406,1.0,unmatched_candidate_event,,,,4069.693575233023,4111.296438082556,4127.93758322237
Exp1_to_Exp2,Exp1,Exp2,3401,4,Exp2,V341_CalibrationOnly,2705.5,2750.5,2775.5,1.0135702304883303,1.0,unmatched_candidate_event,,,,5001.597703062584,5076.482856191745,5118.085719041278
Exp1_to_Exp2,Exp1,Exp2,3401,5,Exp2,V341_CalibrationOnly,3000.5,3080.5,3685.5,3.471571207586251,1.0,unmatched_candidate_event,,,,5492.511484687084,5625.833333333333,6634.166666666667
Exp1_to_Exp2,Exp1,Exp2,3401,6,Exp2,V341_CalibrationOnly,3865.5,3910.5,4285.5,2.6399951070092005,1.0,unmatched_candidate_event,,,,6934.166666666667,7009.166666666667,7634.166666666666
Exp1_to_Exp2,Exp1,Exp2,3401,7,Exp2,V341_CalibrationOnly,4505.5,4550.5,4590.5,1.3162907057222604,1.0,unmatched_candidate_event,,,,8000.833333333334,8075.833333333334,8142.5
Exp1_to_Exp2,Exp1,Exp2,3401,8,Exp2,V341_CalibrationOnly,4940.5,5150.5,5480.5,2.6266381386962108,1.0,unmatched_candidate_event,,,,8725.833333333334,9075.833333333334,9625.833333333332
Exp1_to_Exp2,Exp1,Exp2,3401,9,Exp2,V341_CalibrationOnly,5700.5,6075.5,6710.5,3.1018395521513478,0.9852216748768473,unmatched_candidate_event,,,,9992.5,10617.5,11675.833333333334
Exp1_to_Exp2,Exp1,Exp2,3401,10,Exp2,V341_CalibrationOnly,6900.5,6955.5,7290.5,3.761468334607188,1.0,unmatched_candidate_event,,,,11992.5,12084.166666666666,12642.5
