direction,setting,seed,dataset,from_stage,to_stage,boundary_actual_cycle,boundary_peak_score,boundary_score_percentile,boundary_event_rank
Exp1_to_Exp2,V35_HardAND_Current,3401,Exp2,1,2,5500.0,3.288606678340404,1.0,1.0
Exp1_to_Exp2,V35_HardAND_Current,3401,Exp2,2,3,10500.0,0.2592727541923523,0.809966530308665,
Exp1_to_Exp2,V35_HardAND_Current,3401,Exp2,3,4,15000.0,0.24039754271507263,0.572703607288955,
Exp1_to_Exp2,V35_HardAND_Current,3401,Exp2,4,5,20000.0,0.25121158361434937,0.7136481963555225,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3401,Exp2,1,2,5500.0,3.7629153696474607,0.9683717297930496,3.0
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3401,Exp2,2,3,10500.0,1.4158543603773914,0.7754783287778212,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3401,Exp2,3,4,15000.0,2.417580170826911,0.8918391253416634,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3401,Exp2,4,5,20000.0,1.3168346059895017,0.737212026552128,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3401,Exp2,1,2,5500.0,3.6417816156355878,0.9480671612651308,4.0
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3401,Exp2,2,3,10500.0,1.588850359159096,0.6325654041390082,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3401,Exp2,3,4,15000.0,3.1809894525323448,0.9265911753221397,5.0
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3401,Exp2,4,5,20000.0,3.8434323380487028,0.9531433033971105,
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3401,Exp2,1,2,5500.0,7.100349721228493,0.9894572432643499,3.0
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3401,Exp2,2,3,10500.0,6.680822982770023,0.9828192112456072,4.0
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3401,Exp2,3,4,15000.0,9.166090019380778,1.0,1.0
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3401,Exp2,4,5,20000.0,5.891858204715919,0.952362358453729,
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3401,Exp2,1,2,5500.0,7.100349721228493,0.9894572432643499,3.0
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3401,Exp2,2,3,10500.0,6.680822982770023,0.9828192112456072,5.0
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3401,Exp2,3,4,15000.0,9.166090019380778,1.0,1.0
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3401,Exp2,4,5,20000.0,5.891858204715919,0.952362358453729,
Exp1_to_Exp2,V35_HardAND_Current,3402,Exp2,1,2,5500.0,3.326841409509112,1.0,2.0
Exp1_to_Exp2,V35_HardAND_Current,3402,Exp2,2,3,10500.0,0.2475055307149887,0.766827817032354,
Exp1_to_Exp2,V35_HardAND_Current,3402,Exp2,3,4,15000.0,0.24602366983890533,0.7155076236519152,
Exp1_to_Exp2,V35_HardAND_Current,3402,Exp2,4,5,20000.0,0.38708018991695065,0.7965786537746374,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3402,Exp2,1,2,5500.0,1.5265371212765433,1.0,1.0
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3402,Exp2,2,3,10500.0,0.24729783833026886,0.786411557985162,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3402,Exp2,3,4,15000.0,0.24540242552757263,0.7540023428348301,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3402,Exp2,4,5,20000.0,0.29505170178183554,0.8297540023428348,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3402,Exp2,1,2,5500.0,0.6936646132160217,0.9632955876610699,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3402,Exp2,2,3,10500.0,0.24835389852523804,0.7723545490042952,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3402,Exp2,3,4,15000.0,0.27816825263075495,0.8086684888715345,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3402,Exp2,4,5,20000.0,0.35993273318359775,0.8633346349082389,
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3402,Exp2,1,2,5500.0,1.1557656486555583,0.9980476376415462,2.0
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3402,Exp2,2,3,10500.0,0.2952629858678091,0.745021475985943,
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3402,Exp2,3,4,15000.0,0.2479949097221205,0.6907458024209293,
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3402,Exp2,4,5,20000.0,0.42538137103561824,0.8625536899648575,
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3402,Exp2,1,2,5500.0,1.1557656486555583,0.9980476376415462,2.0
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3402,Exp2,2,3,10500.0,0.2952629858678091,0.745021475985943,
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3402,Exp2,3,4,15000.0,0.2479949097221205,0.6907458024209293,
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3402,Exp2,4,5,20000.0,0.42538137103561824,0.8625536899648575,
Exp1_to_Exp2,V35_HardAND_Current,3403,Exp2,1,2,5500.0,6.169543757791402,1.0,3.0
Exp1_to_Exp2,V35_HardAND_Current,3403,Exp2,2,3,10500.0,0.6947146281439869,0.5894384529564894,
Exp1_to_Exp2,V35_HardAND_Current,3403,Exp2,3,4,15000.0,2.3204177550599776,0.9100037188545927,
Exp1_to_Exp2,V35_HardAND_Current,3403,Exp2,4,5,20000.0,2.7729338041517035,0.9315730754927483,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3403,Exp2,1,2,5500.0,4.649759192494255,0.9996095275283092,2.0
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3403,Exp2,2,3,10500.0,0.5408325195660418,0.6614603670441234,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3403,Exp2,3,4,15000.0,2.1450882925815673,0.932448262397501,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3403,Exp2,4,5,20000.0,1.688135867444902,0.8980866848887153,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3403,Exp2,1,2,5500.0,4.709455695646676,0.9750097618117922,3.0
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3403,Exp2,2,3,10500.0,0.8935204943984683,0.6122608356110895,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3403,Exp2,3,4,15000.0,2.622630715196586,0.8660679422100742,
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3403,Exp2,4,5,20000.0,4.095141328880083,0.9468957438500586,
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3403,Exp2,1,2,5500.0,7.037034481173171,0.996876220226474,2.0
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3403,Exp2,2,3,10500.0,1.8417289716283336,0.6884029675907849,
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3403,Exp2,3,4,15000.0,5.901253172398197,0.9562670831706365,
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3403,Exp2,4,5,20000.0,5.076778896553117,0.9414291292463881,3.0
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3403,Exp2,1,2,5500.0,7.037034481173171,0.996876220226474,2.0
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3403,Exp2,2,3,10500.0,1.8417289716283336,0.6884029675907849,6.0
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3403,Exp2,3,4,15000.0,5.901253172398197,0.9562670831706365,
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3403,Exp2,4,5,20000.0,5.076778896553117,0.9414291292463881,4.0
Exp1_to_Exp2,V35_HardAND_Current,3404,Exp2,1,2,5500.0,0.47756572579630396,0.9642989959092599,
Exp1_to_Exp2,V35_HardAND_Current,3404,Exp2,2,3,10500.0,0.24826757609844208,0.5429527705466716,
Exp1_to_Exp2,V35_HardAND_Current,3404,Exp2,3,4,15000.0,0.25183501839637756,0.6876162142060246,
Exp1_to_Exp2,V35_HardAND_Current,3404,Exp2,4,5,20000.0,0.25836506485939026,0.8058757902566009,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3404,Exp2,1,2,5500.0,1.6813133802199858,0.9937524404529481,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3404,Exp2,2,3,10500.0,0.2468651384115219,0.5431472081218274,
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3404,Exp2,3,4,15000.0,0.2537897527217865,0.7629832096837172,
