direction,source_dataset,target_dataset,seed,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,emit_cycle,peak_score,event_rank_score,residual_event_peak,residual_high_count,residual_high_fraction,slow_excess_area,event_duration,peak_slow_high,adapter_frozen_fraction,event_start_window,event_end_window,event_emit_window,event_status
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_CurrentAdapt,1505.5,1540.5,2435.5,2545.5,5.125471529547619,4.127421880904652,16.66060275348056,42.0,0.2131979695431472,152.42370745581033,187.0,1.0,0.9390862944162437,299.0,485.0,507.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_CurrentAdapt,2700.5,3320.5,3650.5,3760.5,3.7629153696474607,2.310164974131316,9.604336303083095,20.0,0.09950248756218906,149.7036035963539,191.0,1.0,0.9353233830845771,538.0,728.0,750.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_CurrentAdapt,6905.5,6950.5,7510.5,7620.5,4.537867981935646,2.925295576858612,10.195734383832505,37.0,0.2803030303030303,130.9491365516493,122.0,1.0,0.9621212121212122,1379.0,1500.0,1522.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_CurrentAdapt,8400.5,8410.5,8555.5,8665.5,2.417580170826911,0.6933856132973926,2.1580760627549678,0.0,0.0,4.699150829352974,32.0,1.0,0.8571428571428571,1678.0,1709.0,1731.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_CurrentAdapt,9630.5,9650.5,9985.5,10095.5,2.0791731385486765,0.6790933840410581,5.910434614538585,18.0,0.21951219512195122,13.31544595687737,72.0,1.0,0.8658536585365854,1924.0,1995.0,2017.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_CurrentAdapt,10960.5,11095.5,11100.5,11210.5,1.7162223835488644,0.20212199313603674,2.547522002056092,0.0,0.0,2.9425926430232487,29.0,1.0,0.8461538461538461,2190.0,2218.0,2240.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze,1505.5,1540.5,2300.5,2410.5,5.010484083347432,3.9812343719260914,16.123773241691378,42.0,0.24705882352941178,141.04506973115906,160.0,1.0,0.9764705882352941,299.0,458.0,480.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze,2705.5,3320.5,3385.5,3495.5,3.6417816156355878,2.084989714965734,8.45676953176059,19.0,0.1292517006802721,106.53930095764593,137.0,1.0,0.9727891156462585,539.0,675.0,697.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze,3595.5,3610.5,3650.5,3760.5,2.9875315508067146,1.0926060729881564,0.8192688727190952,0.0,0.0,6.263552216504012,12.0,1.0,1.0,717.0,728.0,750.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze,3900.5,3910.5,3910.5,4020.5,1.882043655245604,0.3182709255513336,1.2740860503591067,0.0,0.0,0.7066498083385793,3.0,1.0,0.6923076923076923,778.0,780.0,802.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze,5140.5,5260.5,5410.5,5520.5,2.035572982361749,0.4258100081823697,1.7249905905563194,0.0,0.0,16.718085317659757,55.0,1.0,1.0,1026.0,1080.0,1102.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze,6905.5,6950.5,7515.5,7625.5,5.428745505787081,3.7963142467276008,12.215698334758148,39.0,0.2932330827067669,182.56401891438432,123.0,1.0,0.9699248120300752,1379.0,1501.0,1523.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze,7820.5,7830.5,7840.5,7950.5,2.1383053000391126,0.49776850241341797,2.5863522634964458,0.0,0.0,1.5218936833509114,5.0,1.0,0.8,1562.0,1566.0,1588.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze,8395.5,8410.5,8690.5,8800.5,3.1809894525323448,1.228112986683941,3.499714236442412,0.0,0.0,25.94135964906941,60.0,1.0,0.9714285714285714,1677.0,1736.0,1758.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze,8820.5,8840.5,8845.5,8955.5,1.554180700118996,0.20056295494559706,5.004326722652886,2.0,0.125,0.28476015822812695,6.0,1.0,1.0,1762.0,1767.0,1789.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze,9475.5,11095.5,11705.5,11815.5,4.631727201589062,3.6730423496648648,15.773003350539767,140.0,0.3063457330415755,342.2210713228375,447.0,1.0,0.9934354485776805,1893.0,2339.0,2361.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,1505.5,1555.5,2005.5,2115.5,3.9673402801021664,2.7605617413947963,12.116613959196203,40.0,0.36036036036036034,64.11766860192785,101.0,1.0,0.963963963963964,299.0,399.0,421.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,2150.5,2190.5,2295.5,2405.5,1.9178764159430488,0.3433698580219069,2.138273056250109,0.0,0.0,6.879835664441945,30.0,1.0,1.0,428.0,457.0,479.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,2695.5,3320.5,4305.5,4415.5,7.100349721228493,4.896482188673006,11.637518257622954,38.0,0.11411411411411411,333.14993567082365,323.0,1.0,0.984984984984985,537.0,859.0,881.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,4540.5,4675.5,4780.5,4890.5,2.3641750860729562,0.6559782076235023,1.2275902107397818,0.0,0.0,20.62194931737391,49.0,1.0,1.0,906.0,954.0,976.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,4890.5,5270.5,5590.5,5700.5,3.178663711426273,1.2264839294237926,3.4898002359265625,0.0,0.0,76.12331386928251,141.0,1.0,1.0,976.0,1116.0,1138.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,5700.5,6360.5,6775.5,6885.5,6.680822982770023,3.9143211824612925,6.008716615760328,18.0,0.07964601769911504,398.5167965033461,216.0,1.0,1.0,1138.0,1353.0,1375.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,6900.5,6990.5,7530.5,7640.5,6.084670635838355,5.0852244541449005,18.998913408082306,43.0,0.31386861313868614,219.4616196900176,127.0,1.0,1.0,1378.0,1504.0,1526.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,8100.5,8110.5,8115.5,8225.5,3.6336963171525385,1.5452099338046632,3.9103009197043566,0.0,0.0,2.8708761731078427,4.0,1.0,0.7142857142857143,1618.0,1621.0,1643.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,8400.5,8710.5,12150.5,12260.5,9.166090019380778,6.427745840431157,12.327093025483627,192.0,0.25229960578186594,1191.358749023869,751.0,1.0,0.9947437582128777,1678.0,2428.0,2450.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,12605.5,13190.5,13875.5,13985.5,8.095757922148259,4.766211488966596,4.8704037922489976,17.0,0.06415094339622641,420.6437581636916,255.0,1.0,0.9849056603773585,2519.0,2773.0,2795.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,1505.5,1555.5,2005.5,2115.5,3.9673402801021664,2.7605617413947963,12.116613959196203,40.0,0.36036036036036034,64.11766860192785,101.0,1.0,0.963963963963964,299.0,399.0,421.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,2150.5,2190.5,2295.5,2405.5,1.9178764159430488,0.3433698580219069,2.138273056250109,0.0,0.0,6.879835664441945,30.0,1.0,1.0,428.0,457.0,479.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,2695.5,3320.5,4305.5,4415.5,7.100349721228493,4.896482188673006,11.637518257622954,38.0,0.11411411411411411,333.14993567082365,323.0,1.0,0.984984984984985,537.0,859.0,881.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,4540.5,4675.5,4780.5,4890.5,2.3641750860729562,0.6559782076235023,1.2275902107397818,0.0,0.0,20.62194931737391,49.0,1.0,1.0,906.0,954.0,976.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,4890.5,5270.5,5590.5,5700.5,3.178663711426273,1.2264839294237926,3.4898002359265625,0.0,0.0,76.12331386928251,141.0,1.0,1.0,976.0,1116.0,1138.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,5700.5,6360.5,6775.5,6885.5,6.680822982770023,3.9143211824612925,6.008716615760328,18.0,0.07964601769911504,398.5167965033461,216.0,1.0,1.0,1138.0,1353.0,1375.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,6900.5,6990.5,7530.5,7640.5,6.084670635838355,5.0852244541449005,18.998913408082306,43.0,0.31386861313868614,219.4616196900176,127.0,1.0,1.0,1378.0,1504.0,1526.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,8100.5,8110.5,8115.5,8225.5,3.6336963171525385,1.5452099338046632,3.9103009197043566,0.0,0.0,2.8708761731078427,4.0,1.0,0.7142857142857143,1618.0,1621.0,1643.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,8400.5,8710.5,12150.5,12260.5,9.166090019380778,6.427745840431157,12.327093025483627,192.0,0.25229960578186594,1191.358749023869,751.0,1.0,0.9947437582128777,1678.0,2428.0,2450.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3401,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,12605.5,13190.5,13875.5,13985.5,8.095757922148259,4.766211488966596,4.8704037922489976,17.0,0.06415094339622641,420.6437581636916,255.0,1.0,0.9849056603773585,2519.0,2773.0,2795.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_EventGate_CurrentAdapt,1510.5,1530.5,1800.5,1910.5,1.1572228208735476,2.6353886305454624,18.89998399905881,25.0,0.36231884057971014,41.89553749430329,59.0,1.0,0.9565217391304348,300.0,358.0,380.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3402,0.0,Exp2,V351_EventGate_CurrentAdapt,1930.5,2110.5,2435.5,2545.5,0.8899582717089126,1.1930249480935942,9.717102656002046,2.0,0.017857142857142856,23.691473665565375,102.0,1.0,0.9821428571428571,384.0,485.0,507.0,CONFIRMED
