direction,setting,seed,boundary_hit_rate_250,boundary_hit_rate_500,mean_absolute_detection_delay,median_absolute_detection_delay,candidate_event_count,unmatched_candidate_count,event_level_precision,event_level_f1,adapter_update_fraction,adapter_frozen_fraction,Top_4_event_recall,Top_8_event_recall
Exp1_to_Exp2,V35_HardAND_Current,3401,0.25,0.25,159.16666666666697,159.16666666666697,3,2,0.3333333333333333,0.28571428571428575,0.801785050204537,0.198214949795463,0.25,0.25
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3401,0.0,0.0,,,4,4,0.0,0.0,0.6653650917610309,0.33463490823896913,0.25,0.25
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3401,0.25,0.25,225.83333333333394,225.83333333333394,5,4,0.2,0.22222222222222224,0.4057008980866849,0.5942991019133151,0.25,0.5
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3401,0.25,0.25,9.16666666666606,9.16666666666606,6,5,0.16666666666666666,0.2,0.016399843811011325,0.9226864506052324,0.75,0.75
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3401,0.25,0.25,9.16666666666606,9.16666666666606,10,9,0.1,0.14285714285714288,0.016399843811011325,0.9226864506052324,0.5,0.75
Exp1_to_Exp2,V35_HardAND_Current,3402,0.25,0.25,59.16666666666697,59.16666666666697,4,3,0.25,0.25,0.7910003718854592,0.20899962811454073,0.25,0.25
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3402,0.0,0.0,,,5,5,0.0,0.0,0.8196017180788754,0.18039828192112456,0.25,0.25
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3402,0.0,0.0,,,3,3,0.0,0.0,0.7852401405700898,0.2147598594299102,0.0,0.0
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3402,0.0,0.0,,,3,3,0.0,0.0,0.14369386958219446,0.2776259273721203,0.25,0.25
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3402,0.0,0.0,,,5,5,0.0,0.0,0.14369386958219446,0.2776259273721203,0.25,0.25
Exp1_to_Exp2,V35_HardAND_Current,3403,0.25,0.25,109.16666666666697,109.16666666666697,4,3,0.25,0.25,0.5061361100780959,0.49386388992190405,0.25,0.25
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3403,0.0,0.0,,,3,3,0.0,0.0,0.7536118703631394,0.2463881296368606,0.25,0.25
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3403,0.25,0.25,17.5,17.5,5,4,0.2,0.22222222222222224,0.4814525575946896,0.5185474424053105,0.25,0.25
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3403,0.0,0.5,,,4,4,0.0,0.0,0.070675517376025,0.6485747754783288,0.5,0.5
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3403,0.25,0.75,42.5,42.5,10,9,0.1,0.14285714285714288,0.070675517376025,0.6485747754783288,0.5,0.75
Exp1_to_Exp2,V35_HardAND_Current,3404,0.0,0.0,,,2,2,0.0,0.0,0.956117515805132,0.04388248419486798,0.0,0.0
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3404,0.0,0.0,,,2,2,0.0,0.0,0.8809058961343226,0.11909410386567747,0.0,0.0
Exp1_to_Exp2,V351_EventGate_WarningFreeze,3404,0.0,0.0,,,2,2,0.0,0.0,0.8250683326825459,0.17493166731745413,0.0,0.0
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,3404,0.0,0.0,,,2,2,0.0,0.0,0.15540804373291683,0.21788363920343615,0.0,0.0
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,3404,0.0,0.0,,,6,6,0.0,0.0,0.15540804373291683,0.21788363920343615,0.25,0.25
Exp1_to_Exp2,V35_HardAND_Current,3405,0.0,0.0,,,2,2,0.0,0.0,0.9285979918185199,0.0714020081814801,0.0,0.0
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,3405,0.0,0.0,,,3,3,0.0,0.0,0.791097227645451,0.20890277235454902,0.25,0.25
