direction,setting,dataset,from_stage,to_stage,mean_event_rank,top4_hit_rate,top8_hit_rate,boundary_peak_percentile
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,Exp2,1,2,2.0,0.8,0.8,0.9859429910191331
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,Exp2,2,3,,0.0,0.0,0.6992581023037876
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,Exp2,3,4,,0.0,0.0,0.8315501757126122
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,Exp2,4,5,,0.0,0.0,0.8011714174150721
Exp1_to_Exp2,V351_EventGate_WarningFreeze,Exp2,1,2,3.5,0.4,0.4,0.9689183912534165
Exp1_to_Exp2,V351_EventGate_WarningFreeze,Exp2,2,3,,0.0,0.0,0.6610698945724327
Exp1_to_Exp2,V351_EventGate_WarningFreeze,Exp2,3,4,5.0,0.0,0.2,0.8358453729012105
Exp1_to_Exp2,V351_EventGate_WarningFreeze,Exp2,4,5,,0.0,0.0,0.8745802420929325
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,Exp2,1,2,2.25,0.8,0.8,0.9953143303397111
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,Exp2,2,3,4.0,0.2,0.2,0.7614994142912925
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,Exp2,3,4,3.0,0.2,0.4,0.898477157360406
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,Exp2,4,5,3.0,0.2,0.2,0.8499804763764155
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,Exp2,1,2,2.2,1.0,1.0,0.9953143303397111
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,Exp2,2,3,5.5,0.0,0.4,0.7614994142912925
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,Exp2,3,4,4.5,0.2,0.4,0.898477157360406
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,Exp2,4,5,4.0,0.2,0.2,0.8499804763764155
Exp1_to_Exp2,V35_HardAND_Current,Exp2,1,2,2.0,0.6,0.6,0.9868352547415397
Exp1_to_Exp2,V35_HardAND_Current,Exp2,2,3,,0.0,0.0,0.7011528449237635
Exp1_to_Exp2,V35_HardAND_Current,Exp2,3,4,,0.0,0.0,0.7230197099293417
Exp1_to_Exp2,V35_HardAND_Current,Exp2,4,5,,0.0,0.0,0.8061732986240238
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,Exp1,1,2,1.2,1.0,1.0,0.9999096963539902
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,Exp1,2,3,3.5,0.4,0.4,0.971870414267976
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,Exp1,3,4,2.0,0.6,0.6,0.9757534710463934
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,Exp1,4,5,,0.0,0.0,0.6662151484366181
Exp2_to_Exp1,V351_EventGate_WarningFreeze,Exp1,1,2,1.4,1.0,1.0,0.9983745343718253
Exp2_to_Exp1,V351_EventGate_WarningFreeze,Exp1,2,3,3.3333333333333335,0.6,0.6,0.970854498250367
Exp2_to_Exp1,V351_EventGate_WarningFreeze,Exp1,3,4,1.3333333333333333,0.6,0.6,0.9747375550287843
Exp2_to_Exp1,V351_EventGate_WarningFreeze,Exp1,4,5,,0.0,0.0,0.6911389547352974
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,Exp1,1,2,1.3333333333333333,0.6,0.6,0.9985099898408398
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,Exp1,2,3,,0.0,0.0,0.8971215712834406
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,Exp1,3,4,,0.0,0.0,0.903329946946608
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,Exp1,4,5,,0.0,0.0,0.5600632125522067
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,Exp1,1,2,1.0,0.6,0.6,0.9985099898408398
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,Exp1,2,3,,0.0,0.0,0.8971215712834406
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,Exp1,3,4,,0.0,0.0,0.903329946946608
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,Exp1,4,5,,0.0,0.0,0.5600632125522067
Exp2_to_Exp1,V35_HardAND_Current,Exp1,1,2,1.0,0.4,0.4,1.0
Exp2_to_Exp1,V35_HardAND_Current,Exp1,2,3,3.0,0.6,0.6,0.9599866473795482
Exp2_to_Exp1,V35_HardAND_Current,Exp1,3,4,2.0,0.6,0.8,0.9609213308111716
Exp2_to_Exp1,V35_HardAND_Current,Exp1,4,5,3.0,0.4,0.4,0.7809947702236564
