dataset,window_id,window_index,start_cycle,end_cycle,center_cycle,baseline_window_500,baseline_window_1000,baseline_window_2000,rx_mean,rx_absmean,rx_rms,rx_std,rx_p2p,rx_q95,rx_q05,ry_mean,ry_absmean,ry_rms,ry_std,ry_p2p,ry_q95,ry_q05,rs_mean,rs_absmean,rs_rms,rs_std,rs_p2p,rs_q95,rs_q05
Exp2,0,0,1.0,20.0,10.5,1,1,1,0.1941558573287078,0.1969632598286969,0.2038217516060744,0.0524258443650397,0.1926996067668011,0.3054978651441559,0.1216213525314593,-0.2526341338795628,0.2531389806551597,0.2543849267137165,0.0251406439164827,0.0966600512606712,-0.2103796958032717,-0.2883073963395303,0.3224300372907184,0.3224300372907184,0.3238190836352673,0.0479481397963247,0.1647145570462497,0.408267720987979,0.2548277638799362
Exp2,1,1,6.0,25.0,15.5,1,1,1,0.19297572198185053,0.1941558573287078,0.200957085728351,0.0518367944768985,0.1927244430758308,0.3019747013932412,0.12033241363059385,-0.2522960459568035,0.2526341338795628,0.2539118072900127,0.0254310089459264,0.0967186094016596,-0.2097154249237307,-0.28817041582100755,0.3202926762736019,0.3202926762736019,0.3228049294725852,0.0476568026897544,0.1650056541119087,0.4061498827653295,0.2520960926951575
Exp2,2,2,11.0,30.0,20.5,1,1,1,0.1917955866349933,0.1917955866349933,0.198516599158728,0.0512155418713759,0.1921491447100097,0.2985462634276181,0.1190434747297284,-0.2519579580340442,0.2519579580340442,0.2532538813102544,0.0255820921865335,0.096777167542648,-0.2090737721711705,-0.2880334353024849,0.318295784203937,0.318295784203937,0.3217907753099032,0.0472950028213732,0.1643281235106105,0.4034427642824977,0.2498423467911291
Exp2,3,3,16.0,35.0,25.5,1,1,1,0.1899154521202497,0.1899154521202497,0.1965697482824635,0.0507108367320201,0.1908975885281823,0.2953030337444676,0.117252678968274,-0.2514303789520978,0.2514303789520978,0.252743946535371,0.0257320854926057,0.096777167542648,-0.208562458117484,-0.2876173350380194,0.3167214450383145,0.3167214450383145,0.3201897824965691,0.0469976752885227,0.1635176405881187,0.4011783076635015,0.2481646377718336
Exp2,4,4,21.0,40.0,30.5,1,1,1,0.188387127669295,0.188387127669295,0.1949975135809938,0.0503400836213376,0.1901039416334032,0.2920487977874413,0.1156382849955242,-0.251191824663442,0.251191824663442,0.2525151806131974,0.0258155041337575,0.096777167542648,-0.208213970737251,-0.2876166388671141,0.3155979223008224,0.3155979223008224,0.3190435184220965,0.0467599210266804,0.1621533823424113,0.3988716873433655,0.2467957773604308
Exp2,5,5,26.0,45.0,35.5,1,1,1,0.1875886772536651,0.1875886772536651,0.1941694152600156,0.0501202402372813,0.190853150249036,0.2902344515168621,0.1141739510511887,-0.2507158749570585,0.2507158749570585,0.2520267634198326,0.0256691810838153,0.0959898142469696,-0.2079314588153137,-0.2871752766142744,0.314740994797283,0.314740994797283,0.3181503610674565,0.0464489942261524,0.161575706547467,0.3973017869154187,0.2456398140139941
Exp2,6,6,31.0,50.0,40.5,1,1,1,0.1871133910867566,0.1871133910867566,0.1937168858372827,0.050144042415154,0.1940955893892892,0.2894014871966616,0.112588336987624,-0.2503779755718089,0.2503779755718089,0.2516798427589918,0.0255620711950266,0.0956467847180549,-0.2077618369763674,-0.2868728910843549,0.3141992439864182,0.3141992439864182,0.3175992294958739,0.0463450805607195,0.1628288540825437,0.3971057714314457,0.2445486023189847
Exp2,7,7,36.0,55.0,45.5,1,1,1,0.1867662168117744,0.1867662168117744,0.1934823237096779,0.0505241438854307,0.1986321589849924,0.2894642779011293,0.1108046591081944,-0.250137423525118,0.250137423525118,0.2514459786966368,0.0256153113581933,0.0956115186668342,-0.2074679896782096,-0.2868713862933622,0.3138203111539009,0.3138203111539009,0.3172709592142096,0.0466582262735173,0.165257264105926,0.397881914508814,0.243269553475652
Exp2,8,8,41.0,60.0,50.5,1,1,1,0.186629386743451,0.186629386743451,0.1934242909757056,0.0508076094562284,0.202128345342455,0.2899978159206774,0.1096333323528793,-0.2500176818330126,0.2500176818330126,0.2513341913572013,0.0256848568382259,0.0954055243647603,-0.2073547525356648,-0.2868071596691713,0.3136563878462394,0.3136563878462394,0.3171470060576332,0.046914607810669,0.1672132501798956,0.3985598842487822,0.2424261611892857
Exp2,9,9,46.0,65.0,55.5,1,1,1,0.1859871847464918,0.1859871847464918,0.1928079063351179,0.050821803691655,0.2031638178343779,0.2893290843391684,0.1090087634940604,-0.2495536703450578,0.2495536703450578,0.2508662226779461,0.0256224153006485,0.0954055243647603,-0.2070934584527404,-0.2866118425585032,0.3128985284479402,0.3128985284479402,0.3164002762263633,0.0469348404897848,0.1677147938185875,0.3977827576453186,0.2415111513111983
Exp2,10,10,51.0,70.0,60.5,1,1,1,0.1854421236306083,0.1854421236306083,0.1922422937686821,0.0506716455166087,0.2019352136103092,0.2882682496281464,0.1089739300849067,-0.2492069248393967,0.2492069248393967,0.2505356240689654,0.0257643726265945,0.0953636986594227,-0.206668181429329,-0.2865168443043763,0.3122740825486519,0.3122740825486519,0.3157935475318184,0.047009694755189,0.1671045210487947,0.3966699099279157,0.2407247567845981
Exp2,11,11,56.0,75.0,65.5,1,1,1,0.1850928327399278,0.1850928327399278,0.19175747468777,0.0501113000228504,0.1994473575356962,0.286582928753788,0.1089162950902733,-0.2489013418125887,0.2489013418125887,0.2502375264353519,0.0258204871529321,0.0953586599706943,-0.2063851973367668,-0.2865005166358182,0.3117834535346587,0.3117834535346587,0.3152618126236669,0.046697818836984,0.1654590156667772,0.3948778983667924,0.2403448924412998
Exp2,12,12,61.0,80.0,70.5,1,1,1,0.1845205682689666,0.1845205682689666,0.1910705676288048,0.0495959982277921,0.1965918939460834,0.2845663242811699,0.1086354401905951,-0.2484494047286692,0.2484494047286692,0.2497614032220012,0.025562788744576,0.0944090910513676,-0.2062221910166919,-0.2859619064677271,0.31106539239337,0.31106539239337,0.3144662923236497,0.0461195730978005,0.1632451843355846,0.3925949874176172,0.2400589641785606
Exp2,13,13,66.0,85.0,75.5,1,1,1,0.1840179432802669,0.1840179432802669,0.190487043798266,0.0492174064074582,0.1946794596819256,0.2825985554748693,0.1086354401905951,-0.2480801755174442,0.2480801755174442,0.24938672138252,0.0254900295806768,0.0941389971913004,-0.2059685935712907,-0.2854142919719998,0.3104567962080289,0.3104567962080289,0.3138142603297483,0.0457763101981856,0.1621164078653615,0.3909758478088312,0.23954375726299
Exp2,14,14,71.0,90.0,80.5,1,1,1,0.1838242349460202,0.1838242349460202,0.1902000711087966,0.0488310495256874,0.1932380316872902,0.280813572159503,0.108378611595956,-0.2477754446712245,0.2477754446712245,0.2490903814388522,0.0255561014232466,0.0940240000871303,-0.2057025724457504,-0.2851368658614938,0.3100795421683116,0.3100795421683116,0.3134044717177571,0.0455267218111848,0.1613810384098229,0.3895787969637842,0.2390009390074446
Exp2,15,15,76.0,95.0,85.5,1,1,1,0.1838242349460202,0.183802594981707,0.1901710098832276,0.048799414955041,0.1915068168268996,0.2793145079134636,0.1078976907186985,-0.2476346586818462,0.2476346586818462,0.2489371155028815,0.0254278489643403,0.0938171878789031,-0.2056830258159216,-0.2846892767484346,0.3099652994257671,0.3099652994257671,0.3132650380301023,0.0453460103639517,0.1601403042162755,0.3883224287788983,0.238760898003648
Exp2,16,16,81.0,100.0,90.5,1,1,1,0.1838242349460202,0.1836451561661013,0.1899812530762728,0.0486531024268403,0.1901193606311941,0.2774688443198484,0.107369927211377,-0.2469419291319636,0.2469419291319636,0.2482373223561273,0.0253229493636605,0.0938171878789031,-0.2052618928461597,-0.2839335523308057,0.3093072556322417,0.3093072556322417,0.3127190721264512,0.045208280333018,0.159110656731493,0.3865462234696472,0.2379387180557549
Exp2,17,17,86.0,105.0,95.5,1,1,1,0.1838287613669206,0.1838287613669206,0.1901889326887025,0.0487712402843547,0.1896810129945779,0.2766161884086908,0.1072318162054432,-0.2466300888635619,0.2466300888635619,0.2479375030024288,0.0254248929600524,0.0937412998960475,-0.2049939487208537,-0.2838248204029521,0.3091655165721422,0.3091655165721422,0.3125939398409719,0.0454046238528643,0.1595056948799917,0.3858422262970006,0.2372462217291923
Exp2,18,18,91.0,110.0,100.5,1,1,1,0.1844367691598203,0.1844367691598203,0.1908261743790021,0.0489638459973957,0.1884193239861163,0.2767115799510357,0.1072318162054432,-0.2464457248714796,0.2464457248714796,0.2477452388151195,0.0253387391249474,0.0938171878789031,-0.2048526307844022,-0.2836868292494086,0.3093938076413932,0.3093938076413932,0.3125939398409719,0.0454801769413141,0.1595005314013738,0.3857314539174937,0.237063894010912
Exp2,19,19,96.0,115.0,105.5,1,1,1,0.1847243955511076,0.1847243955511076,0.1910833810429797,0.0488819393363227,0.1871837604567451,0.276848557813482,0.1072318162054432,-0.2459984353598553,0.2459984353598553,0.2472859627355818,0.0251986984181637,0.0940566780888326,-0.2047693561256819,-0.2836868292494086,0.309197119616591,0.309197119616591,0.3127027179877128,0.0453982169619638,0.1597618940396036,0.3854326478700339,0.236873031505553
Exp2,20,20,101.0,120.0,110.5,1,1,1,0.1847243955511076,0.185124629721545,0.1914783943644407,0.0489135096368251,0.1871974296755273,0.2776442308353716,0.1072318162054432,-0.2459784311918019,0.2459219090243926,0.2472213186113215,0.0253113625389113,0.0940566780888326,-0.2046809408122978,-0.2836082282850046,0.3093693578310489,0.3093693578310489,0.3127027179877128,0.0455337234289817,0.1610042091887312,0.3862751497654929,0.236795712422579
Exp2,21,21,106.0,125.0,115.5,1,1,1,0.1847243955511076,0.1851705259257318,0.1914951437157868,0.0488056671112352,0.1867282316536541,0.2780696254808028,0.1072318162054432,-0.2459219090243926,0.2459784311918019,0.2472861171377773,0.0253946317368829,0.0941127148021532,-0.204730556447152,-0.2835417953569545,0.3094345603856155,0.3094345603856155,0.3125126311390342,0.045513320471179,0.161148891552522,0.3869618630185761,0.2367324767113812
Exp2,22,22,111.0,130.0,120.5,1,1,1,0.1842734313387112,0.1842734313387112,0.1905900839399293,0.0486587968550249,0.1867063740729052,0.2768388229253038,0.1063559738070035,-0.2456049922826429,0.2456049922826429,0.2468967872197089,0.0252195571711001,0.0941318041184981,-0.204621572118096,-0.2835417953569545,0.3086036246421907,0.3086036246421907,0.3119028098428738,0.0452431907071938,0.1605393647661274,0.3858170324310347,0.2362172308525621
Exp2,23,23,116.0,135.0,125.5,1,1,1,0.1831421713879406,0.1831421713879406,0.1894611755812003,0.0485212799667117,0.1865116911948146,0.2751025603192929,0.1048451997668921,-0.2451734720896879,0.2451734720896879,0.2464761270354028,0.025303762620273,0.0941318041184981,-0.2043006291857749,-0.2834820717894807,0.3075884917949421,0.3075884917949421,0.310880839661256,0.0451221056301875,0.1603025160106614,0.3846883540195737,0.2352537155549066
Exp2,24,24,121.0,140.0,130.5,1,1,1,0.1822663325292843,0.1822663325292843,0.1886434849822695,0.0486324624487111,0.1874935322944973,0.273961157208373,0.1034970594730958,-0.2450392787784826,0.2450392787784826,0.2463415141304231,0.0252928289019886,0.093949398975162,-0.2042438638185384,-0.2834108261127097,0.3069865726771549,0.3069865726771549,0.310275543524176,0.0450550988566117,0.159630167615293,0.3839465880139455,0.2346641965643862
