direction,setting,seed,tolerance_actual_cycles,dataset,from_stage,to_stage,boundary_cycle,boundary_actual_cycle,event_id,event_peak_cycle,event_peak_actual_cycle,peak_score,absolute_detection_delay,match_status,exp2_variant,source_exp2_variant,target_exp2_variant
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,1.0,2.0,3005.0,5500.0,2.0,3080.5,5625.833333333333,1.7615518943151816,125.83333333333303,MATCHED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,3.0,4.0,8705.0,15000.0,4.0,8715.5,15017.5,3.1431516947975675,17.5,MATCHED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,4.0,5.0,11705.0,20000.0,13.0,11800.5,20159.498956158663,1.2738034598858747,159.49895615866262,MATCHED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,1.0,1555.5,3087.8660119840215,0.8659726246191,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,3.0,6990.5,12142.5,1.5828154268366883,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,5.0,9315.5,16017.5,2.628764802828494,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,6.0,9615.5,16517.5,1.889831490287222,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,7.0,9910.5,17009.166666666668,3.1022664383196545,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,8.0,10230.5,17542.5,2.3203436614340025,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,9.0,10530.5,18042.5,3.2431013293198285,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,10.0,10830.5,18542.5,2.692588717636748,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,11.0,11180.5,19125.833333333332,2.2018134851695703,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,12.0,11430.5,19542.5,2.852676898716544,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,250.0,Exp2,1.0,2.0,3005.0,5500.0,2.0,3100.5,5659.166666666667,2.416844263571704,159.16666666666697,MATCHED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,250.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,250.0,Exp2,3.0,4.0,8705.0,15000.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,250.0,Exp2,4.0,5.0,11705.0,20000.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,250.0,Exp2,,,,,1.0,1540.5,3062.904294274301,1.1478344288028408,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,250.0,Exp2,,,,,3.0,6955.5,12084.166666666666,1.1560435077469915,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,1.0,2.0,3005.0,5500.0,2.0,3045.5,5567.5,3.0566497492265468,67.5,MATCHED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,3.0,4.0,8705.0,15000.0,5.0,8715.5,15017.5,3.336813799337849,17.5,MATCHED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,4.0,5.0,11705.0,20000.0,14.0,11750.5,20075.991649269312,6.042981813262327,75.99164926931189,MATCHED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,1.0,1530.5,3046.2631491344873,0.7752688221211566,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,3.0,7005.5,12167.5,3.959562606313604,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,4.0,7230.5,12542.5,1.474334373519513,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,6.0,9315.5,16017.5,7.36577183823014,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,7.0,9615.5,16517.5,4.120079942494867,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,8.0,9910.5,17009.166666666668,10.22296985672454,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,9.0,10230.5,17542.5,5.50911681290637,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,10.0,10530.5,18042.5,13.830805042869988,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,11.0,10830.5,18542.5,7.59640099891973,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,12.0,11130.5,19042.5,7.008189122188013,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,13.0,11430.5,19542.5,10.35466369378504,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,15.0,12685.5,21637.57828810021,3.0543782161571045,,unmatched_candidate_event,Raw,Raw,Raw
