direction,setting,seed,dataset,from_stage,to_stage,boundary_actual_cycle,boundary_peak_score,boundary_score_percentile,boundary_event_rank,exp2_variant,source_exp2_variant,target_exp2_variant,event_rank,top8_hit,match_status,hit_250,event_id,event_peak_cycle,event_peak_actual_cycle,peak_score,absolute_detection_delay,matched_event_delay_actual_cycles
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,Exp2,1,2,5500.0,2.706753901248593,0.9847526961695797,10.0,Raw,Raw,Raw,10.0,0,MATCHED,1,2.0,3080.5,5625.833333333333,1.7615518943151816,125.83333333333303,125.83333333333303
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,Exp2,2,3,10500.0,2.6226018337092656,0.9814057270360729,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,Exp2,3,4,15000.0,3.515619686797799,0.9966530308664932,2.0,Raw,Raw,Raw,2.0,1,MATCHED,1,4.0,8715.5,15017.5,3.1431516947975675,17.5,17.5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,Exp2,4,5,20000.0,2.852676898716544,0.9869840089252511,4.0,Raw,Raw,Raw,4.0,1,MATCHED,1,13.0,11800.5,20159.498956158663,1.2738034598858747,159.49895615866262,159.49895615866262
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,Exp2,1,2,5500.0,3.288606678340404,1.0,1.0,Raw,Raw,Raw,1.0,1,MATCHED,1,2.0,3100.5,5659.166666666667,2.416844263571704,159.16666666666697,159.16666666666697
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,Exp2,2,3,10500.0,0.2592727541923523,0.809966530308665,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,Exp2,3,4,15000.0,0.2403975427150726,0.572703607288955,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,Exp2,4,5,20000.0,0.2512115836143493,0.7136481963555225,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,Exp2,1,2,5500.0,5.795331288021922,0.9709929341762737,12.0,Raw,Raw,Raw,12.0,0,MATCHED,1,2.0,3045.5,5567.5,3.0566497492265468,67.5,67.5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,Exp2,2,3,10500.0,5.891557225290933,0.9743399033097806,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,Exp2,3,4,15000.0,4.122139674923945,0.8378579397545556,11.0,Raw,Raw,Raw,11.0,0,MATCHED,1,5.0,8715.5,15017.5,3.336813799337849,17.5,17.5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,Exp2,4,5,20000.0,10.35466369378504,0.9973968017850502,2.0,Raw,Raw,Raw,2.0,1,MATCHED,1,14.0,11750.5,20075.991649269312,6.042981813262327,75.99164926931189,75.99164926931189
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,Exp2,1,2,5500.0,3.326841409509112,1.0,2.0,Raw,Raw,Raw,2.0,1,MATCHED,1,3.0,3040.5,5559.166666666667,1.7209789969300904,59.16666666666697,59.16666666666697
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,Exp2,2,3,10500.0,0.2475055307149887,0.766827817032354,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,Exp2,3,4,15000.0,0.2460236698389053,0.7155076236519152,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,Exp2,4,5,20000.0,0.3870801899169506,0.7965786537746374,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,Exp2,1,2,5500.0,9.165501550270102,0.9419858683525474,9.0,Raw,Raw,Raw,9.0,0,MATCHED,1,2.0,3025.5,5534.166666666667,7.994855479612623,34.16666666666697,34.16666666666697
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,Exp2,2,3,10500.0,6.094289920034401,0.8185198958720714,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,Exp2,3,4,15000.0,10.280954259843345,0.951283004834511,7.0,Raw,Raw,Raw,7.0,1,MATCHED,1,5.0,8715.5,15017.5,9.50785925923233,17.5,17.5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,Exp2,4,5,20000.0,10.81381752079947,0.9583488285608033,6.0,Raw,Raw,Raw,6.0,1,MATCHED,1,14.0,11750.5,20075.991649269312,5.925918092918916,75.99164926931189,75.99164926931189
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3403,Exp2,1,2,5500.0,6.169543757791402,1.0,3.0,Raw,Raw,Raw,3.0,1,MATCHED,1,1.0,3070.5,5609.166666666667,4.560311471357404,109.16666666666697,109.16666666666697
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3403,Exp2,2,3,10500.0,0.6947146281439869,0.5894384529564894,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3403,Exp2,3,4,15000.0,2.3204177550599776,0.9100037188545927,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3403,Exp2,4,5,20000.0,2.7729338041517035,0.9315730754927483,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,Exp2,1,2,5500.0,0.5986217083660337,0.8121978430643362,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
