direction,exp2_variant,source_exp2_variant,target_exp2_variant,setting,dataset,from_stage,to_stage,top8_hit_rate,hit_rate_250,mean_event_rank,mean_boundary_score_percentile,mean_matched_event_delay_actual_cycles,mean_absolute_detection_delay,matched_seed_count,seed_count
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_CalibrationOnly,Exp2,1,2,0.0,0.6,10.333333333333334,0.9079955373744886,75.83333333333333,75.83333333333333,3,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_CalibrationOnly,Exp2,2,3,0.0,0.0,,0.8826329490516921,,,0,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_CalibrationOnly,Exp2,3,4,0.4,1.0,8.2,0.8993677947192265,32.5,32.5,5,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_CalibrationOnly,Exp2,4,5,1.0,1.0,3.8,0.9855708441799926,107.72442588726554,107.72442588726554,5,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_OnlineAdaptation,Exp2,1,2,0.4,0.4,2.0,0.9901078467831909,134.16666666666697,134.16666666666697,2,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_OnlineAdaptation,Exp2,2,3,0.0,0.0,,0.6993677947192265,,,0,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_OnlineAdaptation,Exp2,3,4,0.0,0.0,,0.7452584603941986,,,0,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_OnlineAdaptation,Exp2,4,5,0.0,0.0,,0.8062476757158794,,,0,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,Exp2,1,2,0.0,0.6,10.333333333333334,0.9085905541093343,75.83333333333333,75.83333333333333,3,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,Exp2,2,3,0.0,0.0,,0.8813685384901451,,,0,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,Exp2,3,4,0.4,1.0,8.0,0.8960208255857196,29.16666666666679,29.16666666666679,5,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,Exp2,4,5,1.0,1.0,3.8,0.9857195983637039,109.39457202505218,109.39457202505218,5,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,Exp2,1,2,0.6,0.6,2.0,0.9868352547415397,109.16666666666697,109.16666666666697,3,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,Exp2,2,3,0.0,0.0,,0.7011528449237635,,,0,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,Exp2,3,4,0.0,0.0,,0.7230197099293417,,,0,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,Exp2,4,5,0.0,0.0,,0.8061732986240238,,,0,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_CalibrationOnly,Exp1,1,2,1.0,0.6,3.8,0.9647713363747636,83.24723247232487,83.24723247232487,3,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_CalibrationOnly,Exp1,2,3,0.8,1.0,6.4,0.9420718816067654,139.98510796723713,139.98510796723713,5,5
