direction,source_dataset,target_dataset,source_exp2_variant,target_exp2_variant,exp2_variant,seed,source_model_state_sha256,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,peak_score,adapter_frozen_fraction,event_status,fast_score,slow_score,residual_persistent,start_actual_cycle,peak_actual_cycle,end_actual_cycle
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3401,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,1,Exp2,V35_SlowResidual_CalibrationOnly,1515.5,1555.5,1600.5,0.8659726246191,1.0,unmatched_candidate_event,7.851491000183382,1.3367123631622264,17.689982327903138,3021.301431424767,3087.8660119840215,3162.751165113182
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3401,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,2,Exp2,V35_SlowResidual_CalibrationOnly,3020.5,3080.5,3105.5,1.7615518943151816,1.0,unmatched_candidate_event,10.504854306728252,3.267512068287727,19.29624809187173,5525.833333333333,5625.833333333333,5667.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3401,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,3,Exp2,V35_SlowResidual_CalibrationOnly,6915.5,6990.5,7005.5,1.5828154268366883,1.0,unmatched_candidate_event,2.935062771118441,2.826911604901709,27.26376192235228,12017.5,12142.5,12167.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3401,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,4,Exp2,V35_SlowResidual_CalibrationOnly,8715.5,8715.5,8800.5,3.1431516947975675,1.0,unmatched_candidate_event,13.80266405823089,6.087329689190968,14.020349373722274,15017.5,15017.5,15159.166666666666
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3401,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,5,Exp2,V35_SlowResidual_CalibrationOnly,9315.5,9315.5,9405.5,2.628764802828494,1.0,unmatched_candidate_event,14.22795899648675,5.129188541799909,17.352476567031545,16017.5,16017.5,16167.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3401,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,6,Exp2,V35_SlowResidual_CalibrationOnly,9615.5,9615.5,9705.5,1.889831490287222,1.0,unmatched_candidate_event,9.31902978661414,3.624004914301708,18.8350346233147,16517.5,16517.5,16667.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3401,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,7,Exp2,V35_SlowResidual_CalibrationOnly,9910.5,9910.5,10010.5,3.1022664383196545,1.0,unmatched_candidate_event,20.089055429242823,6.139158077566567,15.570771999638785,17009.166666666668,17009.166666666668,17175.833333333332
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3401,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,8,Exp2,V35_SlowResidual_CalibrationOnly,10220.5,10230.5,10310.5,2.3203436614340025,1.0,unmatched_candidate_event,11.438924852672145,4.479085898650781,35.864419211080225,17525.833333333332,17542.5,17675.833333333332
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3401,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,9,Exp2,V35_SlowResidual_CalibrationOnly,10510.5,10530.5,10610.5,3.2431013293198285,1.0,unmatched_candidate_event,21.428306676427425,6.420275026486623,41.508661561734215,18009.166666666668,18042.5,18175.833333333332
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3401,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,10,Exp2,V35_SlowResidual_CalibrationOnly,10825.5,10830.5,10905.5,2.692588717636748,1.0,unmatched_candidate_event,12.026668767154655,5.198628129357663,24.60910060434596,18534.166666666668,18542.5,18667.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3401,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,11,Exp2,V35_SlowResidual_CalibrationOnly,11125.5,11180.5,11205.5,2.2018134851695703,1.0,unmatched_candidate_event,3.4682234615123866,4.185568667340598,18.65916831407617,19034.166666666668,19125.833333333332,19167.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3401,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,12,Exp2,V35_SlowResidual_CalibrationOnly,11420.5,11430.5,11500.5,2.852676898716544,1.0,unmatched_candidate_event,5.622161418916695,5.383855075595091,18.147833852702853,19525.833333333332,19542.5,19659.166666666668
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3401,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,13,Exp2,V35_SlowResidual_CalibrationOnly,11745.5,11800.5,11800.5,1.2738034598858747,1.0,unmatched_candidate_event,2.629319130064858,2.321399425036032,14.805401416677991,20067.640918580375,20159.498956158663,20159.498956158663
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3401,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,1,Exp2,V35_SlowResidual_OnlineAdaptation,1515.5,1540.5,1605.5,1.1478344288028408,1.0,unmatched_candidate_event,10.188432041316988,1.9176300638034205,22.81225150343712,3021.301431424767,3062.904294274301,3171.0717376830894
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3401,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,2,Exp2,V35_SlowResidual_OnlineAdaptation,3030.5,3100.5,3100.5,2.416844263571704,1.0,unmatched_candidate_event,3.123573618754655,4.575199484622884,14.060005885636262,5542.5,5659.166666666667,5659.166666666667
