direction,exp2_variant,source_exp2_variant,target_exp2_variant,setting,metric,value_mean,value_std,seed_count
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_CalibrationOnly,adapter_frozen_fraction,1.0,0.0,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_CalibrationOnly,adapter_update_fraction,0.0,0.0,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_CalibrationOnly,boundary_hit_rate_250,0.65,0.13693063937629155,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_CalibrationOnly,candidate_event_count,12.0,2.0,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_CalibrationOnly,event_f1,0.3227149321266968,0.03642488656273713,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_CalibrationOnly,event_precision,0.21597291597291596,0.020287361868998433,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_CalibrationOnly,mean_absolute_detection_delay,72.59058223150103,22.548226730454985,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_CalibrationOnly,top8_event_recall,0.35,0.13693063937629152,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_CalibrationOnly,unmatched_candidate_count,9.4,1.5165750888103102,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_OnlineAdaptation,adapter_frozen_fraction,0.19977686872443287,0.19203939708871495,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_OnlineAdaptation,adapter_update_fraction,0.8002231312755672,0.19203939708871498,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_OnlineAdaptation,boundary_hit_rate_250,0.1,0.13693063937629152,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_OnlineAdaptation,candidate_event_count,2.6,1.3416407864998738,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_OnlineAdaptation,event_f1,0.1,0.13693063937629152,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_OnlineAdaptation,event_precision,0.1,0.13693063937629152,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_OnlineAdaptation,mean_absolute_detection_delay,134.16666666666697,35.35533905932738,2
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_OnlineAdaptation,top8_event_recall,0.1,0.13693063937629152,5
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_OnlineAdaptation,unmatched_candidate_count,2.2,0.8366600265340756,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,adapter_frozen_fraction,1.0,0.0,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,adapter_update_fraction,0.0,0.0,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,boundary_hit_rate_250,0.65,0.13693063937629155,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,candidate_event_count,12.4,2.4083189157584592,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,event_f1,0.3152845915694213,0.03226986120186129,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,event_precision,0.20981906981906984,0.019320728551965382,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,mean_absolute_detection_delay,72.31454418928327,24.12549905375781,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,top8_event_recall,0.35,0.13693063937629152,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,unmatched_candidate_count,9.8,1.9235384061671346,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,adapter_frozen_fraction,0.2032725920416512,0.17839334240522547,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,adapter_update_fraction,0.7967274079583488,0.17839334240522547,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,boundary_hit_rate_250,0.15,0.13693063937629152,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,candidate_event_count,3.0,1.0,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,event_f1,0.15714285714285717,0.14419020884418823,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,event_precision,0.16666666666666666,0.15590239111558088,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,mean_absolute_detection_delay,109.16666666666697,50.0,3
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,top8_event_recall,0.15,0.13693063937629152,5
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,unmatched_candidate_count,2.4,0.5477225575051661,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_CalibrationOnly,adapter_frozen_fraction,1.0,0.0,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_CalibrationOnly,adapter_update_fraction,0.0,0.0,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_CalibrationOnly,boundary_hit_rate_250,0.7,0.2091650066335189,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_CalibrationOnly,candidate_event_count,23.8,11.987493482792805,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_CalibrationOnly,event_f1,0.2514192343604108,0.158089136513364,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_CalibrationOnly,event_precision,0.15705492776303162,0.10759128540742736,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_CalibrationOnly,mean_absolute_detection_delay,124.40109369856278,37.01776929097233,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_CalibrationOnly,top8_event_recall,0.9,0.13693063937629152,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_CalibrationOnly,unmatched_candidate_count,21.0,12.727922061357855,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_OnlineAdaptation,adapter_frozen_fraction,0.06807610993657506,0.057964692326415934,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_OnlineAdaptation,adapter_update_fraction,0.931923890063425,0.057964692326415934,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_OnlineAdaptation,boundary_hit_rate_250,0.55,0.2091650066335189,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_OnlineAdaptation,candidate_event_count,3.0,1.5811388300841898,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_OnlineAdaptation,event_f1,0.6109523809523809,0.13379596609845032,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_OnlineAdaptation,event_precision,0.8033333333333333,0.18723128893311494,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_OnlineAdaptation,mean_absolute_detection_delay,92.76463537142237,22.319562480471706,5
