direction,setting,metric,max_absolute_difference,status
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,boundary_hit_rate_250,0.0,MATCH
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,candidate_event_count,0.0,MATCH
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,event_precision,0.0,MATCH
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,event_f1,0.0,MATCH
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,top8_event_recall,0.0,MATCH
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,adapter_update_fraction,0.0,MATCH
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,adapter_frozen_fraction,0.0,MATCH
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,boundary_hit_rate_250,0.0,MATCH
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,candidate_event_count,0.0,MATCH
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,event_precision,0.0,MATCH
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,event_f1,0.0,MATCH
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,top8_event_recall,0.0,MATCH
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,adapter_update_fraction,0.0,MATCH
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,adapter_frozen_fraction,0.0,MATCH
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,boundary_hit_rate_250,0.0,MATCH
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,candidate_event_count,0.0,MATCH
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,event_precision,0.0,MATCH
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,event_f1,0.0,MATCH
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,top8_event_recall,0.0,MATCH
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,adapter_update_fraction,0.0,MATCH
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,adapter_frozen_fraction,0.0,MATCH
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,boundary_hit_rate_250,0.0,MATCH
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,candidate_event_count,0.0,MATCH
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,event_precision,0.0,MATCH
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,event_f1,0.0,MATCH
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,top8_event_recall,0.0,MATCH
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,adapter_update_fraction,0.0,MATCH
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,adapter_frozen_fraction,0.0,MATCH
