direction,exp2_variant,source_exp2_variant,target_exp2_variant,setting,seed,candidate_event_count,top8_event_recall,boundary_hit_rate_250,event_precision,event_f1,adapter_update_fraction,adapter_frozen_fraction,mean_absolute_detection_delay,unmatched_candidate_count
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,3401,13,0.5,0.75,0.23076923076923078,0.3529411764705882,0.0,1.0,100.94409649733188,10
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,3401,3,0.25,0.25,0.3333333333333333,0.28571428571428575,0.801785050204537,0.198214949795463,159.16666666666697,2
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,3402,15,0.25,0.75,0.2,0.31578947368421056,0.0,1.0,53.66388308977063,12
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,3402,4,0.25,0.25,0.25,0.25,0.7910003718854592,0.20899962811454073,59.16666666666697,3
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,3403,14,0.5,0.75,0.21428571428571427,0.3333333333333333,0.0,1.0,42.55277197865962,11
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,3403,4,0.25,0.25,0.25,0.25,0.5061361100780959,0.49386388992190405,109.16666666666697,3
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,3404,11,0.25,0.5,0.18181818181818182,0.26666666666666666,0.0,1.0,75.91249130132292,9
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,3404,2,0.0,0.0,0.0,0.0,0.956117515805132,0.04388248419486798,,2
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,3405,9,0.25,0.5,0.2222222222222222,0.30769230769230765,0.0,1.0,88.49947807933131,7
Exp1_to_Exp2,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,3405,2,0.0,0.0,0.0,0.0,0.9285979918185199,0.0714020081814801,,2
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_CalibrationOnly,3401,13,0.5,0.75,0.23076923076923078,0.3529411764705882,0.0,1.0,100.94409649733188,10
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_OnlineAdaptation,3401,4,0.25,0.25,0.25,0.25,0.7902566009669022,0.2097433990330978,159.16666666666697,3
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_CalibrationOnly,3402,13,0.25,0.75,0.23076923076923078,0.3529411764705882,0.0,1.0,59.21943864532599,10
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_OnlineAdaptation,3402,2,0.0,0.0,0.0,0.0,0.8285608032725921,0.17143919672740796,,2
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_CalibrationOnly,3403,14,0.5,0.75,0.21428571428571427,0.3333333333333333,0.0,1.0,42.55277197865962,11
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_OnlineAdaptation,3403,4,0.25,0.25,0.25,0.25,0.4819635552249907,0.5180364447750093,109.16666666666697,3
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_CalibrationOnly,3404,11,0.25,0.5,0.18181818181818182,0.26666666666666666,0.0,1.0,75.91249130132292,9
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_OnlineAdaptation,3404,1,0.0,0.0,0.0,0.0,0.9635552249907029,0.03644477500929714,,1
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_CalibrationOnly,3405,9,0.25,0.5,0.2222222222222222,0.30769230769230765,0.0,1.0,84.32411273486468,7
Exp1_to_Exp2,Median5,Raw,Median5,V35_SlowResidual_OnlineAdaptation,3405,2,0.0,0.0,0.0,0.0,0.9367794719226479,0.06322052807735218,,2
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,3401,13,1.0,1.0,0.3076923076923077,0.47058823529411764,0.0,1.0,62.82287316767497,9
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,3401,3,0.5,0.5,0.6666666666666666,0.5714285714285715,0.9554912651607878,0.044508734839212194,80.59431547317399,1
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,3402,20,1.0,0.75,0.15,0.24999999999999997,0.0,1.0,117.33374171343651,17
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,3402,1,0.25,0.25,1.0,0.4,0.9705129631690219,0.02948703683097808,124.85207100591651,0
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,3403,14,0.75,0.75,0.21428571428571427,0.3333333333333333,0.0,1.0,124.99043726905529,11
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,3403,2,0.5,0.5,1.0,0.6666666666666666,0.9767441860465116,0.023255813953488372,107.45945445813595,0
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,3404,32,1.0,0.5,0.0625,0.1111111111111111,0.0,1.0,152.0364193913647,30
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,3404,4,0.75,0.75,0.75,0.75,0.9251140536330255,0.07488594636697452,75.47511742169748,1
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,3405,41,0.75,0.5,0.04878048780487805,0.08888888888888888,0.0,1.0,149.0778395097077,39
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,3405,5,0.75,0.75,0.6,0.6666666666666665,0.8313118949593857,0.1686881050406142,75.44221849818798,2
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_CalibrationOnly,3401,13,1.0,1.0,0.3076923076923077,0.47058823529411764,0.0,1.0,62.82287316767497,9
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_OnlineAdaptation,3401,3,0.5,0.5,0.6666666666666666,0.5714285714285715,0.9507065761655725,0.04929342383442751,80.59431547317399,1
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_CalibrationOnly,3402,20,1.0,0.75,0.15,0.24999999999999997,0.0,1.0,117.33374171343651,17
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_OnlineAdaptation,3402,1,0.25,0.25,1.0,0.4,0.970958050517414,0.029041949482585958,124.85207100591651,0
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_CalibrationOnly,3403,14,0.75,0.75,0.21428571428571427,0.3333333333333333,0.0,1.0,140.73459471062992,11
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_OnlineAdaptation,3403,2,0.5,0.5,1.0,0.6666666666666666,0.9769667297207076,0.02303327027929231,107.45945445813595,0
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_CalibrationOnly,3404,31,1.0,0.5,0.06451612903225806,0.1142857142857143,0.0,1.0,152.0364193913647,29
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_OnlineAdaptation,3404,4,0.75,0.75,0.75,0.75,0.9265605875152999,0.07343941248470012,75.47511742169748,1
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_CalibrationOnly,3405,41,0.75,0.5,0.04878048780487805,0.08888888888888888,0.0,1.0,149.0778395097077,39
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_OnlineAdaptation,3405,5,0.75,0.75,0.6,0.6666666666666665,0.8344275063981307,0.16557249360186937,75.44221849818798,2
