direction,source_exp2_variant,seed,source_model_state_sha256,reused_for,original_v35_raw_source_hash,original_v35_raw_source_hash_status,source_model_origin
Exp1_to_Exp2,Raw,3401,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,Archived V3.5 Raw control,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,MATCH,archived_v35_raw
Exp1_to_Exp2,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,Archived V3.5 Raw control,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,MATCH,archived_v35_raw
Exp1_to_Exp2,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,Archived V3.5 Raw control,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,MATCH,archived_v35_raw
Exp1_to_Exp2,Raw,3404,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8,Archived V3.5 Raw control,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8,MATCH,archived_v35_raw
Exp1_to_Exp2,Raw,3405,b95e0083d913b842438d9db9ea3d92766811f7e14c4eca536285f60bcb121a1b,Archived V3.5 Raw control,b95e0083d913b842438d9db9ea3d92766811f7e14c4eca536285f60bcb121a1b,MATCH,archived_v35_raw
Exp2_to_Exp1,Raw,3401,9f4ab553ce50b48fbea367a1336a2b837030ef4d9ab9079bb12fba61b98d1f21,Archived V3.5 Raw control,9f4ab553ce50b48fbea367a1336a2b837030ef4d9ab9079bb12fba61b98d1f21,MATCH,archived_v35_raw
Exp2_to_Exp1,Raw,3402,cf6a0f7d46077eabbde5f2c463b5e96a089004d12e72ad90488c17d80f1a09d2,Archived V3.5 Raw control,cf6a0f7d46077eabbde5f2c463b5e96a089004d12e72ad90488c17d80f1a09d2,MATCH,archived_v35_raw
Exp2_to_Exp1,Raw,3403,480a960e2f0fdfbd4b66c1cad1cab99c4373574aedd10c145a9f0eefe61b74d6,Archived V3.5 Raw control,480a960e2f0fdfbd4b66c1cad1cab99c4373574aedd10c145a9f0eefe61b74d6,MATCH,archived_v35_raw
Exp2_to_Exp1,Raw,3404,b5db90137d65adbc583063507859c1e90bbe5db70996f0a89239a2bffa6ab1dc,Archived V3.5 Raw control,b5db90137d65adbc583063507859c1e90bbe5db70996f0a89239a2bffa6ab1dc,MATCH,archived_v35_raw
Exp2_to_Exp1,Raw,3405,76daa7340bae33fed57a645c2ebeba569541e37ecc25c6d335b601f6db7109a0,Archived V3.5 Raw control,76daa7340bae33fed57a645c2ebeba569541e37ecc25c6d335b601f6db7109a0,MATCH,archived_v35_raw
Exp1_to_Exp2,Raw,3401,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,Exp2-Median5; archived Exp2-Raw uses the same verified state,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b,MATCH,recreated_and_hash_verified
Exp2_to_Exp1,Median5,3401,c5474f52be076d8ef7272ceb5cc8c6fa33b96d592ef3f4e02ca652bc8ed870ff,Exp1,,NOT_APPLICABLE,new_median5_source_training
Exp1_to_Exp2,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,Exp2-Median5; archived Exp2-Raw uses the same verified state,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,MATCH,recreated_and_hash_verified
Exp2_to_Exp1,Median5,3402,b7cb293ebd6ce9e8b415e4783a1b17bd56f6546b070f5a7788fae0a48bdb7ab8,Exp1,,NOT_APPLICABLE,new_median5_source_training
Exp1_to_Exp2,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,Exp2-Median5; archived Exp2-Raw uses the same verified state,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,MATCH,recreated_and_hash_verified
Exp2_to_Exp1,Median5,3403,d835c04525bd88177c7eddacc715aa4b82a312f0fc621660fd5efa8304536dd7,Exp1,,NOT_APPLICABLE,new_median5_source_training
Exp1_to_Exp2,Raw,3404,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8,Exp2-Median5; archived Exp2-Raw uses the same verified state,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8,MATCH,recreated_and_hash_verified
Exp2_to_Exp1,Median5,3404,35fe951b0576fda904a22d02fa1301714589f6dc9c315546b1daa7779ebdb04e,Exp1,,NOT_APPLICABLE,new_median5_source_training
Exp1_to_Exp2,Raw,3405,b95e0083d913b842438d9db9ea3d92766811f7e14c4eca536285f60bcb121a1b,Exp2-Median5; archived Exp2-Raw uses the same verified state,b95e0083d913b842438d9db9ea3d92766811f7e14c4eca536285f60bcb121a1b,MATCH,recreated_and_hash_verified
Exp2_to_Exp1,Median5,3405,28eaf61c872c6a2b2846e40150ab86ff865d74d35ac6353573387ab2d3a39823,Exp1,,NOT_APPLICABLE,new_median5_source_training
