dataset,seed,epoch,examples,boundary_loss,rank_loss,consistency_loss,prediction_loss,train_end,max_target_index,source_stage_weak_supervision,direction,source_exp2_variant,source_model_state_sha256
Exp1,3401,1,1024,0.5559841804206371,0.06308944011107087,0.42489200830459595,8.207991138100624,7292,7291,1,Exp1_to_Exp2,Raw,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b
Exp1,3401,2,1024,0.28318370319902897,0.06047899182885885,0.242329565808177,8.135212689638138,7292,7291,1,Exp1_to_Exp2,Raw,05f9c84c45d8a247827cdba3a2a8113ac9715950e3e51fe5aef2661d6bad301b
Exp2,3401,1,1024,0.6019502505660057,0.05079983454197645,0.0681892205029726,7.740312874317169,2253,2252,1,Exp2_to_Exp1,Median5,c5474f52be076d8ef7272ceb5cc8c6fa33b96d592ef3f4e02ca652bc8ed870ff
Exp2,3401,2,1024,0.4238954186439514,0.05683647468686104,0.1007735887542367,7.596917033195496,2253,2252,1,Exp2_to_Exp1,Median5,c5474f52be076d8ef7272ceb5cc8c6fa33b96d592ef3f4e02ca652bc8ed870ff
Exp1,3402,1,1024,0.417499877512455,0.05402143858373165,0.41011579148471355,8.924838304519653,7292,7291,1,Exp1_to_Exp2,Raw,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3
Exp1,3402,2,1024,0.2719741743057966,0.05034380638971925,0.2311697807163,7.922337919473648,7292,7291,1,Exp1_to_Exp2,Raw,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3
Exp2,3402,1,1024,0.6166192069649696,0.0437329332344234,0.06548647908493876,7.931469559669495,2253,2252,1,Exp2_to_Exp1,Median5,b7cb293ebd6ce9e8b415e4783a1b17bd56f6546b070f5a7788fae0a48bdb7ab8
Exp2,3402,2,1024,0.3716478645801544,0.01584154786542058,0.10868761595338583,7.681959807872772,2253,2252,1,Exp2_to_Exp1,Median5,b7cb293ebd6ce9e8b415e4783a1b17bd56f6546b070f5a7788fae0a48bdb7ab8
Exp1,3403,1,1024,0.6373047903180122,0.051117437426000834,0.16856681182980537,8.51998022198677,7292,7291,1,Exp1_to_Exp2,Raw,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2
Exp1,3403,2,1024,0.4187345691025257,0.05703240493312478,0.09497444238513708,7.9471705704927444,7292,7291,1,Exp1_to_Exp2,Raw,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2
Exp2,3403,1,1024,0.578969232738018,0.04574139788746834,0.03337251744233072,7.729499459266663,2253,2252,1,Exp2_to_Exp1,Median5,d835c04525bd88177c7eddacc715aa4b82a312f0fc621660fd5efa8304536dd7
Exp2,3403,2,1024,0.45465878024697304,0.048252861481159925,0.06593858264386654,7.558209121227264,2253,2252,1,Exp2_to_Exp1,Median5,d835c04525bd88177c7eddacc715aa4b82a312f0fc621660fd5efa8304536dd7
Exp1,3404,1,1024,1.8155221790075302,0.036640021950006485,0.21061959862709045,9.406976073980331,7292,7291,1,Exp1_to_Exp2,Raw,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8
Exp1,3404,2,1024,0.6814127415418625,0.05662090936675668,0.16553039848804474,8.289841115474701,7292,7291,1,Exp1_to_Exp2,Raw,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8
Exp2,3404,1,1024,0.9246514961123466,0.051533650141209364,0.030973165994510055,7.91693651676178,2253,2252,1,Exp2_to_Exp1,Median5,35fe951b0576fda904a22d02fa1301714589f6dc9c315546b1daa7779ebdb04e
Exp2,3404,2,1024,0.5644167773425579,0.04567434964701533,0.035518191289156675,7.695717513561249,2253,2252,1,Exp2_to_Exp1,Median5,35fe951b0576fda904a22d02fa1301714589f6dc9c315546b1daa7779ebdb04e
Exp1,3405,1,1024,1.4467129334807396,0.030785315670073032,0.4896801859140396,8.880485966801643,7292,7291,1,Exp1_to_Exp2,Raw,b95e0083d913b842438d9db9ea3d92766811f7e14c4eca536285f60bcb121a1b
Exp1,3405,2,1024,0.5252572633326054,0.04930045083165169,0.25452229008078575,8.702716946601868,7292,7291,1,Exp1_to_Exp2,Raw,b95e0083d913b842438d9db9ea3d92766811f7e14c4eca536285f60bcb121a1b
Exp2,3405,1,1024,0.8834689259529114,0.04895451292395592,0.04304624907672405,7.608845829963684,2253,2252,1,Exp2_to_Exp1,Median5,28eaf61c872c6a2b2846e40150ab86ff865d74d35ac6353573387ab2d3a39823
Exp2,3405,2,1024,0.6547624468803406,0.0551784816198051,0.02915691351518035,7.5576571226119995,2253,2252,1,Exp2_to_Exp1,Median5,28eaf61c872c6a2b2846e40150ab86ff865d74d35ac6353573387ab2d3a39823
