direction,source_dataset,target_dataset,entry_cycle,prefix_fraction,adapter,source_model_frozen_hash,update_index,pair_earlier_cycle,pair_later_cycle,adapter_parameter_norm,adapter_step_norm,objective_loss,l2,numeric_abort
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0,10.5,510.5,0.08,0.08,1.8076822080688837,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,25,15.5,635.5,0.5388477239594354,0.002611579006442008,0.026164621740881154,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,50,200.5,760.5,0.55,0.007263312963222436,0.03638491396274202,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,75,40.5,885.5,0.5275840112852419,0.004100332149848794,0.023271121573439985,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,100,365.5,1010.5,0.55,0.046464977251968076,0.0897535717827958,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,125,130.5,1135.5,0.5499999999999999,0.05272578532191053,0.1321242648512267,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,150,635.5,1260.5,0.55,0.04966561552526638,0.6135577979471476,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,175,395.5,1385.5,0.55,0.01236382861036745,0.05528002497401502,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,200,310.5,1510.5,0.4900320357659735,0.08,0.09794042074742235,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,225,310.5,1635.5,0.5175339183746247,0.0062246285861578795,0.020640403775895284,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,250,725.5,1760.5,0.5307830044140903,0.005950799785544712,0.022469267537407106,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,275,275.5,1885.5,0.55,0.08,0.4653758030273436,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,300,715.5,2010.5,0.55,0.060398981223314,0.23383782522305205,0.15,0
