row_type,dataset,feature_configuration,method,selection_setting,selection_bic,sample_index,center_cycle,offline_diagnostic_only,replicate
base,Exp1,F_core_v45,Pelt_rbf,5.0,-1963.511085653381,60,2290.5,True,
base,Exp1,F_core_v45,Pelt_rbf,5.0,-1963.511085653381,200,7610.5,True,
base,Exp1,F_core_v45,Pelt_rbf,5.0,-1963.511085653381,425,16165.5,True,
base,Exp1,F_core_v45,Pelt_rbf,5.0,-1963.511085653381,555,21105.5,True,
base,Exp1,F_core_v45,Pelt_rbf,5.0,-1963.511085653381,625,23765.5,True,
base,Exp1,F_core_v45,Pelt_rbf,5.0,-1963.511085653381,735,27945.5,True,
base,Exp1,F_core_v45,Pelt_rbf,5.0,-1963.511085653381,850,32315.5,True,
base,Exp1,F_core_v45,Pelt_rbf,5.0,-1963.511085653381,910,34595.5,True,
base,Exp1,F_core_v45,Pelt_rbf,5.0,-1963.511085653381,1000,38015.5,True,
base,Exp1,F_core_v45,Pelt_rbf,5.0,-1963.511085653381,1090,41435.5,True,
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-1396.029478293648,60,3620.5,True,0.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-1396.029478293648,160,7685.5,True,0.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-1396.029478293648,415,15895.5,True,0.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-1396.029478293648,515,23610.5,True,0.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-1396.029478293648,575,25170.5,True,0.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-1396.029478293648,705,27830.5,True,0.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-1396.029478293648,825,33455.5,True,0.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-1396.029478293648,885,34595.5,True,0.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-1396.029478293648,960,38475.5,True,0.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-1396.029478293648,1060,39915.5,True,0.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-1396.029478293648,1140,40675.5,True,0.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2550.8666437063707,60,9055.5,True,1.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2550.8666437063707,120,11220.5,True,1.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2550.8666437063707,440,14340.5,True,1.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2550.8666437063707,520,15975.5,True,1.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2550.8666437063707,600,21140.5,True,1.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2550.8666437063707,660,25170.5,True,1.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2550.8666437063707,720,29350.5,True,1.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2550.8666437063707,840,32960.5,True,1.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2550.8666437063707,900,35510.5,True,1.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2550.8666437063707,990,38015.5,True,1.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2550.8666437063707,1085,41360.5,True,1.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2326.0655306160384,60,2140.5,True,2.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2326.0655306160384,300,10920.5,True,2.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2326.0655306160384,540,16315.5,True,2.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2326.0655306160384,605,21065.5,True,2.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2326.0655306160384,730,23420.5,True,2.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2326.0655306160384,790,27905.5,True,2.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2326.0655306160384,1020,34595.5,True,2.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2326.0655306160384,1140,41245.5,True,2.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2773.2715134605787,60,2710.5,True,3.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2773.2715134605787,240,7875.5,True,3.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2773.2715134605787,360,11110.5,True,3.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2773.2715134605787,455,16735.5,True,3.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2773.2715134605787,655,21105.5,True,3.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2773.2715134605787,720,24105.5,True,3.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2773.2715134605787,780,28745.5,True,3.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2773.2715134605787,935,32505.5,True,3.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2773.2715134605787,995,34635.5,True,3.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2773.2715134605787,1080,41625.5,True,3.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2283.679525295826,60,3505.5,True,4.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2283.679525295826,285,7575.5,True,4.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2283.679525295826,345,8145.5,True,4.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2283.679525295826,475,16050.5,True,4.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2283.679525295826,535,21180.5,True,4.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2283.679525295826,600,26120.5,True,4.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2283.679525295826,680,27870.5,True,4.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2283.679525295826,840,34560.5,True,4.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2283.679525295826,955,37940.5,True,4.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2283.679525295826,1020,41325.5,True,4.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3367.994825105143,60,4265.5,True,5.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3367.994825105143,180,8445.5,True,5.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3367.994825105143,240,10195.5,True,5.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3367.994825105143,300,17075.5,True,5.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3367.994825105143,420,24980.5,True,5.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3367.994825105143,525,27795.5,True,5.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3367.994825105143,795,33150.5,True,5.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3367.994825105143,860,33875.5,True,5.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3367.994825105143,920,34595.5,True,5.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3367.994825105143,980,35355.5,True,5.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3367.994825105143,1090,38015.5,True,5.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2261.7429948769,60,4800.5,True,6.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2261.7429948769,145,7650.5,True,6.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2261.7429948769,340,16010.5,True,6.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2261.7429948769,470,23420.5,True,6.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2261.7429948769,530,24640.5,True,6.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2261.7429948769,595,27830.5,True,6.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2261.7429948769,710,33230.5,True,6.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2261.7429948769,770,34595.5,True,6.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2261.7429948769,900,37865.5,True,6.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2261.7429948769,970,39915.5,True,6.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2261.7429948769,1080,41360.5,True,6.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,5.0,-2261.7429948769,1140,42085.5,True,6.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,8.0,-2395.019368188632,60,7685.5,True,7.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,8.0,-2395.019368188632,120,8445.5,True,7.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,8.0,-2395.019368188632,225,10540.5,True,7.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,8.0,-2395.019368188632,450,16275.5,True,7.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,8.0,-2395.019368188632,540,24180.5,True,7.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,8.0,-2395.019368188632,660,28325.5,True,7.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,8.0,-2395.019368188632,840,33340.5,True,7.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,8.0,-2395.019368188632,900,34595.5,True,7.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,8.0,-2395.019368188632,1015,38055.5,True,7.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,8.0,-2395.019368188632,1080,41435.5,True,7.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3214.0067110919063,125,6015.5,True,8.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3214.0067110919063,200,7575.5,True,8.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3214.0067110919063,260,8715.5,True,8.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3214.0067110919063,345,10425.5,True,8.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3214.0067110919063,445,16165.5,True,8.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3214.0067110919063,560,21140.5,True,8.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3214.0067110919063,660,24295.5,True,8.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3214.0067110919063,840,28175.5,True,8.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3214.0067110919063,975,34635.5,True,8.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-3214.0067110919063,1065,37980.5,True,8.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2879.0286232963326,120,12550.5,True,9.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2879.0286232963326,180,19240.5,True,9.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2879.0286232963326,280,23800.5,True,9.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2879.0286232963326,370,27795.5,True,9.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2879.0286232963326,530,31785.5,True,9.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2879.0286232963326,590,34595.5,True,9.0
bootstrap,Exp1,F_core_v45,Pelt_rbf,3.0,-2879.0286232963326,700,38015.5,True,9.0
