dataset,consensus_id,center_cycle,method_count,feature_configuration_count,bootstrap_support_rate,position_error_fraction,tolerance_fraction,REPRODUCIBLE_CHANGE_POINT,passed
Exp1,0,2290.5,1,3,0.18333333333333332,0.0,0.03,FAIL,0
Exp1,1,7610.5,2,3,0.7666666666666667,0.0,0.03,PASS,1
Exp1,2,16545.5,1,3,0.42777777777777776,0.002084704849681808,0.03,FAIL,0
Exp1,3,21105.5,1,3,0.3277777777777778,0.0,0.03,FAIL,0
Exp1,4,23765.5,2,3,0.6611111111111111,0.0,0.03,PASS,1
Exp1,5,27945.5,2,3,0.7611111111111111,0.0,0.03,PASS,1
Exp1,6,32315.5,1,3,0.3111111111111111,0.0,0.03,FAIL,0
Exp1,7,34595.5,2,3,0.6888888888888889,0.0,0.03,PASS,1
Exp1,8,38015.5,1,3,0.35555555555555557,0.0,0.03,FAIL,0
Exp1,9,41435.5,2,3,0.7611111111111111,0.0,0.03,PASS,1
Exp2,0,2125.5,1,3,0.4222222222222222,0.0,0.03,FAIL,0
Exp2,1,3005.5,2,3,0.8333333333333334,0.0,0.03,PASS,1
Exp2,2,6115.5,1,3,0.3611111111111111,0.0009765625,0.03,FAIL,0
Exp2,3,6880.5,2,3,0.7333333333333333,0.0,0.03,PASS,1
Exp2,4,8700.5,1,3,0.43333333333333335,0.005237926136363636,0.03,FAIL,0
Exp2,5,9285.5,2,3,0.5388888888888889,0.007856889204545454,0.03,FAIL,0
Exp2,6,10520.5,1,3,0.5722222222222222,0.0,0.03,FAIL,0
Exp2,7,11695.5,2,3,0.6888888888888889,0.0,0.03,PASS,1
Exp2,8,12695.5,1,3,0.4166666666666667,0.001065340909090909,0.03,FAIL,0
