direction,source_dataset,target_dataset,model,prefix_fraction,future_window_count,future_negative_log_likelihood,future_feature_reconstruction_error,future_state_posterior_entropy,online_change_point_distance,online_change_detection_delay,online_change_false_positive_count,switches_per_1000_cycles,short_isolated_state_fraction,common_future_posterior_convergence_error
Exp1_to_Exp2,Exp1,Exp2,Source_Only_State,0.2,2254,2.5869880380137085,7.96282891817297,0.9997669320494054,,,0.0,0.0,0.3333333333333333,0.0
Exp1_to_Exp2,Exp1,Exp2,Target_Local_Segmentation,0.2,2254,0.062028445838452066,2.5728646419688608,0.9094070381254845,,,3.0,0.26631158455392806,0.4,0.4704082571512828
Exp1_to_Exp2,Exp1,Exp2,Adaptive_Regime_Model,0.2,2254,2.634303051317871,7.978196693111751,1.0,,,0.0,0.0,0.0,0.0
Exp1_to_Exp2,Exp1,Exp2,Single_Axis_CEAP_v1,0.2,2254,,4.9842236667087265,,,,,,,
Exp1_to_Exp2,Exp1,Exp2,Elapsed_Time_Diagnostic,0.2,2254,,,,,,,,,
Exp1_to_Exp2,Exp1,Exp2,Source_Only_State,0.4,1691,3.447930804636585,8.702812475632882,1.0,,,0.0,0.0,0.0,0.0
Exp1_to_Exp2,Exp1,Exp2,Target_Local_Segmentation,0.4,1691,0.11587141556763786,1.8466937192034627,0.707357337714886,,,7.0,0.8284023668639053,0.3235294117647059,0.4704082571512828
Exp1_to_Exp2,Exp1,Exp2,Adaptive_Regime_Model,0.4,1691,3.511320036265415,8.722600075299775,1.0,,,0.0,0.0,0.0,0.0
Exp1_to_Exp2,Exp1,Exp2,Single_Axis_CEAP_v1,0.4,1691,,5.364297792191738,,,,,,,
Exp1_to_Exp2,Exp1,Exp2,Elapsed_Time_Diagnostic,0.4,1691,,,,,,,,,
Exp1_to_Exp2,Exp1,Exp2,Source_Only_State,0.6,1127,3.9855662594548584,9.16560727930961,1.0,,,0.0,0.0,0.0,0.0
Exp1_to_Exp2,Exp1,Exp2,Target_Local_Segmentation,0.6,1127,0.08063020878844905,2.4435808109502903,0.8759156070766351,,,3.0,0.5328596802841918,0.5172413793103449,0.4704082571512828
Exp1_to_Exp2,Exp1,Exp2,Adaptive_Regime_Model,0.6,1127,4.061480540811583,9.176247815203014,1.0,,,0.0,0.0,0.0,0.0
Exp1_to_Exp2,Exp1,Exp2,Single_Axis_CEAP_v1,0.6,1127,,5.653272417156597,,,,,,,
